Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-04-02,41.25,43.3,41.25,43.3,395,BE,19,20.79,395
2024-04-03,45.45,45.45,45.45,45.45,176,BE,16,11.0,176
2024-04-04,47.7,47.7,47.7,47.7,104,BE,12,8.67,104
2024-04-05,50.05,50.05,50.05,50.05,20,BE,5,4.0,20
2024-04-08,52.55,52.55,52.55,52.55,118,BE,4,29.5,118
2024-04-09,55.15,55.15,55.15,55.15,108,BE,5,21.6,108
2024-04-10,57.9,57.9,57.9,57.9,336,BE,7,48.0,336
2024-04-12,60.75,60.75,60.75,60.75,232,BE,15,15.47,232
2024-04-15,63.75,63.75,63.75,63.75,7,BE,2,3.5,7
2024-04-16,66.9,66.9,66.9,66.9,10,BE,1,10.0,10
2024-04-18,73.55,73.55,73.55,73.55,62,EQ,6,10.33,62
2024-04-19,80.9,80.9,80.9,80.9,121,EQ,4,30.25,121
2024-04-22,84.9,84.9,84.9,84.9,53,BE,6,8.83,53
2024-04-23,89.1,89.1,89.1,89.1,124,BE,10,12.4,124
2024-04-24,93.55,93.55,93.55,93.55,18,BE,3,6.0,18
2024-04-25,98.2,98.2,98.2,98.2,57,BE,5,11.4,57
2024-04-26,103.1,103.1,103.1,103.1,15,BE,5,3.0,15
2024-04-29,108.25,108.25,108.25,108.25,47,BE,5,9.4,47
2024-04-30,110.4,110.4,110.4,110.4,8,BE,2,4.0,8
2024-05-02,112.6,112.6,112.6,112.6,48,BE,7,6.86,48
2024-05-06,114.85,114.85,114.85,114.85,142,BE,5,28.4,142
2024-05-07,117.1,117.1,117.1,117.1,1,BE,1,1.0,1
2024-05-08,119.4,119.4,119.4,119.4,17,BE,4,4.25,17
2024-05-09,121.75,121.75,121.75,121.75,72,BE,3,24.0,72
2024-05-10,124.15,124.15,124.15,124.15,22,BE,3,7.33,22
2024-05-13,126.6,126.6,126.6,126.6,3,BE,2,1.5,3
2024-05-14,129.1,129.1,129.1,129.1,6,BE,3,2.0,6
2024-05-15,131.65,131.65,131.65,131.65,92,BE,4,23.0,92
2024-05-16,134.25,134.25,134.25,134.25,12,BE,3,4.0,12
2024-05-17,136.9,136.9,136.9,136.9,13,BE,1,13.0,13
2024-05-18,139.6,139.6,139.6,139.6,1,BE,1,1.0,1
2024-05-21,142.35,142.35,142.35,142.35,60,BE,2,30.0,60
2024-05-22,145.15,145.15,145.15,145.15,13,BE,3,4.33,13
2024-05-23,148.05,148.05,148.05,148.05,120,BE,2,60.0,120
2024-05-24,151.0,151.0,151.0,151.0,21,BE,2,10.5,21
2024-05-27,154.0,154.0,154.0,154.0,8,BE,5,1.6,8
2024-05-28,157.05,157.05,157.05,157.05,40,BE,5,8.0,40
2024-05-29,160.15,160.15,160.15,160.15,6,BE,2,3.0,6
2024-05-30,163.35,163.35,163.35,163.35,2,BE,1,2.0,2
2024-05-31,166.6,166.6,166.6,166.6,3,BE,2,1.5,3
2024-06-03,169.9,169.9,169.9,169.9,16,BE,4,4.0,16
2024-06-04,173.25,173.25,173.25,173.25,86,BE,6,14.33,86
2024-06-05,176.7,176.7,176.7,176.7,21,BE,5,4.2,21
2024-06-06,180.2,180.2,180.2,180.2,21,BE,5,4.2,21
2024-06-07,183.8,183.8,183.8,183.8,26,BE,4,6.5,26
2024-06-10,187.47,187.47,187.47,187.47,78,BE,3,26.0,78
2024-06-11,191.21,191.21,191.21,191.21,6,BE,2,3.0,6
2024-06-12,195.03,195.03,195.03,195.03,376,BE,5,75.2,376
2024-06-13,198.93,198.93,198.93,198.93,20,BE,4,5.0,20
2024-06-14,202.9,202.9,202.9,202.9,9,BE,3,3.0,9
2024-06-18,206.95,206.95,206.95,206.95,5,BE,2,2.5,5
2024-06-19,211.08,211.08,211.08,211.08,2,BE,2,1.0,2
2024-06-20,215.3,215.3,215.3,215.3,111,BE,3,37.0,111
2024-06-21,219.6,219.6,219.6,219.6,21,BE,2,10.5,21
2024-06-24,223.99,223.99,223.99,223.99,10,BE,4,2.5,10
2024-06-25,228.46,228.46,228.46,228.46,430,BE,5,86.0,430
2024-06-26,233.02,233.02,233.02,233.02,15,BE,3,5.0,15
2024-06-27,237.68,237.68,237.68,237.68,104,BE,3,34.67,104
2024-06-28,242.43,242.43,242.43,242.43,1,BE,1,1.0,1
2024-07-01,247.27,247.27,247.27,247.27,44,BE,6,7.33,44
2024-07-02,252.21,252.21,252.21,252.21,1,BE,1,1.0,1
2024-07-03,257.25,257.25,257.25,257.25,8,BE,4,2.0,8
2024-07-04,262.39,262.39,262.39,262.39,55,BE,2,27.5,55
2024-07-05,267.63,267.63,267.63,267.63,89,BE,5,17.8,89
2024-07-08,272.98,272.98,272.98,272.98,77,BE,5,15.4,77
2024-07-09,278.43,278.43,278.43,278.43,17,BE,3,5.67,17
2024-07-10,283.99,283.99,283.99,283.99,115,BE,5,23.0,115
2024-07-11,289.66,289.66,289.66,289.66,14,BE,2,7.0,14
2024-07-12,295.45,295.45,295.45,295.45,36,BE,5,7.2,36
2024-07-15,301.35,301.35,301.35,301.35,63,BE,5,12.6,63
2024-07-16,307.37,307.37,307.37,307.37,29,BE,2,14.5,29
2024-07-18,313.51,313.51,313.51,313.51,60,BE,7,8.57,60
2024-07-19,319.78,319.78,319.78,319.78,450,BE,6,75.0,450
2024-07-22,326.17,326.17,326.17,326.17,23,BE,3,7.67,23
2024-07-23,332.69,332.69,332.69,332.69,20,BE,3,6.67,20
2024-07-24,339.34,339.34,339.34,339.34,27,BE,7,3.86,27
2024-07-25,346.12,346.12,346.12,346.12,57,BE,6,9.5,57
2024-07-26,353.04,353.04,353.04,353.04,48,BE,5,9.6,48
2024-07-29,360.1,360.1,360.1,360.1,140,BE,4,35.0,140
2024-07-30,367.3,367.3,367.3,367.3,1,BE,1,1.0,1
2024-07-31,374.64,374.64,374.64,374.64,11,BE,2,5.5,11
2024-08-01,382.1,382.1,382.1,382.1,118,BE,3,39.33,118
2024-08-02,389.7,389.7,389.7,389.7,47,BE,2,23.5,47
2024-08-05,397.45,397.45,397.45,397.45,119,BE,7,17.0,119
2024-08-06,405.35,405.35,405.35,405.35,8,BE,2,4.0,8
2024-08-07,413.45,413.45,413.45,413.45,4,BE,3,1.33,4
2024-08-08,421.7,421.7,421.7,421.7,16,BE,4,4.0,16
2024-08-09,430.1,430.1,430.1,430.1,48,BE,7,6.86,48
2024-08-12,438.7,438.7,438.7,438.7,6,BE,2,3.0,6
2024-08-13,447.45,447.45,447.45,447.45,48,BE,5,9.6,48
2024-08-14,456.35,456.35,456.35,456.35,52,BE,4,13.0,52
2024-08-16,465.45,465.45,465.45,465.45,587,BE,11,53.36,587
2024-08-19,474.75,474.75,474.75,474.75,217,BE,8,27.12,217
2024-08-20,484.2,484.2,484.2,484.2,21,BE,7,3.0,21
2024-08-21,493.85,493.85,493.85,493.85,8,BE,3,2.67,8
2024-08-22,503.7,503.7,503.7,503.7,26,BE,6,4.33,26
2024-08-23,513.75,513.75,513.75,513.75,148,BE,15,9.87,148
2024-08-26,524.0,524.0,524.0,524.0,15,BE,4,3.75,15
2024-08-27,534.45,534.45,534.45,534.45,165,BE,10,16.5,165
2024-08-28,545.1,545.1,545.1,545.1,87,BE,7,12.43,87
2024-08-29,556.0,556.0,556.0,556.0,61,BE,7,8.71,61
2024-08-30,567.1,567.1,567.1,567.1,19,BE,8,2.38,19
2024-09-02,578.4,578.4,578.4,578.4,47,BE,7,6.71,47
2024-09-03,589.95,589.95,589.95,589.95,36,BE,7,5.14,36
2024-09-04,601.7,601.7,601.7,601.7,26,BE,3,8.67,26
2024-09-05,613.7,613.7,613.7,613.7,21,BE,3,7.0,21
2024-09-06,625.95,625.95,625.95,625.95,63,BE,5,12.6,63
2024-09-09,638.45,638.45,638.45,638.45,93,BE,11,8.45,93
2024-09-10,651.2,651.2,651.2,651.2,24,BE,3,8.0,24
2024-09-11,664.2,664.2,664.2,664.2,7519,BE,353,21.3,7519
2024-09-12,677.45,677.45,677.45,677.45,44,BE,8,5.5,44
2024-09-13,690.95,690.95,690.95,690.95,259,BE,13,19.92,259
2024-09-16,704.75,704.75,704.75,704.75,111,BE,15,7.4,111
2024-09-17,718.8,718.8,718.8,718.8,226,BE,10,22.6,226
2024-09-18,733.15,733.15,733.15,733.15,178,BE,10,17.8,178
2024-09-19,747.8,747.8,747.8,747.8,100,BE,11,9.09,100
2024-09-20,762.75,762.75,762.75,762.75,111,BE,10,11.1,111
2024-09-23,778.0,778.0,778.0,778.0,53,BE,10,5.3,53
2024-09-24,793.55,793.55,793.55,793.55,185,BE,13,14.23,185
2024-09-25,809.4,809.4,809.4,809.4,126,BE,12,10.5,126
2024-09-26,825.55,825.55,825.55,825.55,31,BE,9,3.44,31
2024-09-27,842.05,842.05,842.05,842.05,40,BE,5,8.0,40
2024-09-30,858.85,858.85,858.85,858.85,265,BE,12,22.08,265
2024-10-01,876.0,876.0,876.0,876.0,63,BE,7,9.0,63
2024-10-03,893.5,893.5,893.5,893.5,502,BE,21,23.9,502
2024-10-04,911.35,911.35,911.35,911.35,51,BE,10,5.1,51
2024-10-07,929.55,929.55,920.0,929.55,8197,BE,550,14.9,8197
2024-10-08,948.1,948.1,948.1,948.1,8106,BE,452,17.93,8106
2024-10-09,967.05,967.05,967.05,967.05,286,BE,32,8.94,286
2024-10-10,986.35,986.35,986.35,986.35,94,BE,19,4.95,94
2024-10-11,1006.05,1006.05,1006.05,1006.05,327,BE,25,13.08,327
2024-10-14,1026.15,1026.15,1026.15,1026.15,1646,BE,26,63.31,1646
2024-10-15,1046.65,1046.65,1046.65,1046.65,285,BE,29,9.83,285
2024-10-16,1067.55,1067.55,1067.55,1067.55,300,BE,28,10.71,300
2024-10-17,1088.9,1088.9,1088.9,1088.9,59,BE,11,5.36,59
2024-10-18,1110.65,1110.65,1110.65,1110.65,190,BE,22,8.64,190
2024-10-21,1132.85,1132.85,1132.85,1132.85,502,BE,44,11.41,502
2024-10-22,1155.5,1155.5,1155.5,1155.5,388,BE,27,14.37,388
2024-10-23,1178.6,1178.6,1177.95,1178.55,17862,BE,1179,15.15,17862
2024-10-24,1178.55,1202.1,1178.55,1202.1,4132,BE,368,11.23,4132
2024-10-25,1226.05,1226.1,1226.05,1226.1,2032,BE,205,9.91,2032
2024-10-28,1250.6,1250.6,1250.6,1250.6,563,BE,28,20.11,563
2024-10-29,1275.6,1275.6,1275.6,1275.6,1342,BE,20,67.1,1342
2024-10-30,1301.1,1301.1,1301.1,1301.1,85,BE,16,5.31,85
2024-10-31,1327.1,1327.1,1327.1,1327.1,54,BE,12,4.5,54
2024-11-01,1353.6,1353.6,1353.6,1353.6,2,BE,2,1.0,2
2024-11-04,1380.65,1380.65,1380.65,1380.65,706,BE,39,18.1,706
2024-11-05,1408.25,1408.25,1408.25,1408.25,492,BE,39,12.62,492
2024-11-06,1436.4,1436.4,1436.4,1436.4,202,BE,29,6.97,202
2024-11-07,1465.1,1465.1,1465.1,1465.1,372,BE,31,12.0,372
2024-11-08,1494.4,1494.4,1494.4,1494.4,523,BE,37,14.14,523
