Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-10-04,537.7,564.55,537.7,564.55,3137200,5756,545.03,3134000
2024-10-07,592.75,592.75,560.5,592.75,1037600,1662,624.31,1012800
2024-10-08,618.0,622.35,582.0,622.35,399200,656,608.54,372000
2024-10-09,653.45,653.45,653.45,653.45,14400,27,533.33,14400
2024-10-10,686.1,686.1,686.1,686.1,14400,26,553.85,14400
2024-10-11,720.4,720.4,701.2,720.4,807200,1306,618.07,673200
2024-10-14,740.0,756.4,700.0,756.4,442000,682,648.09,404400
2024-10-15,794.2,794.2,794.2,794.2,28400,45,631.11,28400
2024-10-16,833.9,833.9,780.1,830.75,448000,780,574.36,391600
2024-10-17,823.0,872.25,800.0,872.25,441200,816,540.69,387600
2024-10-18,864.0,883.9,745.0,760.15,1110400,2416,459.6,564800
2024-10-21,760.15,808.9,693.0,710.7,625200,1285,486.54,376000
2024-10-22,715.2,765.0,672.0,709.2,518800,1149,451.52,267600
2024-10-23,739.9,765.0,710.0,741.0,246000,516,476.74,168400
2024-10-24,750.0,772.0,706.75,714.15,251600,504,499.21,173200
2024-10-25,718.0,722.4,661.45,682.1,291600,642,454.21,175600
2024-10-28,705.0,717.0,660.0,676.85,260000,588,442.18,146400
2024-10-29,689.95,689.95,625.0,647.75,284000,651,436.25,164400
2024-10-30,643.0,770.0,638.25,728.4,460400,1002,459.48,227200
2024-10-31,713.35,783.0,676.0,754.8,406800,906,449.01,202800
2024-11-01,750.0,773.8,730.0,764.25,156000,353,441.93,89600
