Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-04-02,400.0,416.0,400.0,405.7,1052029,EQ,18368.0,57.28,254726.0
2026-04-06,407.15,424.2,404.5,406.65,173200,EQ,4866.0,35.59,53549.0
2026-04-07,406.0,418.0,406.0,409.25,719931,EQ,2889.0,249.2,654930.0
2026-04-08,420.0,443.9,410.7,421.75,325968,EQ,6526.0,49.95,114724.0
2026-04-09,421.75,436.4,417.05,422.7,519701,EQ,3531.0,147.18,443025.0
2026-04-10,430.0,438.7,422.75,423.95,573844,EQ,4009.0,143.14,479873.0
2026-04-13,416.0,434.9,416.0,426.65,510764,EQ,3752.0,136.13,420872.0
2026-04-15,438.55,457.45,430.0,436.7,474226,EQ,7232.0,65.57,292445.0
2026-04-16,444.0,475.0,439.15,465.1,599708,EQ,7748.0,77.4,407719.0
2026-04-17,469.75,526.3,468.35,480.1,877373,EQ,14697.0,59.7,515555.0
2026-04-20,482.45,492.65,477.3,489.55,174187,EQ,5457.0,31.92,116226.0
2026-04-21,498.95,498.95,468.85,481.75,336550,EQ,3502.0,96.1,215397.0
2026-04-22,460.0,490.55,457.7,485.8,190381,EQ,4756.0,40.03,78049.0
2026-04-23,486.0,493.2,477.0,481.1,102701,EQ,3144.0,32.67,55120.0
2026-04-24,481.1,491.1,475.05,484.75,218987,EQ,2815.0,77.79,170210.0
2026-04-27,485.75,501.95,481.2,485.2,152225,EQ,6156.0,24.73,78707.0
2026-04-28,481.6,492.0,480.95,482.55,159329,EQ,1887.0,84.44,128264.0
2026-04-29,489.5,493.0,484.05,486.95,136680,EQ,4551.0,30.03,53027.0
2026-04-30,486.95,495.95,478.5,486.05,66426,EQ,2930.0,22.67,30465.0
2026-05-04,492.9,492.9,479.0,481.8,51305,EQ,1794.0,28.6,29760.0
2026-05-05,482.0,504.4,482.0,489.45,102747,EQ,4899.0,20.97,40365.0
2026-05-06,489.45,524.5,486.6,509.9,175888,EQ,6001.0,29.31,84708.0
2026-05-07,509.9,513.45,488.0,497.1,152608,EQ,5375.0,28.39,67710.0
2026-05-08,504.85,505.1,487.8,489.85,147748,EQ,4623.0,31.96,103567.0
2026-05-11,489.1,498.45,485.0,486.2,77062,EQ,2000.0,38.53,44168.0
2026-05-12,488.75,489.45,465.2,473.25,197447,EQ,3173.0,62.23,146446.0
2026-05-13,474.0,482.8,472.05,476.9,66488,EQ,2077.0,32.01,41867.0
2026-05-14,479.95,482.7,467.0,480.6,50391,EQ,2047.0,24.62,26031.0
2026-05-15,481.0,486.75,475.15,481.25,83487,EQ,2115.0,39.47,67096.0
2026-05-18,481.25,491.0,476.5,478.6,69677,EQ,2516.0,27.69,49994.0
2026-05-19,477.0,484.3,471.55,473.35,59643,EQ,2580.0,23.12,47142.0
2026-05-20,473.35,487.6,469.05,480.65,33817,EQ,1314.0,25.74,20846.0
2026-05-21,487.0,490.35,477.0,480.1,49817,EQ,2007.0,24.82,33009.0
2026-05-22,487.3,493.0,479.55,486.7,170762,EQ,3925.0,43.51,120513.0
2026-05-25,508.0,508.0,486.0,489.8,299426,EQ,5800.0,51.63,171158.0
2026-05-26,495.0,495.0,480.55,483.65,63471,EQ,2008.0,31.61,39641.0
2026-05-27,483.0,488.0,482.95,484.75,260043,EQ,1511.0,172.1,241043.0
2026-05-29,495.0,499.0,474.0,485.9,224868,EQ,4443.0,50.61,152585.0
2026-06-01,523.95,543.2,497.05,512.25,1769589,EQ,41702.0,42.43,706097.0
2026-06-02,514.9,536.2,498.0,501.4,1054305,EQ,34422.0,30.63,342517.0
2026-06-03,505.0,505.0,492.0,499.6,213146,EQ,10301.0,20.69,118126.0
2026-06-04,502.3,563.65,498.55,548.95,1058404,EQ,32340.0,32.73,410082.0
2026-06-05,545.4,570.5,540.0,545.2,396805,EQ,14106.0,28.13,153803.0
2026-06-08,545.0,573.0,540.1,550.9,342845,EQ,13599.0,25.21,156077.0
2026-06-09,552.05,571.8,552.05,560.05,201813,EQ,6499.0,31.05,98695.0
2026-06-10,562.85,573.8,546.65,550.65,248463,EQ,5431.0,45.75,153400.0
2026-06-11,558.85,579.45,551.15,558.35,281705,EQ,9787.0,28.78,115177.0
2026-06-12,571.0,596.5,564.2,569.5,337514,EQ,10763.0,31.36,145722.0
2026-06-15,581.45,585.0,568.1,572.95,169300,EQ,5482.0,30.88,83890.0
2026-06-16,579.0,579.0,564.0,572.25,75640,EQ,3318.0,22.8,35877.0
2026-06-17,570.0,585.8,565.0,571.9,135303,EQ,5011.0,27.0,58890.0
2026-06-18,573.55,598.0,566.0,584.2,313829,EQ,9926.0,31.62,129691.0
2026-06-19,586.8,597.0,578.15,593.1,294950,EQ,8769.0,33.64,165844.0
2026-06-22,593.1,599.0,583.5,587.85,174420,EQ,5117.0,34.09,112173.0
2026-06-23,593.7,622.8,587.0,600.05,335028,EQ,9386.0,35.69,149128.0
2026-06-24,604.0,606.0,584.4,589.75,173185,EQ,7135.0,24.27,88596.0
2026-06-25,590.0,596.0,578.3,585.3,151973,EQ,4522.0,33.61,102937.0
2026-06-29,594.05,594.9,574.45,587.45,259173,EQ,4935.0,52.52,157988.0
2026-06-30,583.7,598.05,583.65,588.35,435543,EQ,14653.0,29.72,306638.0
2026-07-01,594.0,625.0,591.45,612.1,790579,EQ,33797,23.39,421396
2026-07-02,676.15,706.0,618.55,623.8,3013267,EQ,66526,45.29,754866
2026-07-03,625.0,633.15,613.7,618.6,283366,EQ,12380,22.89,112365
2026-07-06,618.5,638.95,606.05,610.25,297981,EQ,9103,32.73,108654
2026-07-07,611.05,619.8,597.0,598.55,163424,EQ,5853,27.92,86045
2026-07-08,598.0,606.15,581.45,586.5,168960,EQ,6529,25.88,76303
2026-07-09,585.0,600.7,578.75,596.1,179400,EQ,8184,21.92,101840
2026-07-10,596.1,608.3,579.5,588.1,304478,EQ,11141,27.33,133552
2026-07-13,594.0,594.7,581.0,586.15,108439,EQ,3838,28.25,49343
2026-07-14,582.0,587.0,576.3,583.35,79187,EQ,4593,17.24,40601
2026-07-15,585.0,587.85,555.9,566.85,150761,EQ,5076,29.7,86292
