Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-08-02,112.1,117.7,112.1,117.7,508000,216,2351.85,508000
2024-08-05,123.55,123.55,123.55,123.55,706000,170,4152.94,706000
2024-08-06,129.7,129.7,117.4,119.0,1556000,620,2509.68,1526000
2024-08-07,113.05,119.0,113.05,113.05,476000,159,2993.71,452000
2024-08-08,109.05,109.05,107.4,107.4,98000,40,2450.0,96000
2024-08-09,102.05,112.75,102.05,111.1,544000,177,3073.45,440000
2024-08-12,108.05,116.65,105.55,116.65,378000,154,2454.55,362000
2024-08-13,116.0,120.45,110.85,112.25,288000,129,2232.56,270000
2024-08-14,116.25,117.85,113.5,117.85,136000,63,2158.73,126000
2024-08-16,123.7,123.7,123.7,123.7,86000,22,3909.09,86000
2024-08-19,134.0,148.4,129.45,148.05,1808000,717,2521.62,844000
2024-08-20,148.4,158.0,137.0,150.05,862000,416,2072.12,388000
2024-08-21,154.95,180.05,145.1,180.05,910000,438,2077.63,420000
2024-08-22,198.05,198.05,198.05,198.05,66000,27,2444.44,66000
2024-08-23,217.85,217.85,217.85,217.85,62000,28,2214.29,62000
2024-08-26,233.0,239.6,197.55,239.6,1406000,567,2479.72,630000
2024-08-27,244.0,250.0,227.65,227.65,530000,256,2070.31,286000
2024-08-28,216.3,226.95,216.3,216.3,404000,192,2104.17,214000
2024-08-29,206.0,212.0,205.5,205.5,96000,41,2341.46,74000
2024-08-30,200.3,215.75,195.25,207.0,1020000,398,2562.81,330000
