Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-12-11,75.0,78.75,75.0,75.4,2414000,1092,2210.62,2410000
2023-12-12,75.4,75.6,71.65,73.25,402000,184,2184.78,394000
2023-12-13,70.55,72.75,70.2,71.0,276000,127,2173.23,244000
2023-12-14,71.5,72.9,71.5,72.0,332000,111,2990.99,328000
2023-12-15,73.9,73.9,71.0,71.5,146000,61,2393.44,132000
2023-12-18,72.7,72.7,70.5,71.1,76000,36,2111.11,70000
2023-12-19,71.35,71.75,70.1,70.7,68000,31,2193.55,68000
2023-12-20,70.5,71.05,68.0,68.45,138000,57,2421.05,138000
2023-12-21,68.4,71.85,68.0,71.65,102000,49,2081.63,100000
2023-12-22,74.5,75.2,71.85,75.2,134000,59,2271.19,134000
2023-12-26,89.9,90.2,82.6,86.1,662000,306,2163.4,344000
2023-12-27,89.95,91.9,83.5,84.35,336000,142,2366.2,174000
2023-12-28,85.5,87.0,84.4,85.2,112000,49,2285.71,48000
2023-12-29,86.6,86.6,80.5,82.1,112000,49,2285.71,54000
2024-01-01,82.9,84.1,80.8,81.5,82000,37,2216.22,38000
2024-01-02,81.5,82.5,79.8,80.0,74000,35,2114.29,34000
2024-01-03,80.0,80.5,78.45,79.65,60000,26,2307.69,28000
2024-01-04,79.7,82.0,79.7,80.65,46000,22,2090.91,18000
2024-01-05,82.0,82.5,81.0,81.9,56000,19,2947.37,34000
2024-01-08,86.95,86.95,82.1,84.25,104000,48,2166.67,50000
2024-01-09,85.5,86.0,85.0,85.5,62000,31,2000.0,36000
2024-01-10,85.5,85.5,84.0,85.05,82000,22,3727.27,72000
2024-01-11,85.6,86.0,84.0,84.0,30000,12,2500.0,10000
2024-01-12,84.05,84.05,81.5,82.2,46000,19,2421.05,18000
2024-01-15,83.0,83.35,81.5,82.8,32000,12,2666.67,10000
2024-01-16,80.2,82.5,80.2,82.5,30000,13,2307.69,10000
2024-01-17,80.15,81.5,79.5,80.9,44000,21,2095.24,16000
2024-01-18,80.0,80.3,76.55,76.7,68000,34,2000.0,30000
2024-01-19,77.25,78.0,75.25,75.25,32000,16,2000.0,10000
2024-01-20,77.0,77.5,76.0,76.0,28000,14,2000.0,8000
2024-01-23,76.9,77.35,73.5,74.5,42000,21,2000.0,18000
2024-01-24,74.3,74.5,70.95,72.85,112000,49,2285.71,58000
2024-01-25,73.55,74.9,70.8,73.0,66000,29,2275.86,26000
2024-01-29,74.0,75.75,72.0,75.75,48000,22,2181.82,24000
2024-01-30,76.1,77.0,75.05,76.3,34000,15,2266.67,12000
2024-01-31,76.25,81.95,75.0,77.85,142000,59,2406.78,50000
2024-02-01,78.0,78.1,76.6,76.85,28000,14,2000.0,4000
2024-02-02,77.0,77.2,74.7,74.8,48000,23,2086.96,20000
2024-02-05,75.1,75.6,73.7,74.0,48000,22,2181.82,24000
2024-02-06,73.5,74.5,73.5,74.0,32000,13,2461.54,10000
2024-02-07,73.3,74.9,73.15,73.15,34000,16,2125.0,6000
2024-02-08,73.15,73.15,72.5,72.5,22000,9,2444.44,16000
2024-02-09,73.6,74.0,71.05,73.35,44000,21,2095.24,24000
2024-02-12,73.0,73.0,71.05,71.65,48000,21,2285.71,14000
2024-02-13,71.6,72.0,71.45,72.0,12000,6,2000.0,6000
2024-02-14,72.0,72.0,72.0,72.0,2000,1,2000.0,2000
2024-02-15,72.5,72.5,72.5,72.5,4000,2,2000.0,4000
2024-02-16,72.6,73.0,71.5,72.2,30000,14,2142.86,8000
2024-02-19,72.55,73.0,72.5,72.85,48000,24,2000.0,16000
2024-02-20,72.5,75.0,71.65,72.55,42000,21,2000.0,22000
2024-02-21,72.6,73.5,71.9,71.9,24000,12,2000.0,4000
2024-02-22,72.0,73.0,71.4,72.5,86000,42,2047.62,32000
2024-02-23,72.5,73.0,71.6,72.6,38000,16,2375.0,6000
2024-02-26,72.0,72.5,71.25,71.7,36000,18,2000.0,12000
2024-02-27,71.8,72.5,71.5,71.8,32000,13,2461.54,8000
2024-02-28,71.6,71.6,70.5,71.35,80000,37,2162.16,36000
2024-02-29,72.15,73.15,70.5,71.05,30000,13,2307.69,20000
2024-03-01,71.25,72.55,71.05,72.05,44000,22,2000.0,16000
2024-03-02,72.75,72.75,72.75,72.75,2000,1,2000.0,2000
2024-03-04,71.5,71.5,69.5,71.1,22000,9,2444.44,20000
2024-03-05,69.5,70.75,68.7,70.45,44000,20,2200.0,30000
2024-03-06,70.0,70.7,69.9,70.55,30000,15,2000.0,16000
2024-03-07,70.0,71.5,68.6,70.1,46000,21,2190.48,28000
2024-03-11,70.0,70.0,65.2,67.9,74000,35,2114.29,46000
2024-03-12,65.3,66.0,61.15,62.7,68000,30,2266.67,42000
2024-03-13,63.4,63.5,58.7,59.85,48000,21,2285.71,30000
2024-03-14,59.0,59.0,57.3,58.05,96000,36,2666.67,88000
2024-03-15,56.5,59.4,56.1,57.65,90000,36,2500.0,80000
2024-03-18,58.9,60.0,55.1,56.9,78000,37,2108.11,46000
2024-03-19,56.55,60.9,56.55,59.55,28000,13,2153.85,14000
2024-03-20,57.1,64.85,57.1,62.0,94000,47,2000.0,54000
2024-03-21,59.2,67.75,59.2,64.6,66000,31,2129.03,38000
