Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-12,100.0,105.0,98.0,101.7,2891000,ST,1492,1937.67,2884000
2025-11-13,98.5,101.9,96.65,99.15,367000,ST,213,1723.0,340000
2025-11-14,98.85,100.9,95.5,97.75,254000,ST,120,2116.67,248000
2025-11-17,97.45,102.6,97.45,102.1,204000,ST,124,1645.16,198000
2025-11-18,102.9,107.2,102.9,107.2,99000,ST,87,1137.93,97000
2025-11-19,110.0,112.55,109.0,112.55,161000,ST,101,1594.06,158000
2025-11-20,117.9,118.15,117.0,118.15,113000,ST,74,1527.03,109000
2025-11-21,118.15,118.15,112.25,114.65,161000,ST,148,1087.84,148000
2025-11-24,113.15,119.5,108.95,118.0,108000,ST,91,1186.81,99000
2025-11-25,118.35,118.5,112.25,114.35,47000,ST,45,1044.44,44000
2025-11-26,117.5,123.65,116.0,116.6,158000,SM,143,1104.9,84000
2025-11-27,117.0,118.6,114.0,117.25,108000,SM,70,1542.86,94000
2025-11-28,117.25,117.5,112.6,115.9,58000,SM,48,1208.33,44000
2025-12-01,116.25,118.0,113.4,113.9,42000,SM,37,1135.14,33000
2025-12-02,113.9,116.0,110.1,112.3,43000,SM,31,1387.1,38000
2025-12-03,111.15,111.25,100.0,110.3,79000,SM,69,1144.93,40000
2025-12-04,105.05,110.15,105.0,109.5,12000,SM,12,1000.0,6000
2025-12-05,102.25,109.9,96.5,108.6,155000,SM,111,1396.4,79000
2025-12-08,107.0,107.0,102.0,106.15,44000,SM,42,1047.62,35000
2025-12-09,104.0,108.1,103.0,107.7,66000,SM,53,1245.28,51000
2025-12-10,103.0,110.4,103.0,107.9,25000,SM,18,1388.89,15000
2025-12-11,107.5,109.8,106.0,108.65,30000,SM,29,1034.48,21000
2025-12-12,109.0,109.25,105.6,109.0,52000,SM,30,1733.33,47000
