Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-12-11,13.3,13.7,12.95,13.4,934000,SM,,,
2017-12-12,13.4,13.5,13.3,13.35,314000,SM,,,
2017-12-13,13.45,14.2,13.45,13.5,184000,SM,,,
2017-12-14,13.5,13.5,13.35,13.35,22000,SM,,,
2017-12-15,13.4,13.4,13.35,13.35,30000,SM,,,
2017-12-18,13.35,13.5,13.35,13.35,22000,SM,,,
2017-12-19,13.35,13.45,13.35,13.35,76000,SM,,,
2017-12-20,13.4,13.4,13.35,13.35,22000,SM,,,
2017-12-21,13.4,13.4,13.35,13.35,24000,SM,,,
2017-12-22,13.4,13.4,13.35,13.35,24000,SM,,,
2017-12-26,13.3,13.35,13.15,13.35,30000,SM,,,
2017-12-27,13.6,13.6,13.35,13.4,12000,SM,,,
2017-12-28,13.35,13.4,13.35,13.4,6000,SM,,,
2017-12-29,13.4,13.4,13.3,13.35,48000,SM,,,
2018-01-01,13.55,13.55,13.4,13.4,16000,SM,,,
2018-01-02,13.35,13.4,13.35,13.4,84000,SM,,,
2018-01-03,13.4,13.55,13.4,13.5,24000,SM,,,
2018-01-04,13.4,13.5,13.4,13.5,6000,SM,,,
2018-01-05,13.4,13.4,13.4,13.4,2000,SM,,,
2018-01-08,13.4,13.4,13.3,13.35,38000,SM,,,
2018-01-09,13.35,13.35,13.35,13.35,18000,SM,,,
2018-01-10,13.4,13.4,13.35,13.35,6000,SM,,,
2018-01-11,13.3,13.3,13.3,13.3,10000,SM,,,
2018-01-12,13.6,13.6,13.3,13.35,6000,SM,,,
2018-01-15,13.35,13.35,13.3,13.3,8000,SM,,,
2018-01-16,13.3,13.3,13.3,13.3,10000,SM,,,
2018-01-17,13.3,13.3,13.3,13.3,16000,SM,,,
2018-01-18,13.3,13.3,13.3,13.3,20000,SM,,,
2018-01-19,13.3,13.3,13.3,13.3,2000,SM,,,
2018-01-22,13.3,13.3,13.05,13.05,4000,SM,,,
2018-01-23,12.95,13.3,12.95,13.3,14000,SM,,,
2018-01-24,13.3,13.3,13.3,13.3,8000,SM,,,
2018-01-25,13.3,13.3,13.25,13.25,4000,SM,,,
2018-01-29,12.75,13.3,12.75,13.25,10000,SM,,,
2018-01-30,12.8,13.25,12.8,13.25,22000,SM,,,
2018-01-31,13.2,13.2,13.2,13.2,2000,SM,,,
2018-02-01,12.75,12.75,12.75,12.75,2000,SM,,,
2018-02-02,11.9,11.9,11.05,11.4,8000,SM,,,
