Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-10-12,97.0,101.85,97.0,101.85,10396,206.0,50.47,10396.0
2023-10-13,106.9,106.9,106.9,106.9,9685,195.0,49.67,9685.0
2023-10-16,112.2,112.2,112.2,112.2,3706,110.0,33.69,3706.0
2023-10-17,117.8,117.8,117.8,117.8,2605,77.0,33.83,2605.0
2023-10-18,123.65,123.65,123.65,123.65,2381,55.0,43.29,2381.0
2023-10-19,129.8,129.8,129.8,129.8,1273,36.0,35.36,1273.0
2023-10-20,136.25,136.25,136.25,136.25,3593,59.0,60.9,3593.0
2023-10-23,143.05,143.05,143.05,143.05,1622,52.0,31.19,1622.0
2023-10-25,150.2,150.2,150.2,150.2,2330,62.0,37.58,2330.0
2023-10-26,157.7,157.7,157.7,157.7,3814,67.0,56.93,3814.0
2023-10-27,173.45,173.45,173.45,173.45,2243,63.0,35.6,2243.0
2023-10-30,190.75,190.75,190.75,190.75,5592,111.0,50.38,5592.0
2023-10-31,200.25,200.25,200.25,200.25,16213,129.0,125.68,16213.0
2023-11-01,210.25,210.25,210.25,210.25,13458,95.0,141.66,13458.0
2023-11-02,220.75,220.75,220.75,220.75,3538,69.0,51.28,3538.0
2023-11-03,231.75,231.75,231.75,231.75,5607,112.0,50.06,5607.0
2023-11-06,243.3,243.3,243.3,243.3,3274,70.0,46.77,3274.0
2023-11-07,255.45,255.45,255.45,255.45,3284,83.0,39.57,3284.0
2023-11-08,260.55,260.55,260.55,260.55,18455,254.0,72.66,18455.0
2023-11-09,265.75,265.75,265.75,265.75,9275,128.0,72.46,9275.0
2023-11-10,271.05,271.05,271.05,271.05,4451,87.0,51.16,4451.0
2023-11-12,276.45,276.45,276.45,276.45,1602,29.0,55.24,1602.0
2023-11-13,281.95,281.95,281.95,281.95,8979,65.0,138.14,8979.0
2023-11-15,287.55,287.55,287.55,287.55,4073,72.0,56.57,4073.0
2023-11-16,281.8,281.8,281.8,281.8,31083,143.0,217.36,31083.0
2023-11-17,276.2,286.95,276.2,286.85,110149,594.0,185.44,110149.0
2023-11-20,289.0,292.55,284.8,284.8,93069,303.0,307.16,93069.0
2023-11-21,279.1,285.0,279.1,280.0,42084,231.0,182.18,42084.0
2023-11-22,280.0,280.0,274.4,274.4,42794,211.0,202.82,42794.0
2023-11-23,274.4,279.85,270.5,279.85,49814,290.0,171.77,49814.0
2023-11-24,285.4,285.4,285.4,285.4,10806,115.0,93.97,10806.0
2023-11-28,289.9,289.9,280.0,280.0,15922,135.0,117.94,15922.0
2023-11-29,280.0,285.6,275.05,285.6,32111,191.0,168.12,32111.0
2023-11-30,279.9,284.0,279.9,283.5,21432,155.0,138.27,21432.0
2023-12-01,289.0,289.0,280.1,285.0,7190,121.0,59.42,7190.0
2023-12-04,284.0,284.0,279.3,279.3,10474,105.0,99.75,10474.0
2023-12-05,278.1,278.1,273.75,273.75,16865,67.0,251.72,16865.0
