Date,Open,High,Low,Close,Volume
2021-11-15,57.0,59.85,57.0,59.85,1498294.0
2021-11-16,62.85,62.85,62.85,62.85,45734.0
2021-11-17,63.4,63.4,59.7,59.7,543748.0
2021-11-18,56.7,56.7,56.7,56.7,49114.0
2021-11-22,53.9,53.9,53.9,53.9,27888.0
2021-11-23,51.2,51.2,51.2,51.2,28285.0
2021-11-24,48.65,53.75,48.65,53.75,1261412.0
2021-11-25,51.05,53.2,51.05,51.3,637337.0
2021-11-26,49.1,50.95,48.75,48.95,325822.0
2021-11-29,48.5,48.7,46.5,46.5,190676.0
2021-11-30,47.25,49.4,39.9,41.2,1879248.0
2021-12-01,42.0,42.95,39.4,40.6,815375.0
2021-12-02,40.75,45.95,40.1,44.0,1766410.0
2021-12-03,44.1,45.45,43.1,43.6,1142137.0
2021-12-06,44.0,44.0,40.9,41.3,560381.0
2021-12-07,42.2,43.2,41.3,41.55,833251.0
2021-12-08,41.95,42.45,40.45,41.15,465883.0
2021-12-09,41.0,41.8,40.7,41.0,278803.0
2021-12-10,41.0,41.8,40.7,40.8,330711.0
2021-12-13,42.2,44.6,42.0,42.4,1134392.0
2021-12-14,42.6,42.8,41.5,41.7,263073.0
2021-12-15,41.7,42.15,40.8,40.85,326444.0
2021-12-16,41.5,41.65,40.35,40.6,223718.0
2021-12-17,40.7,41.75,40.2,40.65,299663.0
2021-12-20,40.0,40.45,37.65,39.5,350205.0
2021-12-21,39.95,41.1,39.0,39.75,302001.0
2021-12-22,39.85,40.95,39.1,39.65,231045.0
2021-12-23,40.45,40.8,39.65,40.2,202699.0
2021-12-24,40.3,40.6,39.5,39.75,260620.0
2021-12-27,39.75,40.7,39.4,39.7,300092.0
2021-12-28,39.85,40.3,39.2,39.4,200711.0
2021-12-29,39.4,42.2,39.3,39.9,1206792.0
2021-12-30,39.9,41.5,39.5,39.7,768833.0
2021-12-31,40.0,40.35,39.6,39.9,458825.0
2022-01-03,40.2,40.4,39.55,39.7,391926.0
2022-01-04,39.95,39.95,39.0,39.1,236292.0
2022-01-05,39.0,39.7,38.55,38.7,292947.0
2022-01-06,38.35,38.55,38.1,38.25,207346.0
2022-01-07,38.4,38.9,38.1,38.4,260787.0
2022-01-10,38.8,39.15,38.3,38.5,211813.0
2022-01-11,38.7,38.7,38.0,38.15,190486.0
2022-01-12,38.4,39.6,38.0,38.05,445438.0
2022-01-13,38.45,39.55,37.9,39.2,696951.0
2022-01-14,39.6,40.15,39.2,39.35,390493.0
2022-01-17,39.4,41.15,38.9,39.1,1363131.0
2022-01-18,39.35,39.35,38.1,38.25,276287.0
2022-01-19,38.25,38.35,36.75,36.9,370185.0
2022-01-20,37.0,38.15,37.0,37.35,217709.0
2022-01-21,36.95,37.75,36.35,36.6,186721.0
2022-01-24,36.6,36.65,33.85,34.5,250455.0
2022-01-25,34.0,35.3,33.1,34.6,171031.0
2022-01-27,34.5,34.5,33.0,33.4,191401.0
2022-01-28,33.6,34.55,33.6,33.8,105013.0
2022-01-31,34.4,34.8,33.5,33.75,107189.0
2022-02-01,33.95,35.8,33.95,35.3,270215.0
2022-02-02,35.95,40.6,35.8,38.6,1609409.0
2022-02-03,38.95,39.7,37.25,38.2,324365.0
2022-02-04,37.8,38.05,36.75,37.0,153996.0
2022-02-07,37.0,37.2,35.4,35.75,118883.0
2022-02-08,35.85,36.35,34.2,35.1,171690.0
2022-02-09,35.3,36.0,34.6,34.95,117101.0
2022-02-10,35.15,35.55,34.2,34.6,145127.0
2022-02-11,34.1,34.5,33.8,34.05,92302.0
2022-02-14,30.65,33.3,30.65,31.15,255151.0
2022-02-15,31.95,32.25,30.65,32.0,155357.0
2022-02-16,32.5,33.3,32.2,32.6,89164.0
2022-02-17,32.75,33.2,32.15,32.35,70427.0
2022-02-18,32.05,33.0,31.7,31.9,67777.0
2022-02-21,31.75,32.1,31.2,31.45,77423.0
2022-02-22,30.5,30.7,29.7,30.1,139042.0
2022-02-23,31.3,32.5,30.8,31.2,233394.0
2022-02-24,30.0,30.25,27.5,27.95,346402.0
2022-02-25,28.9,29.95,28.9,29.4,102846.0
2022-02-28,29.4,30.2,28.6,30.15,75886.0
2022-03-02,29.5,30.5,28.6,30.0,123140.0
2022-03-03,30.5,30.9,29.85,30.1,66311.0
2022-03-04,29.8,29.9,29.0,29.2,107641.0
2022-03-07,28.0,29.25,28.0,28.2,96067.0
2022-03-08,28.5,28.95,27.6,27.7,146920.0
2022-03-09,27.95,28.7,27.8,28.4,112279.0
2022-03-10,29.1,29.75,28.8,28.95,127455.0
2022-03-11,29.3,31.5,29.0,31.05,285736.0
2022-03-14,31.4,31.8,30.5,30.6,112129.0
2022-03-15,30.7,30.7,29.5,29.7,91379.0
2022-03-16,30.1,30.6,29.8,30.05,69347.0
2022-03-17,30.5,30.8,29.9,30.1,163334.0
2022-03-21,30.5,30.7,29.6,29.95,91885.0
2022-03-22,29.95,30.5,29.5,30.25,77444.0
2022-03-23,30.6,31.1,29.95,30.05,126340.0
2022-03-24,30.05,30.45,29.65,29.8,72130.0
2022-03-25,30.4,30.4,29.45,29.55,84554.0
2022-03-28,29.6,29.7,28.65,28.8,87639.0
2022-03-29,29.0,30.2,28.7,29.0,295494.0
2022-03-30,29.2,30.0,28.6,29.5,273103.0
2022-03-31,29.4,29.6,28.8,28.9,131635.0
2022-04-01,29.05,31.4,29.05,30.55,368812.0
2022-04-04,30.75,31.55,30.6,31.15,190378.0
2022-04-05,31.2,33.25,31.1,32.55,420615.0
2022-04-06,32.55,33.7,32.1,32.75,243904.0
2022-04-07,33.05,33.35,31.5,31.75,153310.0
2022-04-08,32.0,32.95,31.8,32.7,227232.0
2022-04-11,32.7,33.7,32.5,32.8,138356.0
2022-04-12,33.0,33.1,31.45,31.95,100976.0
2022-04-13,32.0,32.65,31.95,32.2,55221.0
2022-04-18,31.95,31.95,31.15,31.5,69476.0
2022-04-19,31.75,32.0,30.05,30.6,87754.0
2022-04-20,30.8,31.35,30.6,30.7,71911.0
2022-04-21,30.75,31.2,30.75,30.8,54656.0
2022-04-22,30.75,31.45,30.6,30.9,91546.0
2022-04-25,30.75,30.75,29.9,30.2,59312.0
2022-04-26,30.2,30.55,29.5,29.95,82079.0
2022-04-27,29.9,30.0,29.15,29.35,61155.0
2022-04-28,29.4,29.9,29.15,29.3,40355.0
2022-04-29,29.75,29.8,29.2,29.25,32764.0
2022-05-02,28.95,29.2,28.6,29.05,49731.0
2022-05-04,28.8,29.2,28.05,28.2,58623.0
2022-05-05,29.05,29.05,28.0,28.15,47745.0
2022-05-06,27.5,28.0,27.2,27.4,105870.0
2022-05-09,27.2,27.5,26.55,27.15,52531.0
2022-05-10,27.5,27.6,26.95,27.05,37281.0
2022-05-12,25.4,25.9,24.75,25.6,68721.0
2022-05-13,26.2,28.8,25.85,26.95,238471.0
2022-05-16,27.25,28.7,27.05,28.45,354223.0
2022-05-17,28.45,28.45,27.6,28.1,103826.0
2022-05-18,28.3,29.25,27.9,28.4,102020.0
2022-05-19,27.2,28.25,27.0,27.6,74225.0
2022-05-20,28.15,28.25,27.4,27.65,48423.0
2022-05-23,27.5,27.9,26.7,26.95,43757.0
2022-05-24,26.7,27.25,26.0,26.45,65196.0
2022-05-25,26.45,27.0,25.8,25.85,55110.0
2022-05-26,25.9,26.4,25.2,26.1,53133.0
2022-05-27,26.15,27.45,26.15,26.9,59261.0
2022-05-30,27.25,27.45,26.9,27.1,53256.0
2022-05-31,27.45,28.15,27.0,27.5,47210.0
2022-06-01,27.7,28.95,27.65,28.5,83638.0
2022-06-02,28.7,28.85,28.0,28.1,40147.0
2022-06-03,28.25,28.7,27.6,27.8,28336.0
2022-06-06,27.7,27.7,27.2,27.45,19203.0
2022-06-07,27.1,27.65,26.9,27.1,23132.0
2022-06-08,27.1,27.2,26.8,27.0,21391.0
2022-06-09,27.0,27.2,26.85,27.0,14534.0
2022-06-10,27.0,27.1,26.7,26.95,16498.0
2022-06-13,26.2,26.85,26.0,26.1,39209.0
2022-06-14,26.0,26.3,25.5,25.65,25384.0
2022-06-15,26.0,26.5,25.65,26.25,28148.0
2022-06-16,26.6,26.75,25.0,25.2,40696.0
2022-06-17,25.4,25.45,24.5,24.75,43343.0
2022-06-20,24.75,24.85,23.3,23.6,50088.0
2022-06-21,23.7,24.45,23.35,24.25,22333.0
2022-06-22,24.2,24.35,23.8,24.05,96340.0
2022-06-23,24.05,24.5,23.9,24.15,97312.0
2022-06-24,24.5,25.9,24.4,24.7,41176.0
2022-06-27,25.2,26.2,25.1,25.4,101101.0
2022-06-28,25.5,25.6,24.3,25.1,44560.0
2022-06-29,25.0,25.55,24.5,25.35,24000.0
2022-06-30,25.35,27.8,25.35,26.45,148076.0
2022-07-01,26.3,27.7,25.7,27.25,81646.0
2022-07-04,27.45,28.2,27.35,27.6,110782.0
2022-07-05,27.75,28.55,27.6,27.8,227453.0
2022-07-06,27.7,28.7,27.1,27.45,506743.0
2022-07-07,27.6,27.8,27.2,27.35,61327.0
2022-07-08,27.6,28.0,27.25,27.45,113590.0
2022-07-11,27.45,28.55,27.15,27.3,181306.0
2022-07-12,27.4,27.45,26.7,26.9,53761.0
2022-07-13,27.1,27.1,26.5,26.65,83906.0
2022-07-14,26.6,27.0,25.75,25.85,71713.0
2022-07-15,25.95,26.3,25.75,25.9,61574.0
2022-07-18,26.0,26.3,25.75,25.85,131681.0
2022-07-19,26.0,26.15,25.55,25.75,134901.0
2022-07-20,26.25,26.55,24.8,24.95,558161.0
2022-07-21,25.0,25.45,24.5,24.75,214301.0
2022-07-22,25.15,25.4,24.7,25.2,392849.0
2022-07-25,25.7,25.8,24.65,24.85,202558.0
2022-07-26,25.0,25.0,24.3,24.4,96339.0
2022-07-27,24.45,24.55,24.05,24.15,71964.0
2022-07-28,24.2,24.6,24.0,24.4,89405.0
2022-07-29,24.7,24.8,24.35,24.45,82881.0
2022-08-01,24.9,24.9,24.6,24.75,85072.0
2022-08-02,24.75,25.7,24.4,25.4,182559.0
2022-08-03,25.55,25.7,25.0,25.15,92409.0
2022-08-04,25.4,25.4,24.5,24.75,71345.0
2022-08-05,24.9,25.3,24.65,24.9,74084.0
2022-08-08,25.0,25.65,24.8,25.1,84831.0
2022-08-10,25.55,25.55,25.1,25.25,38002.0
2022-08-11,25.5,25.7,25.2,25.5,78070.0
2022-08-12,25.6,26.3,25.35,25.75,108291.0
2022-08-16,26.0,26.0,25.4,25.7,60873.0
