Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-02-14,311.0,326.55,310.0,326.55,282697,385,734.28,282697
2024-02-15,342.85,342.85,342.85,342.85,24576,76,323.37,24576
2024-02-16,359.95,359.95,359.95,359.95,6741,64,105.33,6741
2024-02-19,377.9,377.9,377.9,377.9,22916,75,305.55,22916
2024-02-20,396.75,396.75,396.75,396.75,3836,59,65.02,3836
2024-02-21,416.55,416.55,378.1,395.3,437725,1734,252.44,437725
2024-02-22,375.6,388.0,375.55,375.55,52127,265,196.71,52127
2024-02-23,359.0,394.3,356.8,391.4,166798,897,185.95,166798
2024-02-26,392.0,398.8,371.85,391.9,75102,514,146.11,75102
2024-02-27,390.0,395.5,383.1,387.25,28903,351,82.34,28903
2024-02-28,399.85,414.9,351.85,379.5,181816,2903,62.63,109796
2024-02-29,375.0,392.0,364.95,387.4,99304,1852,53.62,65478
2024-03-01,392.1,449.8,389.05,437.7,307941,6334,48.62,178906
2024-03-02,445.0,457.0,441.0,449.05,63001,956,65.9,51751
2024-03-04,449.0,458.0,417.05,427.15,103750,9017,11.51,42582
2024-03-05,436.0,436.0,401.1,405.4,118254,11921,9.92,51182
2024-03-06,400.0,442.0,385.0,437.5,177236,15496,11.44,91361
2024-03-07,445.0,466.0,435.25,441.7,129793,12624,10.28,26223
2024-03-11,415.0,447.15,408.45,412.2,113530,11608,9.78,31247
2024-03-12,402.0,429.25,400.0,421.3,128008,15044,8.51,21532
2024-03-13,423.95,426.9,355.25,367.7,163890,16115,10.17,71422
2024-03-14,361.0,405.0,361.0,392.75,75571,6024,12.54,44092
2024-03-15,395.15,399.0,382.5,389.9,20175,3029,6.66,7597
2024-03-18,385.0,408.8,385.0,394.9,20237,2637,7.67,7197
2024-03-19,390.05,405.25,376.1,381.0,55467,6418,8.64,19690
2024-03-20,375.0,388.8,367.6,374.0,51637,5698,9.06,22296
2024-03-21,385.45,395.0,379.4,389.45,23601,3317,7.12,11405
2024-03-22,394.95,397.9,383.85,396.25,37998,2531,15.01,20728
2024-03-26,396.25,404.0,379.0,382.25,45385,4998,9.08,26776
2024-03-27,375.25,392.35,373.1,377.55,35044,4381,8.0,19503
2024-03-28,386.0,395.4,373.0,375.9,42753,5104,8.38,17740
2024-04-01,382.0,390.0,371.1,372.85,68996,4083,16.9,41490
2024-04-02,372.25,376.85,362.75,365.55,68797,5000,13.76,41352
2024-04-03,372.9,373.95,351.1,353.0,88733,6321,14.04,48946
2024-04-04,355.0,368.8,352.0,357.4,99416,5689,17.48,59453
2024-04-05,360.0,360.0,344.95,346.55,203981,10011,20.38,101002
2024-04-08,350.0,353.0,341.2,345.85,75938,6547,11.6,33974
2024-04-09,347.2,347.95,331.95,341.2,139378,9422,14.79,50515
2024-04-10,343.45,343.95,325.1,330.75,102584,7655,13.4,62057
2024-04-12,333.95,349.0,328.85,335.45,243318,10632,22.89,140391
2024-04-15,334.0,334.0,317.15,322.4,58550,3400,17.22,35287
2024-04-16,320.0,336.0,304.95,318.65,135340,10318,13.12,52979
2024-04-18,318.4,330.0,309.9,317.45,154971,8456,18.33,51010
2024-04-19,318.05,319.9,306.6,310.2,59513,5011,11.88,32255
2024-04-22,311.55,350.5,311.55,335.5,211478,11308,18.7,106828
2024-04-23,347.0,348.95,321.55,326.45,102921,7891,13.04,63924
2024-04-24,331.95,333.4,315.2,318.95,62454,5639,11.08,34645
2024-04-25,321.0,323.1,316.1,318.9,42498,2883,14.74,29704
2024-04-26,318.65,345.0,318.3,342.15,116601,8669,13.45,67546
2024-04-29,344.0,349.0,321.0,324.4,148236,8916,16.63,85448
2024-04-30,325.0,329.95,310.0,314.7,73407,4383,16.75,38171
2024-05-02,317.95,336.0,312.6,314.8,168875,11649,14.5,85499
2024-05-03,318.0,320.8,298.0,304.0,238018,11241,21.17,134109
2024-05-06,307.5,308.65,277.0,285.45,237978,16920,14.06,112872
2024-05-07,285.5,289.9,267.7,270.6,155081,9866,15.72,82119
2024-05-08,272.4,285.8,271.1,277.9,78400,7565,10.36,26716
2024-05-09,281.75,283.9,271.0,272.35,49764,6131,8.12,22206
2024-05-10,276.0,283.4,263.35,279.4,58889,5405,10.9,27050
2024-05-13,275.35,281.95,268.35,272.5,37417,3322,11.26,18016
2024-05-14,275.0,285.0,272.55,280.45,47681,3413,13.97,27600
2024-05-15,284.85,284.85,272.05,274.4,34554,3578,9.66,17629
2024-05-16,277.95,285.15,273.8,275.6,39979,2638,15.16,21168
2024-05-17,283.2,294.35,276.95,289.2,73418,5274,13.92,34026
2024-05-18,290.0,296.0,290.0,294.9,7461,195,38.26,5248
2024-05-21,295.95,295.95,275.95,279.5,66708,2985,22.35,41759
2024-05-22,280.0,281.3,263.9,269.15,102201,7030,14.54,52507
