Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-03-26,10.97,10.99,10.1,10.17,156206,EQ,400.0,390.52,152457.0
2025-03-27,10.43,10.43,10.16,10.18,132253,EQ,256.0,516.61,124335.0
2025-03-28,10.44,10.68,10.3,10.37,319079,EQ,460.0,693.65,312373.0
2025-04-01,10.63,10.79,10.2,10.26,631503,EQ,1892.0,333.78,611129.0
2025-04-02,10.28,10.35,10.18,10.25,220140,EQ,464.0,474.44,216200.0
2025-04-03,10.45,10.55,9.0,9.96,493084,EQ,1057.0,466.49,467762.0
2025-04-04,10.16,10.16,9.51,9.56,991921,EQ,999.0,992.91,871063.0
2025-04-07,9.85,10.04,9.09,9.25,1094256,EQ,1196.0,914.93,810353.0
2025-04-08,9.55,9.7,9.17,9.31,499674,EQ,599.0,834.18,423645.0
2025-04-09,9.6,9.6,9.21,9.37,573805,EQ,371.0,1546.64,529070.0
2025-04-11,9.65,9.8,9.52,9.57,508790,EQ,492.0,1034.13,297308.0
2025-04-15,9.85,10.09,9.75,9.83,318858,EQ,542.0,588.3,264826.0
2025-04-16,10.03,10.04,9.81,9.95,674642,EQ,450.0,1499.2,358508.0
2025-04-17,10.07,10.37,9.78,9.81,296458,EQ,666.0,445.13,249446.0
2025-04-21,9.96,10.04,9.79,9.87,410350,EQ,804.0,510.39,346465.0
2025-04-22,10.03,10.05,9.7,9.72,424844,EQ,669.0,635.04,275070.0
2025-04-23,9.84,9.99,9.84,9.94,260007,EQ,492.0,528.47,142314.0
2025-04-24,10.0,10.38,10.0,10.05,381986,EQ,587.0,650.74,268269.0
2025-04-25,10.24,10.24,10.0,10.05,188723,EQ,358.0,527.16,152819.0
2025-04-28,10.15,10.15,9.8,9.89,579480,EQ,740.0,783.08,360092.0
2025-04-29,10.18,10.2,9.89,10.03,353002,EQ,456.0,774.13,319987.0
2025-04-30,10.1,10.1,9.74,9.77,1067174,EQ,1478.0,722.04,769517.0
2025-05-02,10.06,10.06,9.69,9.73,512228,EQ,867.0,590.81,311573.0
2025-05-05,9.85,9.85,9.63,9.73,639335,EQ,823.0,776.83,303754.0
2025-05-06,10.0,10.0,9.76,9.88,399168,EQ,558.0,715.35,388997.0
2025-05-07,9.97,9.97,9.75,9.89,269716,EQ,507.0,531.98,245525.0
2025-05-08,10.19,10.19,9.73,9.85,510128,EQ,843.0,605.13,347329.0
2025-05-09,10.0,10.67,9.78,9.9,387131,EQ,700.0,553.04,288052.0
2025-05-12,10.2,10.2,9.69,9.73,730979,EQ,1250.0,584.78,431964.0
2025-05-13,10.02,10.02,9.82,9.96,418163,EQ,619.0,675.55,293834.0
2025-05-14,10.26,10.26,9.83,9.91,201986,EQ,624.0,323.7,138602.0
2025-05-15,10.21,10.21,9.65,9.71,653957,EQ,1307.0,500.35,464512.0
2025-05-16,9.85,9.85,9.7,9.77,295803,EQ,748.0,395.46,181680.0
2025-05-19,10.06,10.06,9.76,9.84,248916,EQ,751.0,331.45,157704.0
2025-05-20,9.83,9.86,9.72,9.81,244386,EQ,630.0,387.91,153673.0
2025-05-21,9.9,10.05,9.89,10.03,475960,EQ,725.0,656.5,340088.0
2025-05-22,10.14,10.15,10.02,10.05,279285,EQ,905.0,308.6,248941.0
2025-05-23,10.1,10.13,9.9,9.99,233271,EQ,841.0,277.37,182473.0
2025-05-26,10.15,10.19,9.92,10.03,193260,EQ,912.0,211.91,128613.0
2025-05-27,10.15,10.18,9.99,9.99,229540,EQ,671.0,342.09,190427.0
2025-05-28,10.1,10.1,9.92,10.05,232839,EQ,686.0,339.42,170349.0
2025-05-29,10.35,10.35,9.97,10.05,235936,EQ,631.0,373.91,211732.0
2025-05-30,10.15,10.15,9.97,10.04,291028,EQ,835.0,348.54,261905.0
2025-06-02,10.34,10.34,9.95,10.05,539100,EQ,1215.0,443.7,400366.0
2025-06-03,10.18,10.36,10.18,10.29,734595,EQ,1139.0,644.95,623032.0
2025-06-04,10.6,10.6,10.26,10.4,1209494,EQ,1507.0,802.58,758577.0
2025-06-05,10.52,10.75,10.39,10.68,1244470,EQ,1406.0,885.11,813231.0
2025-06-06,10.78,10.94,10.66,10.85,2388464,EQ,2209.0,1081.24,1900704.0
2025-06-09,11.18,11.18,10.8,10.9,1074410,EQ,1681.0,639.15,947093.0
