Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-03-19,74.75,75.79,69.01,70.42,61428,EQ,1545.0,39.76,39379.0
2026-03-20,79.29,79.3,69.11,70.06,36536,EQ,992.0,36.83,15610.0
2026-03-23,70.06,70.62,66.0,68.15,35996,EQ,656.0,54.87,22234.0
2026-03-24,69.64,70.89,66.65,68.24,39456,EQ,1098.0,35.93,20900.0
2026-03-25,68.24,70.09,67.07,68.34,103884,EQ,2230.0,46.58,60373.0
2026-03-27,69.6,69.8,64.12,65.66,112659,EQ,1762.0,63.94,64915.0
2026-03-30,62.35,65.51,57.15,60.92,313483,EQ,4082.0,76.8,192404.0
2026-04-01,62.15,67.6,62.15,66.86,83354,EQ,1249.0,66.74,40177.0
2026-04-02,66.0,71.0,64.17,69.93,83685,EQ,1586.0,52.76,49074.0
2026-04-06,69.94,70.77,67.31,68.35,27406,EQ,823.0,33.3,13287.0
2026-04-07,68.05,69.0,66.01,66.21,26158,EQ,554.0,47.22,13793.0
2026-04-08,69.85,72.4,67.0,71.43,85394,EQ,1283.0,66.56,54412.0
2026-04-09,69.52,74.49,69.02,71.37,115023,EQ,1525.0,75.42,64134.0
2026-04-10,71.99,74.8,71.12,74.37,80749,EQ,894.0,90.32,62967.0
2026-04-13,73.99,77.25,72.11,76.72,46871,EQ,908.0,51.62,27252.0
2026-04-15,78.5,78.5,75.9,76.97,47534,EQ,516.0,92.12,34593.0
2026-04-16,77.38,77.38,75.41,76.12,26841,EQ,723.0,37.12,12049.0
2026-04-17,77.34,80.0,75.02,76.21,100629,EQ,1423.0,70.72,39831.0
2026-04-20,78.73,78.73,72.61,72.87,100791,EQ,1256.0,80.25,74805.0
2026-04-21,74.5,74.5,72.12,74.0,47481,EQ,811.0,58.55,24836.0
2026-04-22,74.55,75.87,73.01,75.28,27889,EQ,456.0,61.16,17310.0
2026-04-23,76.97,76.97,74.04,75.86,28150,EQ,452.0,62.28,20010.0
2026-04-24,74.51,75.09,72.3,72.84,17801,EQ,307.0,57.98,9212.0
2026-04-27,72.48,75.66,72.48,73.71,40948,EQ,1115.0,36.72,28912.0
2026-04-28,74.99,75.18,72.25,72.68,16803,EQ,308.0,54.56,10945.0
2026-04-29,74.01,74.3,72.0,72.29,24473,EQ,613.0,39.92,13571.0
2026-04-30,73.0,73.8,71.26,73.24,18625,EQ,305.0,61.07,11782.0
2026-05-04,74.83,74.99,72.42,73.1,11224,EQ,422.0,26.6,6101.0
2026-05-05,73.62,73.62,71.52,71.96,16066,EQ,492.0,32.65,14009.0
2026-05-06,73.54,73.58,72.45,72.84,8190,EQ,133.0,61.58,5431.0
2026-05-07,72.26,74.45,72.26,73.27,22304,EQ,544.0,41.0,15153.0
2026-05-08,72.54,74.38,71.0,71.82,31560,EQ,654.0,48.26,18407.0
2026-05-11,71.82,73.3,71.41,72.15,31015,EQ,1471.0,21.08,12763.0
2026-05-12,70.65,73.57,70.0,70.14,16119,EQ,829.0,19.44,7071.0
2026-05-13,70.7,72.5,70.12,70.55,10976,EQ,425.0,25.83,8461.0
2026-05-14,72.4,72.4,68.1,68.57,30417,EQ,648.0,46.94,17651.0
2026-05-15,69.5,69.89,66.97,67.21,20429,EQ,590.0,34.63,11822.0
2026-05-18,67.21,70.5,64.1,68.4,31246,EQ,1118.0,27.95,15094.0
2026-05-19,68.18,68.68,64.67,66.25,39233,EQ,771.0,50.89,23596.0
2026-05-20,67.8,67.8,65.65,66.87,8899,EQ,508.0,17.52,4206.0
2026-05-21,68.5,73.0,67.06,72.26,69149,EQ,1364.0,50.7,50417.0
2026-05-22,72.85,74.4,72.85,73.47,73530,EQ,1034.0,71.11,47883.0
2026-05-25,74.4,76.76,74.21,75.69,79413,EQ,948.0,83.77,50606.0
2026-05-26,76.5,77.0,74.0,74.58,39241,EQ,808.0,48.57,18002.0
2026-05-27,75.9,75.9,72.5,73.23,28523,EQ,797.0,35.79,18150.0
2026-05-29,74.9,75.19,68.36,69.91,106543,EQ,1469.0,72.53,67520.0
2026-06-01,69.91,71.19,69.15,69.32,17606,EQ,745.0,23.63,10828.0
2026-06-02,69.32,71.0,67.35,69.82,27744,EQ,1029.0,26.96,16051.0
2026-06-03,70.77,71.6,68.8,69.41,39953,EQ,537.0,74.4,20932.0
2026-06-04,70.4,71.0,68.5,69.57,49069,EQ,510.0,96.21,36089.0
2026-06-05,70.4,72.0,69.5,70.01,23080,EQ,684.0,33.74,13168.0
2026-06-08,69.99,70.89,69.05,69.27,20655,EQ,1020.0,20.25,8619.0
2026-06-09,69.31,70.9,68.52,68.98,43417,EQ,1002.0,43.33,28375.0
2026-06-10,70.0,70.72,69.11,69.48,23227,EQ,641.0,36.24,15388.0
