Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-12-19,175.0,183.75,166.25,183.75,1912000,1561,1224.86,1907000
2023-12-20,174.6,174.6,174.6,174.6,98000,94,1042.55,98000
2023-12-21,165.9,165.9,165.9,165.9,15000,12,1250.0,15000
2023-12-22,160.3,174.15,157.6,174.1,786000,680,1155.88,660000
2023-12-26,174.1,174.1,165.4,168.4,240000,209,1148.33,217000
2023-12-27,169.0,169.0,160.0,160.7,213000,188,1132.98,171000
2023-12-28,162.0,165.7,160.0,162.45,103000,101,1019.8,92000
2023-12-29,164.9,167.55,162.45,164.0,106000,100,1060.0,98000
2024-01-01,167.45,168.25,159.75,163.1,107000,98,1091.84,93000
2024-01-02,162.0,171.25,161.15,171.1,217000,207,1048.31,202000
2024-01-03,175.0,183.5,160.1,166.1,333000,303,1099.01,202000
2024-01-04,169.9,196.0,168.9,179.25,1158000,975,1187.69,427000
2024-01-05,183.85,192.0,181.0,190.35,444000,425,1044.71,323000
2024-01-08,204.45,215.0,198.0,204.45,485000,471,1029.72,325000
2024-01-09,214.0,222.0,202.15,213.45,333000,323,1030.96,217000
2024-01-10,217.9,225.0,210.0,219.35,287000,266,1078.95,189000
2024-01-11,224.85,224.85,216.0,221.65,97000,95,1021.05,72000
2024-01-12,228.95,228.95,211.1,216.5,184000,154,1194.81,140000
2024-01-15,217.1,226.4,213.0,219.0,113000,106,1066.04,105000
2024-01-16,223.4,223.4,200.0,212.85,118000,110,1072.73,88000
2024-01-17,210.0,222.95,210.0,218.6,154000,113,1362.83,130000
2024-01-18,219.0,224.9,215.1,221.7,103000,97,1061.86,83000
2024-01-19,224.0,225.5,216.4,224.85,101000,99,1020.2,69000
2024-01-20,225.0,239.9,224.5,230.3,156000,146,1068.49,64000
2024-01-23,232.0,245.0,229.0,230.4,114000,110,1036.36,80000
2024-01-24,230.05,236.0,219.25,223.9,96000,87,1103.45,84000
2024-01-25,229.95,229.95,220.55,221.45,32000,32,1000.0,23000
2024-01-29,220.0,220.0,204.05,212.25,87000,87,1000.0,74000
2024-01-30,215.0,218.0,211.0,214.65,48000,39,1230.77,43000
2024-01-31,214.0,218.25,213.0,213.5,69000,63,1095.24,63000
2024-02-01,212.5,212.5,208.25,211.0,21000,20,1050.0,18000
2024-02-02,214.0,244.0,214.0,232.0,198000,191,1036.65,109000
2024-02-05,237.0,237.8,213.3,215.15,111000,105,1057.14,70000
2024-02-06,222.9,226.0,216.3,225.45,60000,45,1333.33,49000
2024-02-07,228.75,228.75,216.0,216.45,87000,72,1208.33,75000
2024-02-08,221.95,244.95,218.0,240.05,236000,210,1123.81,172000
2024-02-09,254.95,268.5,250.0,263.35,342000,324,1055.56,184000
2024-02-12,263.35,274.95,246.3,254.35,111000,103,1077.67,67000
2024-02-13,260.1,305.2,215.85,269.9,435000,407,1068.8,272000
2024-02-14,323.0,323.85,311.25,323.85,264000,194,1360.82,195000
2024-02-15,340.0,349.0,310.0,336.85,267000,263,1015.21,149000
2024-02-16,334.6,340.0,325.0,335.05,61000,57,1070.18,44000
