Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-13,16.98,17.29,16.83,17.08,77062,EQ,72.0,1070.31,59522.0
2025-11-14,17.16,17.16,17.05,17.09,79226,EQ,63.0,1257.56,77698.0
2025-11-17,17.15,17.22,17.15,17.21,10194,EQ,61.0,167.11,10160.0
2025-11-18,17.64,17.64,17.02,17.04,235530,EQ,143.0,1647.06,234935.0
2025-11-19,17.05,17.05,16.92,16.96,85618,EQ,125.0,684.94,84206.0
2025-11-20,16.96,17.03,16.91,16.94,142654,EQ,106.0,1345.79,140971.0
2025-11-21,16.92,16.92,16.72,16.73,89411,EQ,191.0,468.12,88801.0
2025-11-24,16.81,16.81,16.58,16.63,33592,EQ,128.0,262.44,29822.0
2025-11-25,16.64,16.67,16.58,16.64,53625,EQ,68.0,788.6,53243.0
2025-11-26,16.74,16.86,16.74,16.85,137634,EQ,65.0,2117.45,102397.0
2025-11-27,16.85,16.86,16.74,16.78,134617,EQ,112.0,1201.94,130581.0
2025-11-28,16.75,16.77,16.7,16.75,41967,EQ,98.0,428.23,34671.0
2025-12-01,16.81,16.85,16.74,16.78,58660,EQ,104.0,564.04,57459.0
2025-12-02,16.7,16.83,16.68,16.7,82670,EQ,137.0,603.43,66384.0
2025-12-03,16.7,16.7,16.57,16.63,148836,EQ,144.0,1033.58,147166.0
2025-12-04,16.61,16.67,16.56,16.59,37690,EQ,91.0,414.18,35569.0
2025-12-05,16.73,16.89,16.45,16.55,130611,EQ,370.0,353.0,112787.0
2025-12-08,16.64,16.64,16.08,16.14,391040,EQ,539.0,725.49,372412.0
2025-12-09,16.23,16.31,15.85,16.3,1312195,EQ,415.0,3161.92,1177476.0
2025-12-10,16.59,16.7,16.15,16.17,181344,EQ,253.0,716.77,95178.0
2025-12-11,16.14,16.29,16.09,16.25,88790,EQ,133.0,667.59,46046.0
2025-12-12,16.36,16.42,16.32,16.41,91830,EQ,136.0,675.22,76674.0
2025-12-15,16.33,16.47,16.33,16.45,66222,EQ,188.0,352.24,57351.0
2025-12-16,16.41,16.42,16.31,16.34,142313,EQ,181.0,786.26,134986.0
2025-12-17,16.34,16.38,16.18,16.22,51093,EQ,233.0,219.28,44538.0
2025-12-18,16.62,16.62,16.06,16.19,56010,EQ,185.0,302.76,45962.0
2025-12-19,16.23,16.43,16.23,16.41,47030,EQ,128.0,367.42,29095.0
2025-12-22,16.53,16.6,16.45,16.56,367598,EQ,202.0,1819.79,350108.0
2025-12-23,16.56,16.68,16.54,16.64,225964,EQ,190.0,1189.28,200328.0
2025-12-24,16.88,16.89,16.41,16.63,244378,EQ,204.0,1197.93,203543.0
2025-12-26,16.89,16.89,16.58,16.58,236771,EQ,240.0,986.55,205772.0
2025-12-29,16.42,16.66,16.41,16.52,203694,EQ,273.0,746.13,168512.0
2025-12-30,16.84,17.5,16.42,16.5,81100,EQ,287.0,282.58,71686.0
2025-12-31,16.55,16.91,16.55,16.71,156003,EQ,152.0,1026.34,144893.0
2026-01-01,16.8,16.8,16.6,16.67,118155,EQ,229.0,515.96,91540.0
2026-01-02,16.69,16.81,16.68,16.79,113104,EQ,191.0,592.17,105221.0
2026-01-05,17.19,17.19,16.51,16.85,100943,EQ,239.0,422.36,68365.0
2026-01-06,16.42,16.94,16.42,16.81,72267,EQ,229.0,315.58,62378.0
2026-01-07,16.78,16.84,16.75,16.81,72362,EQ,186.0,389.04,63201.0
2026-01-08,16.82,16.85,16.43,16.49,156063,EQ,445.0,350.7,136520.0
2026-01-09,16.58,16.58,16.2,16.24,319214,EQ,528.0,604.57,243332.0
2026-01-12,16.45,16.45,15.88,16.12,405976,EQ,674.0,602.34,290065.0
2026-01-13,16.52,16.52,16.07,16.2,245140,EQ,229.0,1070.48,162116.0
2026-01-14,16.29,16.33,16.17,16.29,129169,EQ,167.0,773.47,97855.0
2026-01-16,16.2,16.39,16.13,16.22,74749,EQ,307.0,243.48,58327.0
2026-01-19,16.3,16.3,15.9,16.05,211208,EQ,583.0,362.28,144351.0
2026-01-20,18.89,18.89,15.56,15.6,585090,EQ,1129.0,518.24,530203.0
2026-01-21,16.0,16.0,15.27,15.5,435168,EQ,721.0,603.56,342575.0
2026-01-22,15.36,16.75,15.36,15.64,402760,EQ,555.0,725.69,361252.0
2026-01-23,16.04,16.04,15.3,15.33,399558,EQ,1034.0,386.42,352570.0
2026-01-27,15.41,15.63,15.13,15.36,670782,EQ,858.0,781.8,434367.0
2026-01-28,15.43,16.15,15.36,15.69,499793,EQ,543.0,920.43,374151.0
2026-01-29,15.77,15.77,15.51,15.64,520775,EQ,608.0,856.54,344989.0
2026-01-30,15.65,15.82,15.42,15.77,371761,EQ,480.0,774.5,273204.0
2026-02-01,15.76,15.77,15.21,15.45,469372,EQ,1082.0,433.8,378738.0
2026-02-02,15.76,15.76,15.18,15.47,551186,EQ,805.0,684.7,343537.0
2026-02-03,15.75,16.97,15.75,15.97,923305,EQ,791.0,1167.26,762151.0
2026-02-04,15.49,16.14,15.48,16.13,2298962,EQ,554,4149.75,2123057
2026-02-05,16.12,16.12,15.86,15.94,394600,EQ,763,517.17,340681
2026-02-06,16.01,16.01,15.62,15.87,339231,EQ,690,491.64,194699
2026-02-09,16.0,16.36,15.91,16.29,724625,EQ,576,1258.03,505509
2026-02-10,16.68,16.68,16.3,16.35,250750,EQ,523,479.45,200150
2026-02-11,16.44,16.44,16.25,16.38,394855,EQ,431,916.14,333785
2026-02-12,16.67,16.67,16.21,16.27,251349,EQ,618,406.71,175963
2026-02-13,16.42,16.42,15.93,15.98,523264,EQ,1012,517.06,356068
2026-02-16,16.46,16.46,15.81,16.0,432154,EQ,955,452.52,342939
2026-02-17,15.99,16.13,15.97,16.11,187274,EQ,510,367.2,128928
2026-02-18,16.2,16.22,16.1,16.16,161785,EQ,455,355.57,98667
2026-02-19,16.34,16.34,15.93,15.98,342167,EQ,754,453.8,226921
2026-02-20,16.37,16.37,15.5,15.98,320121,EQ,585,547.22,270701
2026-02-23,15.99,16.3,15.96,16.02,378831,EQ,693,546.65,204504
2026-02-24,16.42,16.42,15.81,15.94,255574,EQ,891,286.84,200166
2026-02-25,16.01,16.07,15.97,16.04,142502,EQ,428,332.95,102261
2026-02-26,16.12,16.12,15.98,16.03,220709,EQ,482,457.9,141595
2026-02-27,16.04,16.05,15.85,15.9,321850,EQ,694,463.76,177073
2026-03-02,16.29,16.29,15.43,15.62,1189797,EQ,2079,572.29,1020072
2026-03-04,15.14,15.7,15.14,15.28,1345731,EQ,1767,761.59,972389
2026-03-05,15.59,15.64,15.29,15.47,2183042,EQ,719,3036.22,2026673
2026-03-06,15.85,15.85,15.42,15.45,179140,EQ,568,315.39,153660
