Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-07-17,435.0,469.25,435.0,445.05,17540423,EQ,253413,69.22,7391178
2025-07-18,450.15,468.45,450.15,458.75,5677590,EQ,91957,61.74,1729673
2025-07-21,453.0,457.65,423.05,430.45,2454725,EQ,39636,61.93,1189473
2025-07-22,430.0,438.6,419.35,422.6,1731690,EQ,31671,54.68,625711
2025-07-23,425.45,427.7,412.2,422.05,978484,EQ,22464,43.56,363884
2025-07-24,422.3,437.65,419.15,425.2,1140221,EQ,24897,45.8,467512
2025-07-25,425.0,425.0,410.1,417.0,663558,EQ,18572,35.73,276153
2025-07-28,417.0,419.1,392.7,410.6,920671,EQ,24348,37.81,339028
2025-07-29,410.5,420.5,406.7,418.85,452218,EQ,10755,42.05,169609
2025-07-30,420.0,423.6,409.9,420.6,244142,EQ,7299,33.45,90866
2025-07-31,414.0,429.05,412.0,425.5,261400,EQ,7490,34.9,107349
2025-08-01,422.5,434.45,419.8,425.0,419651,EQ,13115,32.0,199336
2025-08-04,425.35,430.0,414.6,423.55,314533,EQ,8201,38.35,204875
2025-08-05,429.6,437.0,421.1,427.8,429006,EQ,12217,35.12,242003
2025-08-06,427.9,433.95,419.2,431.65,184990,EQ,7511,24.63,74812
2025-08-07,430.5,444.9,430.45,438.25,563932,EQ,21738,25.94,260494
2025-08-08,442.4,449.5,432.6,445.95,622356,EQ,17461,35.64,266358
2025-08-11,445.0,457.6,437.0,454.25,384541,EQ,13076,29.41,180130
2025-08-12,452.0,469.9,452.0,465.85,583104,EQ,17334,33.64,300862
2025-08-13,462.05,462.05,444.8,457.55,635668,EQ,16957,37.49,299505
2025-08-14,452.0,458.9,451.5,455.0,136368,EQ,4973,27.42,71987
2025-08-18,455.0,477.45,452.9,458.45,355229,EQ,16216,21.91,112357
2025-08-19,458.2,483.0,458.2,477.25,859898,EQ,27743,31.0,361924
2025-08-20,482.0,486.0,470.85,476.05,362814,EQ,20205,17.96,135673
2025-08-21,476.0,485.7,469.3,475.6,321395,EQ,16415,19.58,103507
2025-08-22,471.1,498.7,469.7,491.1,835897,EQ,25640,32.6,373930
2025-08-25,489.05,505.1,481.55,490.5,549664,EQ,19105,28.77,257214
2025-08-26,485.1,499.0,481.7,491.05,337793,EQ,16893,20.0,172487
2025-08-28,486.6,493.8,474.75,485.7,136888,EQ,6401,21.39,57796
2025-08-29,482.3,493.0,481.1,489.2,278928,EQ,11301,24.68,163753
2025-09-01,489.0,503.5,486.7,495.15,182727,EQ,8267,22.1,77770
2025-09-02,499.95,527.0,495.0,519.7,655616,EQ,22821,28.73,196232
2025-09-03,519.7,543.65,517.05,535.15,429795,EQ,17373,24.74,131148
2025-09-04,535.2,544.9,523.5,542.9,286165,EQ,15389,18.6,129312
2025-09-05,542.9,542.9,521.0,525.3,123605,EQ,7923,15.6,46135
2025-09-08,530.95,530.95,513.5,517.3,107127,EQ,7339,14.6,52334
2025-09-09,518.8,522.8,513.0,521.4,81360,EQ,2942,27.65,53397
2025-09-10,521.45,527.45,501.2,507.95,159834,EQ,9039,17.68,87066
2025-09-11,512.95,524.1,509.55,521.0,132490,EQ,6293,21.05,64217
2025-09-12,520.05,525.5,513.5,516.15,104307,EQ,6220,16.77,54808
2025-09-15,523.0,527.8,507.05,512.35,74487,EQ,4756,15.66,31232
2025-09-16,516.8,524.0,511.85,518.35,68575,EQ,3905,17.56,39147
2025-09-17,516.0,522.45,509.55,511.4,91563,EQ,5188,17.65,49855
2025-09-18,520.0,539.9,513.0,515.6,337910,EQ,18394,18.37,116710
2025-09-19,521.5,551.0,515.65,545.7,359973,EQ,15969,22.54,162643
2025-09-22,543.0,557.85,537.0,540.8,214945,EQ,10835,19.84,92148
2025-09-23,553.05,575.0,524.5,563.6,509731,EQ,20626,24.71,234777
