Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-07-01,311.0,326.55,297.0,326.55,3286800,2251,1460.15,3268800
2024-07-02,338.0,342.85,315.0,342.85,1173600,833,1408.88,1072800
2024-07-03,359.95,359.95,359.95,359.95,129600,70,1851.43,129600
2024-07-04,377.9,377.9,377.9,377.9,34800,26,1338.46,34800
2024-07-05,396.75,396.75,359.0,388.5,1191600,768,1551.56,952800
2024-07-08,382.9,383.0,369.1,369.1,99600,75,1328.0,99600
2024-07-09,350.65,350.65,350.65,350.65,25200,20,1260.0,25200
2024-07-10,333.15,343.5,333.15,333.15,376800,258,1460.47,360000
2024-07-11,316.5,349.8,316.5,349.4,639600,460,1390.43,507600
2024-07-12,340.0,366.85,333.0,366.85,249600,204,1223.53,212400
2024-07-15,373.0,384.0,340.0,351.9,550800,397,1387.41,291600
2024-07-16,348.5,364.0,335.6,337.8,199200,164,1214.63,123600
2024-07-18,340.0,345.5,321.0,327.95,240000,194,1237.11,171600
2024-07-19,325.0,328.7,309.2,317.3,178800,140,1277.14,129600
2024-07-22,344.0,357.4,321.05,327.2,592800,483,1227.33,324000
2024-07-23,329.0,333.8,290.05,327.35,276000,224,1232.14,151200
2024-07-24,325.95,333.8,312.1,315.55,142800,117,1220.51,84000
2024-07-25,310.0,326.0,310.0,319.85,88800,71,1250.7,52800
2024-07-26,323.95,330.0,316.0,319.85,98400,74,1329.73,52800
2024-07-29,316.5,324.9,300.0,301.5,265200,210,1262.86,174000
2024-07-30,301.5,303.5,289.0,290.95,297600,220,1352.73,181200
2024-07-31,291.15,291.15,267.05,279.35,399600,319,1252.66,210000
2024-08-01,285.1,294.95,271.0,275.05,216000,167,1293.41,99600
2024-08-02,265.2,288.8,258.0,269.65,242400,193,1255.96,104400
2024-08-05,252.0,282.0,252.0,273.75,140400,116,1210.34,80400
2024-08-06,282.4,286.9,263.0,264.7,94800,74,1281.08,54000
2024-08-07,270.0,271.5,260.0,265.2,79200,60,1320.0,49200
2024-08-08,275.95,275.95,246.2,250.25,218400,172,1269.77,133200
2024-08-09,261.0,263.0,246.05,250.05,181200,146,1241.1,112800
2024-08-12,252.4,258.0,243.6,255.0,127200,105,1211.43,79200
2024-08-13,259.75,304.5,255.05,292.2,566400,434,1305.07,273600
2024-08-14,292.1,292.1,271.0,273.05,117600,89,1321.35,68400
2024-08-16,277.95,305.75,268.05,296.7,286800,226,1269.03,141600
