Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-08-24,110.3,112.3,102.25,103.1,59339,5912,10.04,28217
2022-08-25,106.55,109.0,102.0,103.2,22977,2873,8.0,12128
2022-08-26,103.0,104.9,98.95,99.65,24183,3080,7.85,14404
2022-08-29,95.0,97.0,90.95,94.6,42418,5984,7.09,22931
2022-08-30,96.6,96.6,92.0,92.7,41103,6777,6.07,25626
2022-09-01,93.0,94.9,92.65,92.9,29888,4833,6.18,11178
2022-09-02,93.8,93.8,90.0,90.85,36111,6850,5.27,16689
2022-09-05,91.8,93.45,89.85,91.75,42206,5290,7.98,21570
2022-09-06,92.5,93.0,89.7,89.85,37218,5011,7.43,20518
2022-09-07,90.7,91.9,88.6,89.7,31523,4352,7.24,16294
2022-09-08,91.3,91.5,90.0,91.1,23527,3752,6.27,12924
2022-09-09,92.3,92.7,89.3,89.9,30979,4876,6.35,14961
2022-09-12,91.0,91.0,89.65,89.9,25000,2205,11.34,16766
2022-09-13,90.5,91.1,89.0,89.2,12961,1661,7.8,7998
2022-09-14,87.1,89.65,87.1,88.1,36660,6569,5.58,17233
2022-09-15,88.8,89.9,88.0,88.3,25192,5274,4.78,8726
2022-09-16,88.4,89.0,86.5,86.7,26306,5627,4.67,10211
2022-09-19,87.5,89.5,86.5,86.7,50581,9156,5.52,9562
2022-09-20,86.6,88.6,85.1,85.55,64072,7446,8.6,19696
2022-09-21,85.0,87.4,85.0,85.4,45027,7968,5.65,11761
2022-09-22,85.15,86.45,84.95,85.25,41480,5023,8.26,8322
2022-09-23,85.9,85.9,82.8,83.05,28708,4677,6.14,10409
2022-09-26,81.0,83.0,76.9,77.9,61860,8827,7.01,21213
2022-09-27,79.05,79.05,77.25,77.7,75234,8263,9.1,19499
2022-09-28,77.5,77.5,72.5,73.1,105210,9882,10.65,27743
2022-09-29,74.0,75.9,73.2,74.65,39692,5522,7.19,14192
2022-09-30,74.0,74.9,72.15,72.7,60450,6219,9.72,23840
2022-10-03,72.1,77.4,72.1,76.5,63031,6852,9.2,17902
2022-10-04,79.4,87.85,77.2,85.95,246942,21485,11.49,33609
2022-10-06,87.0,90.5,84.0,85.45,121314,12368,9.81,23208
2022-10-07,85.45,87.45,84.9,85.5,74440,6699,11.11,9461
