Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-10-09,112.0,115.0,108.03,110.39,145611,1979,73.58,65518
2024-10-10,112.99,114.89,105.0,111.96,265396,2739,96.9,185260
2024-10-11,112.88,112.88,106.35,108.5,97588,1426,68.43,69496
2024-10-14,109.45,109.5,106.1,107.74,78237,1648,47.47,41715
2024-10-15,109.45,109.5,105.4,105.92,117628,1770,66.46,63041
2024-10-16,107.5,107.98,103.0,104.68,175297,2978,58.86,88149
2024-10-17,106.0,107.0,100.01,102.48,167943,3413,49.21,71473
2024-10-18,104.03,104.03,100.1,101.48,200691,3168,63.35,159235
2024-10-21,102.01,103.08,98.86,100.88,169133,2891,58.5,126139
2024-10-22,100.21,102.3,96.0,98.7,239730,4669,51.35,150720
2024-10-23,98.11,102.01,95.12,97.95,206332,3447,59.86,161368
2024-10-24,97.25,101.9,96.12,100.77,405112,5698,71.1,174132
2024-10-25,102.0,102.0,96.0,97.69,315757,5855,53.93,193154
2024-10-28,99.81,99.81,93.0,94.3,187853,6159,30.5,109614
2024-10-29,96.0,96.0,75.44,75.44,821182,14151,58.03,387871
2024-10-30,66.0,69.39,61.0,63.67,1905013,22478,84.75,676216
2024-10-31,64.25,69.4,63.7,64.81,1069021,9911,107.86,464652
2024-11-01,66.75,69.0,66.2,68.22,98682,1042,94.7,53708
