Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-09-30,432.0,437.45,406.0,411.45,10374909,EQ,207495.0,50.0,6662711.0
2025-10-01,405.0,431.7,400.4,429.25,2986689,EQ,55117.0,54.19,1594154.0
2025-10-03,430.0,433.0,419.05,426.1,1229450,EQ,25076.0,49.03,804325.0
2025-10-06,424.0,426.2,407.5,420.7,840877,EQ,34998.0,24.03,528723.0
2025-10-07,417.05,419.6,402.25,408.95,507767,EQ,14401.0,35.26,277485.0
2025-10-08,408.5,413.75,400.1,404.25,362596,EQ,11329.0,32.01,170262.0
2025-10-09,401.1,412.3,400.3,408.55,302230,EQ,5956.0,50.74,162896.0
2025-10-10,409.65,428.2,409.0,426.6,994164,EQ,23915.0,41.57,579591.0
2025-10-13,426.0,434.7,417.0,427.45,1226386,EQ,33589.0,36.51,447338.0
2025-10-14,430.0,432.9,416.2,424.2,614795,EQ,13931.0,44.13,383838.0
2025-10-15,424.2,427.95,417.0,421.95,221913,EQ,7033.0,31.55,94362.0
2025-10-16,425.8,425.8,418.15,420.4,168453,EQ,7185.0,23.45,95020.0
2025-10-17,390.0,399.0,380.0,393.0,1135238,EQ,21703.0,52.31,631407.0
2025-10-20,394.9,397.6,367.95,376.55,677682,EQ,18612.0,36.41,354462.0
2025-10-21,379.95,389.35,378.6,385.05,70662,EQ,2551.0,27.7,37009.0
2025-10-23,389.85,389.85,379.45,381.9,163233,EQ,5719.0,28.54,57349.0
2025-10-24,382.0,388.85,376.2,387.1,132622,EQ,4618.0,28.72,67229.0
2025-10-27,383.0,390.5,382.0,384.6,118201,EQ,4534.0,26.07,60671.0
2025-10-28,387.0,387.0,377.8,382.55,94185,EQ,5101.0,18.46,45679.0
2025-10-29,380.65,382.05,372.0,374.45,84972,EQ,3674.0,23.13,46394.0
2025-10-30,377.6,378.2,362.55,370.3,126867,EQ,4541.0,27.94,66803.0
2025-10-31,367.85,375.95,367.85,373.75,92948,EQ,3141.0,29.59,40294.0
2025-11-03,375.0,377.0,371.8,375.55,84686,EQ,2518.0,33.63,51696.0
2025-11-04,375.0,375.65,367.0,372.4,64454,EQ,2650.0,24.32,37299.0
2025-11-06,370.3,371.15,357.0,364.65,108306,EQ,8545.0,12.67,56541.0
2025-11-07,359.1,377.4,355.15,372.55,99598,EQ,6252.0,15.93,43803.0
2025-11-10,370.7,370.7,357.0,360.0,251025,EQ,26438.0,9.49,155711.0
2025-11-11,360.0,360.5,354.0,355.0,195042,EQ,16500.0,11.82,153364.0
2025-11-12,360.95,364.25,343.2,347.6,222823,EQ,19305.0,11.54,115186.0
2025-11-13,351.4,351.4,335.0,336.65,99726,EQ,4307.0,23.15,62133.0
2025-11-14,335.5,344.4,330.0,331.7,95676,EQ,3957.0,24.18,42500.0
2025-11-17,336.0,336.0,324.05,330.45,349143,EQ,12539.0,27.84,270625.0
2025-11-18,332.0,332.0,320.2,321.0,247524,EQ,11120.0,22.26,187120.0
2025-11-19,319.1,324.05,315.0,320.9,146457,EQ,7375.0,19.86,73597.0
2025-11-20,316.2,323.65,316.2,319.75,88554,EQ,3240.0,27.33,53663.0
2025-11-21,319.75,321.05,315.35,316.0,131297,EQ,6332.0,20.74,86410.0
2025-11-24,321.05,322.45,300.0,303.25,130769,EQ,9979.0,13.1,75482.0
2025-11-25,310.0,311.9,297.5,301.4,372370,EQ,15370.0,24.23,247155.0
2025-11-26,305.0,320.8,298.75,311.0,486071,EQ,13604.0,35.73,330715.0
2025-11-27,311.0,319.0,299.25,302.45,198806,EQ,11326.0,17.55,80153.0
2025-11-28,303.85,311.9,295.0,298.8,339605,EQ,15847.0,21.43,208165.0
2025-12-01,299.65,316.0,298.0,311.6,446377,EQ,15166.0,29.43,297207.0
2025-12-02,312.0,317.0,307.1,315.65,159089,EQ,4742.0,33.55,105255.0
2025-12-03,317.0,318.5,311.5,316.1,131276,EQ,6545.0,20.06,64545.0
2025-12-04,314.7,326.8,308.0,318.25,211972,EQ,6896.0,30.74,102372.0
2025-12-05,317.0,317.5,307.0,310.95,152901,EQ,6035.0,25.34,85204.0
2025-12-08,309.0,309.05,294.35,297.8,253219,EQ,20949.0,12.09,173865.0
2025-12-09,293.2,299.45,290.2,296.75,68285,EQ,3059.0,22.32,27498.0
2025-12-10,295.3,309.0,295.0,306.65,192907,EQ,4797.0,40.21,122387.0
2025-12-11,307.45,307.45,299.9,301.45,62664,EQ,2318.0,27.03,27717.0
2025-12-12,302.0,306.3,292.6,295.6,61456,EQ,3160.0,19.45,28393.0
2025-12-15,295.65,295.9,288.8,291.25,60257,EQ,3546.0,16.99,34406.0
2025-12-16,291.3,298.0,284.0,285.55,79929,EQ,4029.0,19.84,48666.0
2025-12-17,285.0,288.25,277.2,281.95,101809,EQ,5231.0,19.46,47815.0
2025-12-18,281.95,281.95,275.05,276.65,59045,EQ,3040.0,19.42,32646.0
2025-12-19,276.65,279.85,272.9,278.55,68450,EQ,3286.0,20.83,36474.0
