Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2006-05-16,21.2,21.3,19.35,20.25,280,,,
2006-05-17,20.1,20.9,20.1,20.9,60,,,
2006-05-23,20.0,20.0,20.0,20.0,25,,,
2006-05-24,19.0,19.0,19.0,19.0,11,,,
2006-05-25,18.1,18.8,18.1,18.8,111,,,
2006-05-26,18.05,18.2,18.05,18.2,199,,,
2006-05-29,17.8,19.0,17.7,17.7,470,,,
2006-05-30,18.5,18.55,18.05,18.1,360,,,
2006-05-31,17.5,18.4,17.2,18.3,57,,,
2006-06-05,18.4,18.4,18.4,18.4,50,,,
2006-06-09,17.5,17.5,17.5,17.5,139,,,
2006-06-21,13.7,14.95,13.7,14.95,1060,,,
2006-06-22,14.65,14.65,14.3,14.3,146,,,
2006-06-23,15.0,15.0,13.8,14.2,214,,,
2006-06-26,14.7,14.8,13.6,13.6,244,,,
2006-06-27,13.2,13.2,13.2,13.2,90,,,
2006-06-30,12.6,13.7,12.6,12.7,1410,,,
2006-07-03,12.15,13.2,12.1,12.7,1133,,,
2006-07-04,12.35,13.35,12.35,13.35,215,,,
2006-07-05,14.0,14.0,14.0,14.0,419,,,
2006-07-06,14.55,14.7,14.0,14.0,437,,,
2006-07-07,14.3,14.7,14.3,14.7,328,,,
2006-07-10,14.7,15.4,14.4,14.8,301,,,
2006-07-12,15.2,15.5,15.2,15.5,104,,,
2006-07-13,15.2,16.3,15.2,16.2,235,,,
2006-07-14,16.5,16.85,16.3,16.3,300,,,
2006-07-17,16.0,16.0,16.0,16.0,5,,,
2006-07-18,16.45,16.45,16.45,16.45,50,,,
2006-07-19,16.2,16.2,16.2,16.2,400,,,
2006-07-20,15.9,15.9,15.8,15.8,4,,,
2006-07-21,15.0,15.0,15.0,15.0,230,,,
2006-07-24,14.25,14.25,14.25,14.25,20,,,
2006-07-28,14.05,14.05,14.05,14.05,10,,,
2006-08-02,13.9,13.9,13.8,13.8,350,,,
2006-08-03,13.3,14.4,13.3,13.95,274,,,
2006-08-04,14.5,14.5,13.5,14.05,126,,,
2006-08-07,13.7,13.7,13.7,13.7,25,,,
2006-08-08,13.9,13.9,13.9,13.9,37,,,
2006-08-09,14.0,14.5,13.6,14.0,125,,,
2006-08-10,14.0,14.0,14.0,14.0,50,,,
2006-08-11,14.1,14.55,14.1,14.5,562,,,
2006-08-14,14.3,15.05,14.3,14.9,544,,,
2006-08-16,14.5,15.65,14.5,15.0,319,,,
2006-08-17,14.45,15.65,14.45,15.45,465,,,
2006-08-18,15.2,15.25,14.9,15.1,650,,,
2006-08-21,15.05,15.05,15.05,15.05,200,,,
2006-08-22,14.4,15.05,14.4,15.0,361,,,
2006-08-23,14.7,14.7,14.7,14.7,114,,,
2006-08-24,15.0,15.4,15.0,15.3,293,,,
2006-08-28,14.55,15.6,14.55,14.7,850,,,
2006-08-29,14.9,14.9,14.9,14.9,100,,,
2006-08-31,14.2,15.0,14.2,14.6,198,,,
2006-09-01,14.6,14.6,14.35,14.4,238,,,
2006-09-04,14.35,14.35,14.3,14.3,93,,,
2006-09-05,14.0,14.8,14.0,14.7,230,,,
2006-09-06,14.5,14.5,14.5,14.5,50,,,
2006-09-07,14.5,15.05,14.5,15.0,178,,,
2006-09-08,14.7,14.7,14.7,14.7,37,,,
2006-09-12,15.2,15.2,15.2,15.2,40,,,
2006-09-13,14.9,14.9,14.9,14.9,50,,,
2006-09-14,14.5,14.5,14.2,14.45,108,,,
2006-09-15,13.95,14.2,13.95,14.0,167,,,
2006-09-18,14.2,14.2,13.7,14.1,386,,,
2006-09-19,13.5,13.6,13.5,13.6,55,,,
2006-09-20,14.25,14.3,14.25,14.3,85,,,
2006-09-21,13.7,14.05,13.6,13.6,352,,,
2006-09-22,14.0,14.25,14.0,14.25,160,,,
2006-09-25,13.9,14.0,13.9,14.0,100,,,
2006-09-26,13.5,13.5,13.5,13.5,18,,,
2006-09-28,14.2,14.2,14.2,14.2,375,,,
2006-09-29,14.8,14.9,14.3,14.6,444,,,
2006-10-06,15.0,15.1,14.7,14.7,355,,,
2006-10-09,15.0,15.0,15.0,15.0,100,,,
2006-10-11,14.5,14.55,14.4,14.55,885,,,
