Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-10-12,66.0,69.3,66.0,69.3,2137200,ST,1267,1686.82,2137200
2022-10-13,72.75,72.75,70.0,72.75,466800,ST,188,2482.98,379200
2022-10-14,76.35,76.35,76.35,76.35,15600,ST,7,2228.57,15600
2022-10-17,80.15,80.15,77.5,80.15,493200,ST,182,2709.89,484800
2022-10-18,80.2,83.9,76.55,81.7,309600,ST,177,1749.15,297600
2022-10-19,79.9,82.0,78.65,79.3,105600,ST,51,2070.59,102000
2022-10-20,79.3,80.2,77.1,78.25,140400,ST,42,3342.86,139200
2022-10-21,77.5,77.5,74.35,74.9,88800,ST,66,1345.45,87600
2022-10-24,75.8,78.6,72.75,77.45,28800,ST,24,1200.0,26400
2022-10-25,77.75,81.3,76.5,81.3,114000,ST,71,1605.63,110400
2022-10-27,85.35,85.35,80.25,85.35,130800,ST,102,1282.35,117600
2022-10-28,86.0,94.6,83.9,92.35,386400,SM,269,1436.43,202800
2022-10-31,94.0,98.8,90.0,90.7,117600,SM,94,1251.06,82800
2022-11-01,90.7,90.95,85.4,86.4,104400,SM,85,1228.24,73200
2022-11-02,87.05,92.95,87.05,90.0,45600,SM,38,1200.0,33600
2022-11-03,88.3,90.0,87.5,88.0,45600,SM,20,2280.0,40800
2022-11-04,88.0,88.85,86.6,86.7,72000,SM,20,3600.0,68400
2022-11-07,84.1,85.0,81.0,81.55,36000,SM,30,1200.0,28800
2022-11-09,81.55,92.35,81.0,87.35,76800,SM,44,1745.45,63600
2022-11-10,88.0,88.95,84.2,86.1,82800,SM,33,2509.09,74400
2022-11-11,88.8,88.8,85.0,86.7,18000,SM,15,1200.0,9600
2022-11-14,88.0,89.95,81.0,84.3,30000,SM,22,1363.64,16800
2022-11-15,78.0,82.0,75.35,79.2,114000,SM,22,5181.82,16800
2022-11-16,77.0,84.7,77.0,78.25,39600,SM,26,1523.08,28800
2022-11-17,76.5,79.5,76.5,77.1,8400,SM,7,1200.0,7200
2022-11-18,78.95,80.0,78.0,78.35,26400,SM,22,1200.0,18000
2022-11-21,77.4,78.0,75.65,75.75,18000,SM,15,1200.0,14400
2022-11-22,77.45,77.45,74.7,75.7,25200,SM,21,1200.0,14400
2022-11-23,75.25,79.4,75.25,78.15,34800,SM,28,1242.86,24000
2022-11-24,78.15,78.15,71.1,74.3,21600,SM,18,1200.0,18000
2022-11-25,74.5,77.6,72.6,75.7,34800,SM,28,1242.86,22800
2022-11-28,78.25,81.0,78.0,79.1,22800,SM,19,1200.0,15600
2022-11-29,79.0,80.5,79.0,80.5,19200,SM,16,1200.0,14400
