Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-11-13,420.0,465.8,391.0,456.0,112960103,931202.0,121.31,55985044.0
2024-11-14,473.15,489.4,418.6,430.7,56141395,627490.0,89.47,12425643.0
2024-11-18,416.1,438.7,410.4,420.1,28579217,327882.0,87.16,7694970.0
2024-11-19,424.0,430.9,408.85,412.45,12463968,150611.0,82.76,3908825.0
2024-11-21,409.0,423.7,402.0,416.85,11443031,145692.0,78.54,3242139.0
2024-11-22,414.2,419.75,410.0,416.6,3942312,66640.0,59.16,1148938.0
2024-11-25,418.8,441.4,417.2,430.7,11690777,152137.0,76.84,4552009.0
2024-11-26,443.0,471.0,438.9,461.9,15942914,148241.0,107.55,4354769.0
2024-11-27,468.0,508.0,465.55,499.05,40301929,426362.0,94.53,8293788.0
2024-11-28,507.4,517.0,481.05,491.5,14951742,158349.0,94.42,3384418.0
2024-11-29,489.95,493.5,454.6,470.75,16060894,174381,92.1,4193672
2024-12-02,472.0,503.65,464.35,493.7,10286055,104309,98.61,2075705
2024-12-03,505.0,541.95,486.05,501.85,26879359,272368,98.69,5318849
2024-12-04,510.0,534.8,509.85,517.8,19112635,198285,96.39,5755815
2024-12-05,519.7,576.7,511.0,540.0,47711029,481125,99.17,9674355
2024-12-06,540.0,552.8,530.05,544.7,13655139,143812,94.95,1861850
2024-12-09,545.65,547.75,528.6,536.85,9929104,101640,97.69,3791427
2024-12-10,560.0,567.9,540.0,543.75,11833298,130558,90.64,2856520
2024-12-11,527.0,530.85,516.5,522.55,14344375,156798,91.48,5338755
2024-12-12,522.0,524.85,501.0,504.3,8538402,81114,105.26,3207443
2024-12-13,506.2,536.7,504.3,532.35,15929277,159383,99.94,4869082
2024-12-16,538.0,612.4,533.0,596.35,48167926,449293,107.21,11492544
2024-12-17,590.0,613.4,580.8,586.4,39259581,446544,87.92,7238131
2024-12-18,589.0,605.25,572.1,577.35,20125575,224849,89.51,5283797
2024-12-19,570.0,598.0,568.25,582.2,19658494,267765,73.42,4931353
2024-12-20,588.0,608.8,586.4,597.45,20480867,203769,100.51,6279650
2024-12-23,605.3,617.3,578.25,583.65,21999304,315186,69.8,5829477
