Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-07-01,66.0,69.3,62.7,69.3,3104000,1436,2161.56,3086000
2024-07-02,66.6,71.95,65.85,69.45,1038000,451,2301.55,986000
2024-07-03,67.9,68.9,66.15,67.0,424000,202,2099.01,408000
2024-07-04,68.8,70.35,67.3,70.35,426000,176,2420.45,418000
2024-07-05,73.85,73.85,72.9,73.85,274000,99,2767.68,270000
2024-07-08,77.5,77.5,77.5,77.5,46000,23,2000.0,46000
2024-07-09,81.35,81.35,81.35,81.35,80000,28,2857.14,80000
2024-07-10,85.4,85.4,77.3,85.4,1230000,452,2721.24,1066000
2024-07-11,89.65,89.65,89.65,89.65,48000,23,2086.96,48000
2024-07-12,94.1,94.1,94.1,94.1,82000,34,2411.76,82000
2024-07-15,100.0,112.9,95.95,112.9,1464000,625,2342.4,930000
2024-07-16,119.75,135.45,117.05,135.1,1656000,717,2309.62,748000
2024-07-18,137.95,139.0,121.6,122.05,1140000,495,2303.03,506000
2024-07-19,118.15,118.15,109.85,109.85,642000,293,2191.13,302000
2024-07-22,107.0,120.8,103.05,120.8,768000,323,2377.71,266000
2024-07-23,125.95,128.0,114.0,120.85,254000,126,2015.87,138000
