Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-11-18,8.75,8.75,7.9,8.1,1150616,2499,460.43,679493
2022-11-21,8.1,8.25,7.9,7.95,539692,1433,376.62,456577
2022-11-22,8.0,8.15,7.8,7.9,602661,1329,453.47,370941
2022-11-23,8.0,8.05,7.75,7.8,492152,1233,399.15,374128
2022-11-24,7.8,7.95,7.7,7.8,490701,1312,374.01,403995
2022-11-25,7.7,7.9,7.7,7.8,665402,1750,380.23,539406
2022-11-28,7.85,8.0,7.7,7.8,803635,1966,408.77,687392
2022-11-29,7.95,7.95,7.75,7.8,673090,1793,375.4,438013
2022-11-30,7.9,7.9,7.8,7.8,408887,1203,339.89,328772
2022-12-01,7.95,7.95,7.8,7.9,566757,1269,446.62,463670
2022-12-02,7.95,8.0,7.85,7.9,636424,1620,392.85,481668
2022-12-05,8.0,8.0,7.9,7.95,502465,1508,333.2,425540
2022-12-06,8.05,8.5,7.95,8.2,1580739,2272,695.75,1223623
2022-12-07,8.35,8.45,8.05,8.1,707713,1749,404.64,503089
2022-12-08,8.2,8.3,7.95,8.0,1036214,1828,566.86,696188
2022-12-09,8.05,8.1,7.9,7.95,657638,1922,342.16,426122
2022-12-12,7.95,8.0,7.8,7.9,649029,1637,396.47,462504
2022-12-13,8.0,8.05,7.85,7.9,705398,1585,445.05,474827
2022-12-14,7.9,8.0,7.8,7.9,1111350,2115,525.46,840917
2022-12-15,7.95,7.95,7.8,7.85,829848,2043,406.19,648482
2022-12-16,7.8,7.9,7.8,7.85,517344,1227,421.63,355061
2022-12-19,7.85,7.95,7.8,7.85,785836,1543,509.29,506762
2022-12-20,7.95,7.95,7.75,7.8,809411,1636,494.75,513959
2022-12-21,7.9,7.9,7.65,7.7,1097963,2250,487.98,708241
2022-12-22,7.85,8.2,7.75,8.1,4362771,4830,903.27,2835271
2022-12-23,8.45,9.7,8.1,9.7,19359086,17753,1090.47,9280107
2022-12-26,11.0,11.6,9.0,9.85,26345658,23753,1109.15,8776654
2022-12-27,9.85,9.85,8.8,9.1,7842251,10874,721.19,3809989
2022-12-28,9.1,9.7,9.0,9.05,4290690,6080,705.71,1886037
2022-12-29,9.2,9.45,8.95,9.05,3160520,4350,726.56,1576956
2022-12-30,9.15,9.15,8.8,8.85,2463747,3817,645.47,1495399
