Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-01-17,7.0,8.4,7.0,8.08,680483,1282,530.8,520821
2024-01-18,8.08,9.17,7.0,7.12,1370173,2346,584.05,1007268
2024-01-19,7.13,8.0,7.05,7.11,31148777,1564,19916.1,30555069
2024-01-20,7.22,7.23,7.07,7.1,313201,1316,237.99,276091
2024-01-23,7.1,7.19,6.98,7.02,601696,1242,484.46,398012
2024-01-24,7.19,7.19,7.0,7.07,209744,819,256.1,137602
2024-01-25,7.08,7.18,7.05,7.1,161560,776,208.2,140579
2024-01-29,7.1,7.3,7.05,7.12,279824,1230,227.5,166553
2024-01-30,7.12,7.29,7.12,7.17,228478,994,229.86,211014
2024-01-31,7.29,7.29,7.13,7.16,266663,973,274.06,185007
2024-02-01,7.19,7.24,7.07,7.09,203838,1108,183.97,165516
2024-02-02,7.09,7.21,7.09,7.15,158056,905,174.65,129625
2024-02-05,7.15,7.21,7.01,7.02,544912,1937,281.32,467498
2024-02-06,7.02,7.1,6.99,7.0,1110584,1264,878.63,1089597
2024-02-07,7.12,7.12,6.97,6.98,1100462,1776,619.63,1080517
2024-02-08,6.99,7.05,6.94,6.98,432581,1262,342.77,410573
2024-02-09,7.09,7.09,7.01,7.05,259802,1160,223.97,182766
2024-02-12,7.06,7.12,7.05,7.07,532519,1325,401.9,477069
2024-02-13,7.14,7.14,7.04,7.06,167883,863,194.53,116575
2024-02-14,7.06,7.09,6.8,6.89,949829,1848,513.98,917923
2024-02-15,6.9,7.03,6.9,7.02,999350,1114,897.08,963183
2024-02-16,7.35,7.49,7.02,7.07,263058,1152,228.35,219543
2024-02-19,7.07,7.21,7.02,7.1,256366,1267,202.34,226965
2024-02-20,7.12,7.2,7.04,7.08,157271,866,181.61,152344
2024-02-21,7.17,7.17,7.05,7.06,757796,893,848.6,658474
2024-02-22,7.08,7.09,7.02,7.08,251550,913,275.52,232852
2024-02-23,7.12,7.12,6.96,6.97,1168607,1952,598.67,1092876
2024-02-26,6.98,7.03,6.97,6.98,195040,1092,178.61,172763
2024-02-27,6.98,7.02,6.93,6.96,377107,1305,288.97,338297
2024-02-28,6.97,7.09,6.87,6.88,826275,1614,511.94,796404
2024-02-29,7.2,7.2,6.86,6.94,120580,893,135.03,102476
2024-03-01,7.0,7.0,6.94,6.97,174991,1032,169.56,137153
2024-03-02,7.01,7.04,6.94,7.02,292149,415,703.97,284667
2024-03-04,7.09,7.1,7.02,7.06,1878195,1279,1468.49,1784666
2024-03-05,7.07,7.2,7.07,7.18,475354,1483,320.54,438324
2024-03-06,7.17,7.23,6.74,7.16,384628,1259,305.5,275019
2024-03-07,7.16,7.24,7.16,7.22,1120512,1434,781.39,964145
2024-03-11,7.22,7.3,6.74,7.28,1001673,1868,536.23,968560
2024-03-12,7.32,7.35,7.27,7.28,358070,1479,242.1,311412
2024-03-13,7.27,7.27,7.17,7.21,403794,1156,349.3,314802
2024-03-14,7.24,7.39,7.24,7.36,1426089,1408,1012.85,1254742
2024-03-15,7.39,7.4,7.31,7.35,218243,958,227.81,166246
2024-03-18,7.35,7.43,7.29,7.34,390799,933,418.86,298989
2024-03-19,7.38,7.38,7.32,7.34,480109,947,506.98,459098
2024-03-20,7.38,7.38,7.32,7.33,645560,784,823.42,631895
2024-03-21,7.39,7.48,7.33,7.46,439966,1038,423.86,312415
2024-03-22,7.43,7.46,7.3,7.34,346945,1257,276.01,291823
2024-03-26,7.33,7.39,7.3,7.36,221371,1015,218.1,165005
2024-03-27,7.36,7.37,7.31,7.33,188597,854,220.84,150017
2024-03-28,7.33,7.45,7.33,7.35,224149,736,304.55,210172
2024-04-01,7.36,7.53,7.36,7.5,814391,1364,597.06,558216
2024-04-02,7.54,7.6,7.5,7.58,973359,1314,740.76,936843
2024-04-03,7.75,7.9,7.7,7.74,929764,1763,527.38,878376
2024-04-04,7.82,7.94,7.78,7.9,1477650,1732,853.15,1424897
2024-04-05,7.88,7.9,7.8,7.88,598437,1570,381.17,539982
2024-04-08,7.88,8.31,7.81,8.11,1142371,2465,463.44,848580
2024-04-09,8.2,8.34,8.11,8.19,770520,2175,354.26,668963
2024-04-10,8.28,8.28,8.03,8.19,1327696,1890,702.48,1135625
2024-04-12,8.19,8.38,8.19,8.37,1664689,2699,616.78,1497069
2024-04-15,8.4,8.64,8.18,8.27,1156756,2568,450.45,1034405
2024-04-16,8.45,8.46,8.26,8.29,548022,1710,320.48,468404
2024-04-18,8.29,8.45,8.06,8.27,1587565,1871,848.51,1154925
2024-04-19,8.34,8.35,8.15,8.26,297081,1356,219.09,206008
2024-04-22,8.35,8.35,8.1,8.12,1377541,2423,568.53,1247658
2024-04-23,8.12,8.12,7.9,7.92,682343,2399,284.43,577606
2024-04-24,7.93,8.1,7.93,8.04,556533,1416,393.03,495233
2024-04-25,8.04,8.13,7.95,8.06,1288782,1659,776.84,1090997
2024-04-26,8.09,8.11,8.0,8.09,555155,1315,422.17,493051
2024-04-29,8.11,8.11,8.01,8.04,581345,1799,323.15,499964
2024-04-30,8.04,8.08,7.93,7.96,1769441,2187,809.07,1709103
2024-05-02,7.98,8.04,7.94,7.95,608179,1730,351.55,546078
2024-05-03,7.97,8.02,7.92,7.96,291256,1214,239.91,215163
2024-05-06,7.96,8.21,7.96,8.07,493961,1307,377.93,440967
2024-05-07,8.23,8.23,7.98,8.09,587429,1267,463.64,375836
2024-05-08,8.15,8.17,8.02,8.07,699106,1160,602.68,627145
2024-05-09,8.19,8.19,8.09,8.13,453186,1022,443.43,439318
2024-05-10,8.3,8.37,8.16,8.35,1162593,1960,593.16,1072588
2024-05-13,8.36,8.36,8.19,8.29,368315,1440,255.77,278383
2024-05-14,8.32,8.38,8.15,8.33,946973,1243,761.84,803056
2024-05-15,8.41,8.42,8.25,8.38,721479,1348,535.22,595036
2024-05-16,8.55,8.65,8.4,8.54,696377,1809,384.95,577780
2024-05-17,8.54,8.61,8.37,8.55,700597,1724,406.38,626885
2024-05-18,8.72,8.99,8.72,8.99,353733,821,430.86,294353
2024-05-21,9.17,10.32,9.16,9.23,2473642,4881,506.79,2306837
2024-05-22,9.34,9.98,9.2,9.22,2252584,2850,790.38,2139570
2024-05-23,9.19,9.38,8.85,8.91,2248184,4917,457.23,1973104
2024-05-24,8.95,8.95,8.82,8.9,1123622,2354,477.32,956865
2024-05-27,8.94,9.03,8.9,8.99,1227955,2342,524.32,933374
2024-05-28,9.17,9.28,9.1,9.21,1563405,2447,638.91,988459
2024-05-29,9.21,9.41,9.21,9.35,1719886,2662,646.09,1068005
2024-05-30,9.44,9.45,8.9,9.2,894065,2625,340.6,707632
2024-05-31,9.23,9.24,9.01,9.15,827001,2422,341.45,529512
2024-06-03,9.14,9.14,8.66,8.94,2328957,4428,525.96,2048394
2024-06-04,8.94,9.1,8.72,8.85,1122434,3047,368.37,714864
2024-06-05,8.86,8.99,8.75,8.79,810833,2694,300.98,758093
2024-06-06,8.95,9.04,8.86,8.98,418378,1876,223.02,329555
2024-06-07,9.03,9.28,9.03,9.05,1871553,2457,761.72,1527005
2024-06-10,8.95,8.99,8.77,8.84,1881029,3996,470.73,1692550
2024-06-11,8.9,8.9,8.7,8.74,1956311,3736,523.64,1826696
2024-06-12,8.75,8.83,8.74,8.79,1265467,1947,649.96,1208229
2024-06-13,8.81,8.88,8.63,8.77,1530474,2287,669.21,1488841
2024-06-14,8.84,8.85,8.68,8.72,1194701,2611,457.56,1139435
2024-06-18,8.72,9.13,8.66,8.74,1091999,2685,406.7,921319
2024-06-19,8.76,8.85,8.74,8.8,578143,1758,328.86,496819
2024-06-20,8.8,8.98,8.75,8.96,1645301,1974,833.49,1322047
2024-06-21,8.93,9.05,8.86,8.99,583325,2075,281.12,469190
2024-06-24,8.95,8.96,8.79,8.83,1056624,2856,369.97,990854
2024-06-25,8.84,8.91,8.8,8.81,516432,1724,299.55,481021
2024-06-26,8.8,8.8,8.6,8.65,2056043,3688,557.5,1926310
2024-06-27,8.65,8.7,8.55,8.64,1132002,2653,426.69,1040558
2024-06-28,8.77,8.77,8.62,8.71,1745848,1745,1000.49,1722742
2024-07-01,8.95,8.95,8.62,8.69,640559,2214,289.32,599410
2024-07-02,8.79,8.8,8.67,8.7,1075218,1863,577.14,981176
2024-07-03,8.73,8.91,8.72,8.86,1624067,1913,848.96,1083853
2024-07-04,8.91,9.24,8.86,8.9,890960,1899,469.17,759063
2024-07-05,8.97,8.98,8.9,8.95,1398175,2060,678.73,1282998
