Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2021-07-29,2111.85,2534.2,2111.85,2312.2,7860870,550733,14.27,2190591
2021-07-30,2323.0,2380.0,2250.0,2267.85,1432655,94519,15.16,321191
2021-08-02,2279.0,2287.7,2248.0,2263.25,493438,30437,16.21,184432
2021-08-03,2264.95,2280.15,2250.0,2268.2,329279,20128,16.36,138172
2021-08-04,2268.2,2274.0,2208.75,2213.1,349040,19834,17.6,157143
2021-08-05,2212.25,2215.0,2120.1,2131.65,303604,24754,12.26,115336
2021-08-06,2131.65,2189.0,2110.0,2134.4,236079,15683,15.05,48076
2021-08-09,2144.25,2156.7,2060.85,2079.2,211519,22509,9.4,99677
2021-08-10,2070.0,2078.0,2017.85,2043.85,193101,19045,10.14,77796
2021-08-11,2044.0,2058.0,2001.0,2011.15,132078,12706,10.39,57165
2021-08-12,2034.0,2164.85,2017.05,2124.35,382918,26242,14.59,56746
2021-08-13,2134.0,2196.3,2131.05,2158.45,182102,15386,11.84,36307
2021-08-16,2130.0,2168.0,2061.0,2128.65,99656,8727,11.42,33891
2021-08-17,2162.65,2185.0,2128.0,2170.55,153911,13411,11.48,54998
2021-08-18,2174.0,2230.0,2148.4,2202.5,170423,13760,12.39,57854
2021-08-20,2180.0,2258.0,2157.35,2200.0,188841,11679,16.17,104511
2021-08-23,2244.4,2244.4,2129.3,2183.35,87957,7916,11.11,32962
2021-08-24,2183.7,2185.0,2120.0,2144.25,60029,6593,9.1,20435
2021-08-25,2090.0,2222.0,2053.25,2191.55,290102,24682,11.75,45488
2021-08-26,2181.0,2181.0,2111.0,2138.55,209220,16680,12.54,92846
2021-08-27,2120.0,2148.55,2080.0,2085.25,221377,9680,22.87,153336
2021-08-30,2088.0,2128.0,2071.0,2077.25,109506,13876,7.89,54319
2021-08-31,2088.0,2100.0,2051.0,2060.8,71756,12458,5.76,32398
2021-09-01,2074.0,2078.9,2044.0,2050.45,62935,10752,5.85,25451
2021-09-02,2054.0,2080.65,2026.0,2038.9,78604,8662,9.07,30313
2021-09-03,2048.0,2079.7,2041.0,2048.9,140229,13312,10.53,25971
2021-09-06,2062.0,2083.0,2035.0,2039.25,103904,12543,8.28,50121
2021-09-07,2047.0,2099.05,2031.1,2065.95,124097,18273,6.79,44488
2021-09-08,2073.0,2073.0,2042.5,2056.4,32946,4434,7.43,11276
2021-09-09,2041.0,2066.2,2041.0,2047.1,28814,4103,7.02,12609
2021-09-13,2045.9,2068.45,2043.1,2053.5,32321,4140,7.81,11417
2021-09-14,2059.0,2065.0,2041.55,2059.0,44506,5547,8.02,21716
2021-09-15,2064.0,2195.0,2060.0,2181.05,220711,19616,11.25,78772
2021-09-16,2216.4,2256.9,2170.55,2182.95,170249,17693,9.62,58896
2021-09-17,2188.0,2188.0,2085.0,2105.15,70261,9175,7.66,27642
2021-09-20,2080.0,2150.0,2079.65,2092.65,49877,6630,7.52,14642
2021-09-21,2083.0,2146.5,2062.55,2135.6,54112,6985,7.75,19569
2021-09-22,2181.6,2316.6,2152.15,2265.35,444739,39639,11.22,129830
2021-09-23,2280.0,2355.0,2231.95,2248.55,215411,25096,8.58,66188
2021-09-24,2256.8,2273.95,2197.15,2207.95,55394,6788,8.16,20107
2021-09-27,2218.0,2235.0,2160.1,2185.25,70392,8740,8.05,18444
2021-09-28,2188.0,2225.8,2165.0,2210.3,51609,6305,8.19,21267
2021-09-29,2209.7,2295.0,2193.35,2244.45,95251,9585,9.94,33945
2021-09-30,2246.7,2281.3,2181.1,2191.7,82988,12942,6.41,25662
2021-10-01,2178.8,2197.0,2142.1,2154.65,52643,6923,7.6,18088
2021-10-04,2168.8,2235.0,2166.0,2200.3,72425,10427,6.95,25356
2021-10-05,2199.0,2310.0,2156.85,2250.6,208603,19390,10.76,53795
2021-10-06,2255.0,2322.0,2225.0,2277.25,157160,14389,10.92,55963
2021-10-07,2293.7,2345.0,2276.0,2292.7,125513,11915,10.53,45202
2021-10-08,2308.0,2398.0,2285.0,2360.65,235645,22241,10.6,101981
2021-10-11,2370.0,2447.9,2370.0,2400.2,210962,19574,10.78,93868
2021-10-12,2389.0,2421.4,2332.0,2347.7,81469,9541,8.54,36282
2021-10-13,2359.6,2363.7,2292.0,2322.7,86321,9724,8.88,37477
2021-10-14,2338.6,2359.0,2305.9,2326.1,61622,7683,8.02,26353
2021-10-18,2328.0,2360.0,2260.0,2270.15,50797,6745,7.53,25952
2021-10-19,2270.15,2288.3,2165.0,2184.85,60814,10825,5.62,36662
2021-10-20,2189.9,2200.45,2079.0,2104.7,73985,12809,5.78,36712
2021-10-21,2110.0,2172.0,2101.85,2144.7,39244,6687,5.87,13997
2021-10-22,2154.7,2200.0,2125.0,2135.1,39784,8100,4.91,15770
2021-10-25,2450.0,2480.0,2280.0,2312.25,540769,66543,8.13,105297
2021-10-26,2319.0,2662.6,2273.5,2559.9,529655,49778,10.64,162181
2021-10-27,2725.0,2807.0,2607.0,2649.45,1015192,96988,10.47,160660
2021-10-28,2630.0,2647.0,2580.0,2596.25,193161,20313,9.51,50213
2021-10-29,2560.0,2664.25,2461.0,2505.0,148875,15370,9.69,51194
2021-11-01,2534.0,2700.0,2500.05,2665.8,100413,11002,9.13,42615
2021-11-02,2684.5,2906.0,2665.8,2877.95,312765,30320,10.32,109207
2021-11-03,2930.0,2977.8,2752.1,2779.0,157688,20288,7.77,57585
2021-11-04,2814.0,2860.0,2786.15,2843.3,35962,20288,1.77,57585
2021-11-08,2865.0,2865.0,2700.0,2755.5,49197,7120,6.91,21752
2021-11-09,2755.5,2827.0,2682.15,2730.4,70669,10467,6.75,30793
2021-11-10,2715.0,2770.95,2650.0,2663.35,60943,8921,6.83,26940
2021-11-11,2663.35,2688.0,2563.35,2573.9,66723,11590,5.76,31849
2021-11-12,2585.0,2756.0,2525.0,2725.2,176939,22011,8.04,52581
2021-11-15,2765.0,2773.0,2655.6,2678.6,60232,8829,6.82,23797
2021-11-16,2677.7,2707.95,2622.25,2634.5,49200,7295,6.74,18084
2021-11-17,2629.9,2680.0,2561.4,2580.05,60735,9225,6.58,25935
2021-11-18,2590.0,2608.3,2463.25,2568.85,91095,15537,5.86,31430
2021-11-22,2572.0,2641.85,2525.0,2587.45,105631,15977,6.61,51219
