Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-06-07,198.0,207.9,198.0,207.9,2592000,,,
2024-06-10,218.25,218.25,212.0,218.25,524400,,,
2024-06-11,229.15,229.15,229.15,229.15,21600,,,
2024-06-12,240.6,240.6,240.6,240.6,36000,,,
2024-06-13,252.6,252.6,252.6,252.6,14400,,,
2024-06-14,247.5,265.2,240.0,265.2,760800,,,
2024-06-18,278.4,278.45,272.0,278.45,157200,,,
2024-06-19,292.35,292.35,289.0,292.35,49200,,,
2024-06-20,306.95,306.95,306.95,306.95,27600,,,
2024-06-21,322.25,322.25,322.25,322.25,27600,,,
2024-06-24,354.45,354.45,340.35,354.45,285600,,,
2024-06-25,388.0,389.85,330.0,367.05,597600,,,
2024-06-26,345.0,366.0,330.35,330.35,339600,,,
2024-06-27,313.0,362.0,307.0,327.6,296400,,,
2024-06-28,313.0,329.95,294.85,296.65,403200,,,
2024-07-01,288.05,326.3,270.55,326.15,498000,,,
2024-07-02,327.0,334.0,315.0,317.85,88800,,,
2024-07-03,324.0,349.6,324.0,349.6,133200,,,
2024-07-04,384.55,384.55,350.0,363.0,130800,,,
2024-07-05,367.95,399.3,352.6,379.45,313200,,,
2024-07-08,387.0,388.0,360.5,360.5,63600,,,
2024-07-09,353.0,355.0,342.5,342.5,67200,,,
2024-07-10,335.15,335.2,325.4,325.85,134400,,,
2024-07-11,319.0,342.1,319.0,342.1,45600,,,
2024-07-12,352.0,359.2,325.0,326.4,261600,,,
2024-07-15,327.0,327.0,310.1,313.3,134400,,,
2024-07-16,310.15,318.0,304.0,313.1,26400,,,
2024-07-18,313.1,313.1,297.45,297.45,40800,,,
2024-07-19,295.0,303.0,282.6,300.25,62400,,,
2024-07-22,285.6,306.95,285.25,299.9,21600,,,
2024-07-23,285.65,314.85,285.65,314.85,202800,,,
2024-07-24,320.0,330.55,317.0,330.45,177600,,,
2024-07-25,346.95,346.95,314.1,340.9,142800,,,
2024-07-26,340.0,345.0,326.0,329.8,94800,,,
2024-07-29,315.1,338.8,315.1,320.6,48000,,,
2024-07-30,321.0,326.9,308.0,310.65,27600,,,
2024-07-31,317.0,317.0,300.0,301.95,36000,,,
2024-08-01,298.0,306.0,296.0,296.6,42000,,,
2024-08-02,296.0,297.0,282.0,295.0,36000,,,
2024-08-05,281.25,291.0,280.25,283.8,51600,,,
2024-08-06,287.0,294.8,286.0,286.5,24000,,,
2024-08-07,282.3,290.0,281.75,287.5,13200,,,
2024-08-08,287.5,289.0,284.1,284.2,22800,,,
2024-08-09,284.7,293.0,284.6,289.35,18000,,,
2024-08-12,298.8,298.8,275.0,280.05,25200,,,
2024-08-13,281.0,286.5,267.0,271.75,33600,,,
2024-08-14,276.0,276.0,265.0,265.0,19200,,,
2024-08-16,265.0,270.0,260.0,267.0,7200,,,
2024-08-19,266.0,274.0,261.2,268.0,26400,,,
2024-08-20,268.0,269.95,261.1,266.0,27600,,,
2024-08-21,274.0,279.3,268.5,279.3,31200,,,
2024-08-22,281.0,286.0,277.0,285.5,24000,,,
2024-08-23,285.5,286.0,273.0,279.0,14400,,,
2024-08-26,267.0,279.85,265.05,268.5,33600,,,
2024-08-27,269.0,269.95,258.0,263.3,27600,,,
2024-08-28,271.0,271.0,255.5,261.35,39600,,,
2024-08-29,264.0,264.0,248.3,248.55,54000,,,
2024-08-30,245.0,260.8,240.0,245.0,38400,,,
2024-09-02,242.05,252.9,237.25,238.15,18000,,,
2024-09-03,228.0,250.05,228.0,245.1,51600,,,
2024-09-04,249.5,252.2,245.0,247.7,14400,,,
2024-09-05,240.0,244.5,235.35,236.1,42000,,,
2024-09-06,236.2,236.2,224.3,224.3,56400,,,
2024-09-09,224.3,234.0,220.0,226.0,32400,25,1296.0,32400
