Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-05-15,1426.0,1455.95,1275.0,1406.3,12003210,388674,30.88,7219479
2024-05-16,1419.0,1473.0,1400.05,1460.25,1757996,101425,17.33,548339
2024-05-17,1440.0,1490.0,1426.0,1451.65,725596,42686,17.0,263425
2024-05-18,1459.8,1482.1,1450.15,1464.5,72083,3997,18.03,32948
2024-05-21,1454.0,1459.95,1390.95,1416.6,291122,27293,10.67,90319
2024-05-22,1413.0,1432.0,1385.75,1395.55,192390,23464,8.2,106146
2024-05-23,1404.65,1427.0,1385.0,1415.5,300708,15321,19.63,216345
2024-05-24,1400.0,1415.45,1380.9,1387.05,113873,8199,13.89,77985
2024-05-27,1387.05,1462.8,1387.05,1436.0,472113,17314,27.27,346009
2024-05-28,1454.0,1454.0,1412.1,1417.25,201068,19983,10.06,137433
2024-05-29,1410.0,1432.0,1409.0,1418.2,116261,5360,21.69,91580
2024-05-30,1420.0,1444.45,1386.05,1395.05,72200,7349,9.82,36957
2024-05-31,1408.95,1445.0,1369.25,1408.0,257875,18565,13.89,133293
2024-06-03,1438.0,1455.0,1382.0,1447.45,309370,20718,14.93,204152
2024-06-04,1438.0,1438.0,1231.65,1376.2,240619,18396,13.08,105967
2024-06-05,1377.0,1424.0,1320.55,1402.3,123665,13078,9.46,76566
2024-06-06,1418.0,1455.0,1392.25,1415.2,102889,10455,9.84,57142
2024-06-07,1417.0,1574.2,1400.0,1525.5,378686,38470,9.84,131226
2024-06-10,1533.35,1596.85,1500.05,1532.65,161584,15657,10.32,57487
2024-06-11,1532.0,1560.65,1509.0,1557.25,118196,11900,9.93,55833
2024-06-12,1575.65,1579.95,1520.95,1530.05,148978,9570,15.57,86792
2024-06-13,1549.0,1580.0,1522.3,1563.45,124733,13860,9.0,63728
2024-06-14,1590.6,1630.65,1575.1,1606.6,262154,23191,11.3,137701
2024-06-18,1610.0,1625.0,1577.9,1607.25,150975,17030,8.87,82787
2024-06-19,1624.95,1624.95,1553.2,1582.3,86076,9843,8.74,44208
2024-06-20,1598.95,1612.65,1567.5,1600.05,108081,8627,12.53,67586
2024-06-21,1614.0,1614.0,1572.9,1588.1,71572,11603,6.17,43986
2024-06-24,1649.45,1764.3,1633.15,1699.85,1347592,76556,17.6,425513
2024-06-25,1702.0,1907.45,1702.0,1864.65,995915,107234,9.29,334788
2024-06-26,1864.6,1933.0,1834.8,1894.4,393445,29700,13.25,148167
2024-06-27,1899.0,1917.7,1848.05,1899.75,229285,21957,10.44,114114
2024-06-28,1900.0,1920.0,1884.4,1902.9,143237,11139,12.86,94105
2024-07-01,1891.1,1918.95,1890.0,1899.2,54814,6680,8.21,19630
2024-07-02,1904.85,1909.2,1756.0,1830.85,297951,27830,10.71,106026
2024-07-03,1848.75,1848.75,1783.6,1800.4,151002,14324,10.54,95200
