Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-04-20,20.9,21.9,20.9,21.9,7350,BE,7.0,1050.0,7350.0
2023-04-21,22.95,22.95,22.95,22.95,450,BE,2.0,225.0,450.0
2023-04-24,24.05,24.05,24.05,24.05,200,BE,1.0,200.0,200.0
2023-04-25,25.25,25.25,25.25,25.25,50,BE,1.0,50.0,50.0
2023-04-26,26.5,26.5,26.5,26.5,1005,BE,3.0,335.0,1005.0
2023-04-27,27.8,27.8,27.8,27.8,1350,BE,3.0,450.0,1350.0
2023-04-28,29.15,29.15,29.15,29.15,500,BE,1.0,500.0,500.0
2023-05-02,30.6,30.6,30.6,30.6,950,BE,2.0,475.0,950.0
2023-05-03,32.1,32.1,32.1,32.1,500,BE,1.0,500.0,500.0
2023-05-04,33.7,33.7,33.7,33.7,1380,BE,6.0,230.0,1380.0
2023-05-05,35.35,35.35,35.35,35.35,1220,BE,2.0,610.0,1220.0
2023-05-08,37.1,37.1,36.4,37.1,59451,BE,153.0,388.57,59451.0
2023-05-09,38.95,38.95,35.25,35.3,28518,BE,171.0,166.77,28518.0
2023-05-10,35.75,35.75,33.55,33.55,2249,BE,46.0,48.89,2249.0
2023-05-11,31.9,31.9,31.9,31.9,1242,BE,17.0,73.06,1242.0
2023-05-12,30.3,30.3,30.3,30.3,603,BE,14.0,43.07,603.0
2023-05-15,28.8,28.8,28.8,28.8,969,BE,17.0,57.0,969.0
2023-05-16,27.4,30.2,27.4,30.2,64885,BE,135.0,480.63,64885.0
2023-05-17,28.7,28.7,28.7,28.7,3912,BE,21.0,186.29,3912.0
2023-05-18,27.3,27.3,27.3,27.3,719,BE,18.0,39.94,719.0
2023-05-19,25.95,28.6,25.95,25.95,20632,BE,54.0,382.07,20632.0
2023-05-22,24.65,27.2,24.65,27.2,30309,BE,107.0,283.26,30309.0
2023-05-23,28.45,28.45,25.85,27.0,1995,BE,27.0,73.89,1995.0
2023-05-24,26.0,27.0,25.65,26.7,3435,BE,25.0,137.4,3435.0
2023-05-25,26.7,26.7,25.4,26.35,1347,BE,22.0,61.23,1347.0
2023-05-26,26.35,27.5,25.05,25.05,8581,BE,39.0,220.03,8581.0
2023-05-29,25.95,25.95,23.8,23.95,6032,BE,35.0,172.34,6032.0
2023-05-30,23.8,25.1,22.8,24.85,3291,BE,34.0,96.79,3291.0
2023-05-31,25.35,26.05,24.8,26.0,6171,BE,29.0,212.79,6171.0
2023-06-01,26.0,27.3,26.0,26.7,5805,BE,52.0,111.63,5805.0
2023-06-02,28.0,28.0,25.4,25.4,4739,BE,48.0,98.73,4739.0
2023-06-05,24.15,25.75,24.15,24.3,1689,BE,23.0,73.43,1689.0
2023-06-06,24.3,25.3,23.1,25.3,10144,BE,44.0,230.55,10144.0
2023-06-07,24.05,24.05,24.05,24.05,934,BE,11.0,84.91,934.0
2023-06-08,24.05,25.2,24.0,24.3,3856,BE,20.0,192.8,3856.0
2023-06-09,24.8,24.95,23.1,24.7,748,BE,14.0,53.43,748.0
