Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-07-02,10.96,10.96,10.37,10.41,343101,EQ,242,1417.77,176625
2025-07-03,10.46,10.46,10.3,10.31,117532,EQ,214,549.21,69971
2025-07-04,10.37,10.67,10.36,10.43,86096,EQ,168,512.48,62006
2025-07-07,10.5,10.5,10.36,10.43,43099,EQ,328,131.4,36016
2025-07-08,10.45,10.47,10.4,10.44,50746,EQ,128,396.45,50192
2025-07-09,10.7,10.7,10.35,10.43,146401,EQ,137,1068.62,96943
2025-07-10,10.7,10.7,10.41,10.41,20842,EQ,109,191.21,17955
2025-07-11,10.7,10.7,10.33,10.35,39665,EQ,177,224.1,37175
2025-07-14,10.7,10.7,10.3,10.32,53556,EQ,226,236.97,46805
2025-07-15,10.7,10.7,10.31,10.35,73164,EQ,124,590.03,48634
2025-07-16,10.7,10.7,10.3,10.38,24533,EQ,134,183.08,17292
2025-07-17,10.4,10.41,10.32,10.32,27110,EQ,129,210.16,19439
2025-07-18,10.7,10.7,10.21,10.29,70745,EQ,234,302.33,66024
2025-07-21,10.7,10.7,10.2,10.3,40174,EQ,160,251.09,33000
2025-07-22,10.7,10.7,10.27,10.3,110555,EQ,344,321.38,66876
2025-07-23,10.59,10.59,10.31,10.34,44810,EQ,135,331.93,26235
2025-07-24,10.7,10.7,10.21,10.29,21544,EQ,258,83.5,15673
2025-07-25,10.38,10.38,10.15,10.17,79833,EQ,351,227.44,72818
2025-07-28,10.7,10.7,10.05,10.07,61323,EQ,445,137.8,55719
2025-07-29,10.2,10.2,10.02,10.1,41124,EQ,218,188.64,29075
2025-07-30,10.15,10.15,10.09,10.11,17879,EQ,162,110.36,10393
2025-07-31,10.16,10.17,10.04,10.14,38099,EQ,136,280.14,22230
2025-08-01,10.16,10.17,10.07,10.1,29399,EQ,151,194.7,23968
2025-08-04,10.23,10.23,10.06,10.13,54284,EQ,153,354.8,47760
2025-08-05,10.17,10.18,10.08,10.14,21829,EQ,193,113.1,18384
2025-08-06,10.19,10.19,10.09,10.1,58499,EQ,129,453.48,51483
2025-08-07,10.15,10.15,10.03,10.1,18183,EQ,183,99.36,16468
2025-08-08,10.19,10.19,10.02,10.02,29318,EQ,228,128.59,28676
2025-08-11,10.07,10.11,10.0,10.07,14443,EQ,143,101.0,11336
2025-08-12,10.12,10.15,10.05,10.06,11686,EQ,110,106.24,9888
2025-08-13,10.06,10.15,10.06,10.09,12037,EQ,100,120.37,7592
2025-08-14,10.09,10.15,10.05,10.1,17038,EQ,112,152.12,15658
2025-08-18,10.3,10.37,10.24,10.27,41390,EQ,113,366.28,39920
2025-08-19,10.46,10.56,10.07,10.27,12664,EQ,102,124.16,9528
2025-08-20,10.46,10.46,10.25,10.3,38311,EQ,110,348.28,37261
2025-08-21,10.35,10.38,10.31,10.31,12025,EQ,164,73.32,10528
2025-08-22,10.36,10.39,10.25,10.29,107785,EQ,153,704.48,60378
2025-08-25,10.49,10.49,10.29,10.33,25604,EQ,98,261.27,22162
2025-08-26,10.49,10.49,10.2,10.24,57638,EQ,152,379.2,44480
2025-08-28,10.42,10.42,10.18,10.2,14780,EQ,183,80.77,11050
2025-08-29,10.24,10.29,10.15,10.18,4315478,EQ,210,20549.9,2162296
2025-09-01,10.38,10.38,10.0,10.23,218263,EQ,403,541.6,137507
2025-09-02,10.42,10.42,10.14,10.2,54423,EQ,182,299.03,50816
2025-09-03,10.19,10.24,10.15,10.22,24432,EQ,125,195.46,20221
2025-09-04,10.23,10.47,10.13,10.27,50091,EQ,136,368.32,50023
2025-09-05,10.32,10.35,10.23,10.29,14030,EQ,105,133.62,12748
2025-09-08,10.39,10.4,10.25,10.34,22543,EQ,133,169.5,16030
2025-09-09,10.4,10.4,10.3,10.38,60191,EQ,112,537.42,45164
2025-09-10,10.49,10.49,10.21,10.4,36383,EQ,117,310.97,29225
2025-09-11,10.66,10.66,10.37,10.41,23977,EQ,122,196.53,21334
2025-09-12,10.67,10.67,10.38,10.47,27458,EQ,113,242.99,26916
2025-09-15,10.65,10.65,10.43,10.47,58273,EQ,227,256.71,38066
2025-09-16,10.66,10.66,10.42,10.56,55242,EQ,209,264.32,34956
2025-09-17,10.74,10.74,10.48,10.6,93990,EQ,167,562.81,84902
2025-09-18,10.61,10.68,10.6,10.62,36962,EQ,143,258.48,29142
2025-09-19,10.79,10.79,10.56,10.6,47886,EQ,153,312.98,47264
2025-09-22,10.75,10.76,10.5,10.54,41652,EQ,178,234.0,29668
2025-09-23,10.72,10.72,10.53,10.6,445870,EQ,163,2735.4,362667
2025-09-24,10.65,10.65,10.53,10.55,34766,EQ,134,259.45,20694
2025-09-25,10.57,10.58,10.46,10.48,25326,EQ,130,194.82,18611
2025-09-26,10.56,10.56,10.38,10.41,47055,EQ,148,317.94,46184
2025-09-29,10.45,10.45,10.35,10.39,15629,EQ,120,130.24,13924
2025-09-30,10.45,10.45,10.34,10.37,23135,EQ,115,201.17,20207
2025-10-01,10.11,10.54,10.11,10.42,21862,EQ,144,151.82,13000
2025-10-03,10.66,10.66,10.4,10.46,24681,EQ,130,189.85,12226
2025-10-06,10.26,10.7,10.26,10.59,107821,EQ,151,714.05,101438
2025-10-07,10.65,10.65,10.54,10.55,26316,EQ,142,185.32,25725
2025-10-08,10.6,10.63,10.54,10.57,27140,EQ,108,251.3,22716
2025-10-09,10.62,10.62,10.54,10.58,22990,EQ,99,232.22,16769
2025-10-10,10.61,10.68,10.58,10.66,194294,EQ,161,1206.8,21698
2025-10-13,10.65,10.67,10.58,10.65,30866,EQ,177,174.38,16073
2025-10-14,10.71,10.72,10.54,10.58,14559,EQ,205,71.02,8378
2025-10-15,10.63,10.69,10.58,10.66,27743,EQ,208,133.38,8183
2025-10-16,10.73,10.78,10.69,10.74,74532,EQ,240,310.55,69767
2025-10-17,10.78,10.9,10.74,10.82,175763,EQ,361,486.88,113162
