Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2005-07-26,18.15,19.05,18.0,18.1,36270,,,
2005-07-27,18.9,18.9,17.75,17.75,21739,,,
2005-07-29,17.4,18.15,17.25,17.4,38805,,,
2005-08-01,17.6,17.6,17.05,17.25,23698,,,
2005-08-02,17.6,18.1,17.45,17.7,34592,,,
2005-08-03,19.0,19.0,17.3,17.35,46318,,,
2005-08-04,17.65,17.7,17.15,17.3,33223,,,
2005-08-05,17.55,19.5,17.55,18.4,115456,,,
2005-08-08,19.4,20.2,17.65,18.95,252433,,,
2005-08-09,19.85,20.25,18.15,18.6,70389,,,
2005-08-10,18.9,19.0,18.4,18.85,39118,,,
2005-08-11,19.2,19.4,18.7,18.9,47828,,,
2005-08-12,17.8,19.25,17.8,18.45,45022,,,
2005-08-16,20.4,20.4,18.3,19.05,81650,,,
2005-08-17,19.25,19.8,19.0,19.2,100870,,,
2005-08-18,19.9,19.9,18.65,19.3,94718,,,
2005-08-19,20.9,23.2,20.5,23.2,1139534,,,
2005-08-22,25.0,27.15,22.8,25.85,2490889,,,
2005-08-23,26.5,28.8,24.0,24.3,1008293,,,
2005-08-24,24.45,24.5,22.3,22.9,567876,,,
2005-08-25,21.5,24.65,21.5,24.3,443868,,,
2005-08-26,24.7,26.5,24.7,25.75,665696,,,
2005-08-29,26.1,26.1,23.75,25.1,361476,,,
2005-08-30,26.0,26.4,25.1,25.35,279202,,,
2005-08-31,25.0,25.85,25.0,25.6,199975,,,
2005-09-01,25.75,26.5,25.1,25.3,165726,,,
2005-09-02,26.1,29.75,21.1,29.1,2329810,,,
2005-09-05,30.5,30.5,27.4,28.15,1410890,,,
2005-09-06,29.95,29.95,26.9,27.15,398533,,,
2005-09-08,27.5,28.0,27.0,27.15,227310,,,
2005-09-09,27.2,29.3,26.6,27.8,661079,,,
2005-09-12,28.65,28.65,27.5,27.75,169519,,,
2005-09-13,28.0,28.0,26.85,27.05,237439,,,
2005-09-14,27.4,28.4,25.7,26.4,293359,,,
2005-09-15,27.1,27.5,26.5,26.9,128580,,,
2005-09-16,27.0,27.4,26.6,26.85,139286,,,
2005-09-19,27.5,28.5,27.3,27.75,282044,,,
2005-09-20,28.0,29.25,27.0,27.45,460641,,,
2005-09-21,27.5,27.5,22.55,25.25,385308,,,
2005-09-22,25.95,25.95,20.75,21.0,330204,,,
2005-09-23,22.0,22.7,19.85,21.3,294613,,,
2005-09-26,21.7,23.25,21.5,23.05,188702,,,
2005-09-27,23.5,23.75,22.7,23.15,139730,,,
2005-09-28,23.3,23.4,21.9,22.75,126869,,,
2005-09-29,22.55,23.2,21.35,21.55,75977,,,
2005-09-30,22.0,22.0,18.25,20.5,116823,,,
2005-10-03,18.5,22.0,18.5,20.95,74900,,,
2005-10-04,21.5,22.1,21.2,21.6,77725,,,
2005-10-05,21.9,21.9,20.0,21.25,40864,,,
2005-10-06,20.9,21.25,20.3,20.7,33237,,,
2005-10-07,21.35,21.35,20.0,20.2,53390,,,
2005-10-10,21.4,21.4,20.0,20.2,33829,,,
2005-10-11,21.8,21.8,19.3,19.8,59234,,,
2005-10-13,19.7,20.45,19.5,19.6,26737,,,
2005-10-14,19.5,20.4,18.7,18.95,43111,,,
2005-10-17,19.35,19.35,18.2,18.3,38817,,,
2005-10-18,19.3,19.3,18.25,18.45,31167,,,
2005-10-19,17.55,18.6,16.8,17.0,39976,,,
2005-10-20,17.0,18.35,15.85,16.1,40674,,,
2005-10-21,16.05,16.6,15.1,16.3,44591,,,
2005-10-24,17.35,17.35,16.2,16.3,32866,,,
2005-10-25,16.55,16.75,16.15,16.35,21018,,,
2005-10-26,15.8,17.0,15.8,16.3,23775,,,
2005-10-27,15.75,16.6,15.4,15.75,27739,,,
2005-10-28,16.0,16.05,15.0,15.25,16073,,,
2005-10-31,15.9,16.0,15.0,15.6,22809,,,
2005-11-01,16.6,16.65,15.8,15.95,9505,,,
2005-11-02,15.45,16.25,15.05,16.1,17328,,,
2005-11-07,16.25,17.25,16.25,17.1,48127,,,
2005-11-08,17.5,17.85,17.15,17.55,28773,,,
2005-11-09,17.4,17.8,17.1,17.3,15870,,,
2005-11-10,17.1,17.8,17.05,17.35,14363,,,
2005-11-11,17.25,18.0,17.2,17.7,42293,,,
2005-11-14,17.75,18.6,17.75,18.15,40456,,,
2005-11-16,17.5,18.25,17.1,17.3,60385,,,
2005-11-17,17.55,17.8,17.0,17.4,30436,,,
2005-11-18,17.4,17.6,16.5,17.0,35972,,,
2005-11-21,17.0,17.0,16.25,16.65,7065,,,
2005-11-22,16.1,17.0,15.85,16.05,23781,,,
2005-11-23,15.45,16.4,15.45,15.7,6513,,,
