Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2022-05-10,93.4,96.9,77.45,89.9,1797621.0,17283.0,104.01,808388.0
2022-05-12,87.85,88.9,81.8,82.85,272284.0,1821.0,149.52,187265.0
2022-05-13,82.85,89.1,80.0,81.45,273194.0,4996.0,54.68,134547.0
2022-05-16,81.75,84.9,76.65,78.75,239924.0,3106.0,77.25,83498.0
2022-05-17,81.85,84.65,78.6,82.7,150069.0,5200.0,28.86,32625.0
2022-05-18,81.1,83.9,81.0,81.05,132976.0,1343.0,99.01,107870.0
2022-05-19,78.8,80.55,73.0,75.6,67082.0,1592.0,42.14,43023.0
2022-05-20,75.0,79.5,75.0,77.55,108473.0,4895.0,22.16,53519.0
2022-05-23,76.05,79.0,73.65,74.7,49452.0,1321.0,37.44,31843.0
2022-05-24,73.25,89.6,71.9,88.55,1073309.0,18317.0,58.6,242449.0
2022-05-25,93.9,93.9,82.35,83.95,430436.0,6537.0,65.85,173224.0
2022-05-26,86.0,86.0,79.5,81.45,77184.0,1635.0,47.21,35367.0
2022-05-27,82.3,83.3,79.05,80.2,178480.0,3380.0,52.8,98225.0
2022-05-30,81.25,83.0,78.35,80.5,1017997.0,3999.0,254.56,558077.0
2022-05-31,81.7,83.2,78.0,79.55,833119.0,24842.0,33.54,638365.0
2022-06-01,79.95,81.7,77.1,78.3,839285.0,7487.0,112.1,512800.0
2022-06-02,78.9,79.5,74.85,77.9,912855.0,2298.0,397.24,818960.0
2022-06-03,78.85,81.5,76.75,80.05,1001243.0,2966.0,337.57,527398.0
2022-06-06,79.75,83.5,78.0,78.9,287113.0,14458.0,19.86,132049.0
2022-06-07,78.0,79.65,76.75,77.15,126435.0,2313.0,54.66,30796.0
2022-06-08,77.15,83.5,77.15,79.6,366291.0,26490.0,13.83,94821.0
2022-06-09,80.7,82.0,79.05,80.0,141162.0,7114.0,19.84,57296.0
2022-06-10,80.95,80.95,78.1,78.45,113665.0,680.0,167.15,59259.0
2022-06-13,75.05,79.7,75.05,78.35,156651.0,1451.0,107.96,98227.0
2022-06-14,77.15,78.75,74.5,75.65,197431.0,1315.0,150.14,136857.0
2022-06-15,75.0,78.0,75.0,75.55,208831.0,1342.0,155.61,133003.0
2022-06-16,77.4,78.9,72.25,74.5,146934.0,1611.0,91.21,49793.0
2022-06-17,73.95,77.7,70.55,76.5,336389.0,7855.0,42.82,35740.0
2022-06-20,75.0,77.0,72.0,72.5,671556.0,2015.0,333.28,351862.0
2022-06-21,73.1,73.85,70.95,71.8,86277.0,1026.0,84.09,16788.0
2022-06-22,72.15,72.15,61.7,63.8,533617.0,6786.0,78.63,217985.0
2022-06-23,63.3,64.85,60.65,63.0,688889.0,3947.0,174.53,373124.0
2022-06-24,61.55,64.95,61.55,63.15,106199.0,1584.0,67.04,25532.0
2022-06-27,62.2,75.75,62.05,75.75,1027248.0,10703.0,95.98,402032.0
2022-06-28,82.4,90.9,78.95,90.9,3033334.0,47036.0,64.49,698835.0
2022-06-29,89.1,109.05,88.0,107.3,4465299.0,85219.0,52.4,987647.0
2022-06-30,105.1,111.8,99.25,107.45,2577288.0,55490.0,46.45,501205.0
2022-07-01,107.8,110.7,97.5,99.75,966980.0,18895.0,51.18,362997.0
2022-07-04,102.9,103.0,93.6,98.2,293643.0,6505.0,45.14,125539.0
2022-07-05,96.3,101.8,96.3,97.75,254892.0,2407.0,105.9,109690.0
2022-07-06,97.0,107.5,94.85,97.7,736662.0,6112.0,120.53,278505.0
2022-07-07,98.7,104.0,97.3,100.6,1196374.0,22489.0,53.2,720880.0
2022-07-08,101.5,103.5,99.0,100.65,237219.0,2611.0,90.85,123427.0
2022-07-11,96.85,102.7,96.85,97.2,154309.0,1683.0,91.69,85524.0
2022-07-12,97.2,98.5,96.0,96.6,120845.0,1185.0,101.98,39468.0
2022-07-13,98.85,106.25,94.95,105.85,1523822.0,39987.0,38.11,535907.0
2022-07-14,106.0,107.0,98.0,98.1,1061366.0,10870.0,97.64,763499.0
2022-07-15,98.9,102.5,98.1,99.4,146350.0,1558.0,93.93,59608.0
2022-07-18,101.0,101.7,98.0,98.75,332942.0,1172.0,284.08,249480.0
2022-07-19,98.1,103.4,96.05,99.5,153620.0,1618.0,94.94,43650.0
2022-07-20,101.95,103.0,99.1,100.2,141690.0,1504.0,94.21,68016.0
2022-07-21,101.7,101.7,94.15,97.6,182746.0,1283.0,142.44,112115.0
2022-07-22,98.7,99.9,95.85,96.5,122916.0,1069.0,114.98,73816.0
2022-07-25,95.1,98.1,95.0,96.9,117330.0,1174.0,99.94,49350.0
