Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2016-06-07,42.5,44.0,42.5,44.0,27000,,,
2016-06-08,44.0,44.1,43.85,44.0,60000,,,
2016-06-09,43.9,44.0,43.9,44.0,30000,,,
2016-06-10,43.9,44.0,43.7,43.7,60000,,,
2016-06-13,44.0,44.0,44.0,44.0,21000,,,
2016-06-14,42.0,42.0,42.0,42.0,3000,,,
2016-06-16,44.0,44.0,43.9,43.9,27000,,,
2016-06-20,43.7,43.7,43.0,43.0,36000,,,
2016-06-21,43.0,43.0,43.0,43.0,15000,,,
2016-06-29,42.0,51.0,42.0,50.4,87000,,,
2016-06-30,43.0,43.0,43.0,43.0,33000,,,
2016-07-01,43.0,43.0,43.0,43.0,48000,,,
2016-07-11,41.5,41.5,41.5,41.5,21000,,,
2016-07-12,47.0,47.0,41.5,41.5,42000,,,
2016-08-08,41.0,41.0,41.0,41.0,6000,,,
2016-08-10,41.0,41.0,41.0,41.0,3000,,,
2016-08-26,41.0,41.0,38.0,38.0,36000,,,
2016-10-07,37.5,37.5,37.5,37.5,3000,,,
2016-10-20,37.5,37.5,37.5,37.5,3000,,,
2016-10-26,37.5,37.5,37.5,37.5,3000,,,
2016-12-02,38.4,38.5,38.3,38.4,9000,,,
2016-12-19,37.5,37.5,37.5,37.5,3000,,,
2016-12-29,37.5,37.5,37.5,37.5,3000,,,
2017-01-19,39.0,39.0,39.0,39.0,3000,,,
2017-01-23,39.0,39.0,39.0,39.0,3000,,,
2017-01-25,37.5,37.5,37.5,37.5,3000,,,
2017-01-27,37.5,37.5,37.5,37.5,3000,,,
2017-02-20,36.0,36.0,36.0,36.0,15000,,,
2017-02-21,32.25,32.25,32.0,32.15,9000,,,
2017-02-22,31.05,31.05,31.05,31.05,21000,,,
2017-02-27,31.5,31.5,31.5,31.5,153000,,,
2017-02-28,32.5,32.5,27.25,27.4,15000,,,
2017-03-01,24.25,24.25,23.5,23.7,12000,,,
2017-03-02,24.0,24.0,23.0,23.0,9000,,,
2017-03-03,21.0,21.0,20.7,20.75,12000,,,
2017-03-06,18.7,18.7,18.7,18.7,3000,,,
2017-03-08,20.5,20.5,18.7,19.0,51000,,,
2017-03-10,18.7,18.8,18.7,18.8,6000,,,
2017-03-14,20.0,20.0,19.95,20.0,123000,,,
2017-03-15,19.5,19.6,19.4,19.5,102000,,,
2017-03-16,19.5,19.5,17.75,17.8,12000,,,
2017-03-17,17.8,17.8,17.8,17.8,3000,,,
2017-03-21,16.3,16.3,16.15,16.25,9000,,,
2017-03-22,16.25,16.25,16.25,16.25,3000,,,
2017-03-23,16.7,17.05,15.45,17.05,129000,,,
2017-03-24,17.9,17.9,17.9,17.9,3000,,,
2017-03-27,18.75,18.75,18.75,18.75,6000,,,
2017-03-28,19.65,19.65,19.65,19.65,3000,,,
2017-03-29,20.6,20.6,20.6,20.6,3000,,,
2017-04-03,20.9,21.6,20.9,21.6,9000,,,
2017-04-06,22.65,22.65,22.65,22.65,3000,,,
2017-04-07,23.75,23.75,23.75,23.75,3000,,,
2017-04-10,24.9,24.9,24.9,24.9,3000,,,
2017-04-13,25.25,26.1,25.2,26.1,105000,,,
2017-04-17,27.4,27.4,27.4,27.4,3000,,,
2017-04-18,28.75,28.75,28.75,28.75,3000,,,
2017-04-19,30.15,30.15,30.15,30.15,3000,,,
2017-04-25,30.5,30.5,28.65,28.65,9000,,,
2017-04-26,27.25,27.25,27.25,27.25,3000,,,
2017-05-03,27.0,27.0,27.0,27.0,6000,,,
2017-05-04,27.75,27.75,27.75,27.75,3000,,,
2017-05-09,27.5,27.5,27.5,27.5,3000,,,
2017-05-12,26.75,26.75,26.75,26.75,3000,,,
2017-05-18,27.5,27.5,27.5,27.5,3000,,,
2017-06-01,28.0,28.0,28.0,28.0,3000,,,
2017-06-12,27.7,29.0,27.7,29.0,42000,,,
2017-06-14,29.0,29.0,29.0,29.0,3000,,,
2017-06-16,28.0,28.0,28.0,28.0,3000,,,
2017-07-07,27.5,27.5,27.5,27.5,3000,,,
2017-07-12,28.0,28.75,28.0,28.6,9000,,,
2017-07-19,29.5,29.5,29.5,29.5,3000,,,
2017-07-25,29.5,29.5,29.5,29.5,270000,,,
2017-07-26,29.0,29.0,29.0,29.0,3000,,,
2017-07-27,28.5,28.5,28.0,28.0,6000,,,
