Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2020-06-22,29.1,33.2,29.1,33.2,7406.0,130.0,56.97,6000.0
2020-06-23,39.8,39.8,39.8,39.8,759.0,9.0,84.33,759.0
2020-06-24,47.75,47.75,35.05,40.65,184459.0,1754.0,105.16,95220.0
2020-06-25,42.45,42.45,36.25,38.7,27127.0,506.0,53.61,8280.0
2020-06-26,40.0,40.0,33.2,35.2,53298.0,735.0,72.51,21373.0
2020-06-29,35.2,35.2,28.2,32.55,41083.0,305.0,134.7,30045.0
2020-06-30,32.55,33.95,32.0,32.1,8791.0,109.0,80.65,6371.0
2020-07-01,32.0,38.5,30.2,34.65,10290.0,208.0,49.47,6099.0
2020-07-02,34.65,36.0,32.1,32.75,30821.0,142.0,217.05,27932.0
2020-07-03,34.65,34.65,32.1,32.65,4841.0,99.0,48.9,2388.0
2020-07-06,31.65,33.0,31.55,31.7,9169.0,138.0,66.44,5538.0
2020-07-07,31.7,32.8,30.0,31.85,6320.0,90.0,70.22,3400.0
2020-07-08,30.35,32.4,30.35,31.1,5563.0,109.0,51.04,3353.0
2020-07-09,30.3,31.6,30.15,30.8,2976.0,48.0,62.0,2056.0
2020-07-10,30.8,31.8,28.0,30.55,5179.0,91.0,56.91,3510.0
2020-07-13,30.55,30.6,29.5,29.7,2249.0,28.0,80.32,2138.0
2020-07-14,31.35,31.35,29.2,29.65,692.0,18.0,38.44,643.0
2020-07-15,30.0,30.0,28.3,28.55,1608.0,43.0,37.4,874.0
2020-07-16,28.1,28.55,26.85,27.15,2471.0,70.0,35.3,2194.0
2020-07-17,27.95,32.55,26.05,31.9,45440.0,480.0,94.67,19969.0
2020-07-20,33.5,38.25,31.9,38.1,122442.0,1152.0,106.29,33866.0
2020-07-21,38.7,42.3,34.2,40.6,142229.0,1348.0,105.51,40719.0
2020-07-22,40.0,40.0,36.25,36.8,25552.0,457.0,55.91,13445.0
2020-07-23,39.0,39.0,36.0,36.25,15559.0,201.0,77.41,9219.0
2020-07-24,35.35,36.5,33.1,33.75,17202.0,215.0,80.01,6318.0
2020-07-27,34.5,35.0,31.55,34.05,7144.0,115.0,62.12,4134.0
2020-07-28,33.0,34.75,32.2,32.55,3081.0,69.0,44.65,2053.0
2020-07-29,32.3,34.65,32.2,33.05,9083.0,110.0,82.57,6002.0
2020-07-30,34.35,34.35,32.3,32.8,1905.0,46.0,41.41,1253.0
2020-07-31,32.8,33.9,30.55,32.1,5165.0,68.0,75.96,1517.0
2020-08-03,30.2,37.0,29.4,31.55,5855.0,85.0,68.88,3221.0
2020-08-04,31.9,31.9,30.55,31.5,4465.0,47.0,95.0,2439.0
2020-08-05,30.6,31.5,30.0,30.8,3937.0,57.0,69.07,2692.0
2020-08-06,30.05,31.5,30.05,30.95,2221.0,32.0,69.41,1474.0
2020-08-07,30.15,31.25,30.15,31.15,1602.0,21.0,76.29,1305.0
2020-08-10,30.6,37.35,30.6,34.25,18169.0,138.0,131.66,10241.0
2020-08-11,34.5,35.0,32.25,32.65,3184.0,57.0,55.86,2277.0
2020-08-12,32.65,36.8,31.7,32.4,6058.0,70.0,86.54,4200.0
2020-08-13,31.2,33.85,31.2,33.0,1746.0,57.0,30.63,1134.0
2020-08-14,32.0,34.0,31.2,33.45,6479.0,78.0,83.06,3446.0
2020-08-17,32.0,33.9,30.9,32.6,678.0,26.0,26.08,560.0
2020-08-18,32.25,33.8,31.45,31.6,8870.0,68.0,130.44,7544.0
2020-08-19,32.05,33.25,31.0,31.55,8600.0,88.0,97.73,5001.0
2020-08-20,31.15,32.95,31.15,32.25,6486.0,81.0,80.07,3000.0
2020-08-21,31.55,32.6,31.0,31.5,7654.0,102.0,75.04,5382.0
