Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-10-03,33.8,39.4,33.58,34.56,2878984,17175,167.63,965684
2024-10-04,35.96,36.02,32.1,32.61,698711,7771,89.91,368864
2024-10-07,31.71,32.51,28.74,29.1,744513,5588,133.23,334142
2024-10-08,29.01,34.92,28.5,29.89,2019516,8979,224.92,665649
2024-10-09,30.2,32.73,29.5,30.45,1026310,7278,141.02,445493
2024-10-10,30.78,31.59,30.05,30.27,220938,2470,89.45,112948
2024-10-11,30.65,33.8,30.65,31.11,421143,4695,89.7,169437
2024-10-14,31.6,31.99,30.8,31.34,315683,5035,62.7,176335
2024-10-15,31.3,31.79,30.4,30.56,166315,2697,61.67,104061
2024-10-16,30.26,32.25,30.26,31.13,249755,2893,86.33,94990
2024-10-17,31.3,31.54,29.8,29.95,181351,3012,60.21,121538
2024-10-18,31.94,31.94,29.23,30.22,1777456,8373,212.28,606685
2024-10-21,30.65,31.0,30.2,30.35,207674,2527,82.18,108832
2024-10-22,30.65,30.9,27.56,28.41,338579,4272,79.26,209054
2024-10-23,28.0,29.36,27.92,28.53,222031,2242,99.03,105550
2024-10-24,28.2,28.88,28.01,28.32,61875,642,96.38,35850
2024-10-25,28.26,28.61,26.83,27.28,148205,1446,102.49,85789
2024-10-28,27.79,28.19,26.5,27.4,123314,1378,89.49,70460
2024-10-29,27.95,28.4,27.27,27.53,87218,988,88.28,37740
2024-10-30,28.3,29.98,28.07,29.57,262969,2203,119.37,143948
2024-10-31,29.78,30.15,29.22,29.42,65100,768,84.77,34798
2024-11-01,30.39,31.5,29.88,30.72,468116,1555,301.04,348318
2024-11-04,31.47,31.47,29.1,29.87,158688,1370,115.83,91954
2024-11-05,30.6,30.6,28.8,29.36,224989,1534,146.67,102847
2024-11-06,29.9,30.31,29.54,30.16,95544,1043,91.6,54206
2024-11-07,29.53,30.5,29.53,29.91,112161,1154,97.19,62546
2024-11-08,30.1,30.92,28.95,29.37,174261,1471,118.46,86147
2024-11-11,29.55,30.11,28.32,28.66,282703,2693,104.98,122966
2024-11-12,29.23,29.87,28.52,28.84,72564,1031,70.38,41557
2024-11-13,29.2,29.8,27.76,27.93,127723,1362,93.78,79649
2024-11-14,28.8,28.98,27.11,27.75,141995,1469,96.66,79103
2024-11-18,27.7,27.7,25.8,26.22,302296,1644,183.88,209313
2024-11-19,26.53,27.5,26.38,26.9,96460,914,105.54,46351
2024-11-21,26.5,27.13,26.1,26.38,97103,1328,73.12,48359
2024-11-22,25.7,26.64,25.7,26.42,87163,1024,85.12,42162
