Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2018-07-06,1015.0,1061.65,1000.0,1037.35,14543041,EQ,,,
2018-07-09,1030.4,1047.9,1021.6,1041.1,1221862,EQ,,,
2018-07-10,1045.0,1047.0,1034.0,1038.45,336269,EQ,,,
2018-07-11,1028.05,1042.0,1015.25,1026.0,139819,EQ,,,
2018-07-12,1025.0,1050.5,1025.0,1042.65,249829,EQ,,,
2018-07-13,1044.5,1058.9,1016.25,1035.25,171676,EQ,,,
2018-07-16,1035.0,1035.25,1018.05,1022.45,123918,EQ,,,
2018-07-17,1022.45,1039.7,984.2,1034.45,207463,EQ,,,
2018-07-18,1040.0,1040.0,1011.0,1016.6,72488,EQ,,,
2018-07-19,1011.25,1019.9,981.5,993.55,86703,EQ,,,
2018-07-20,977.15,985.2,960.0,964.65,90859,EQ,,,
2018-07-23,975.0,976.55,941.5,950.0,71292,EQ,,,
2018-07-24,943.25,955.0,940.0,945.85,59016,EQ,,,
2018-07-25,942.0,951.95,940.0,946.75,66954,EQ,,,
2018-07-26,945.0,980.1,931.1,974.8,92091,EQ,,,
2018-07-27,980.0,980.05,958.0,972.3,32501,EQ,,,
2018-07-30,970.0,1033.0,967.15,996.8,114013,EQ,,,
2018-07-31,983.1,1014.95,983.1,1008.2,32170,EQ,,,
2018-08-01,999.5,1008.0,995.1,999.75,19116,EQ,,,
2018-08-02,992.0,999.6,972.5,974.65,16905,EQ,,,
2018-08-03,980.0,996.0,977.05,982.65,28114,EQ,,,
2018-08-06,971.0,1004.0,971.0,991.85,46310,EQ,,,
2018-08-07,1000.0,1007.0,982.0,989.9,30497,EQ,,,
2018-08-08,993.95,994.05,973.25,982.65,27031,EQ,,,
2018-08-09,984.0,993.9,976.25,979.95,16651,EQ,,,
2018-08-10,985.0,991.9,970.1,972.25,12768,EQ,,,
2018-08-13,967.0,978.95,960.0,962.55,8846,EQ,,,
2018-08-14,963.75,992.4,960.55,968.3,19533,EQ,,,
2018-08-16,964.05,978.9,960.05,968.75,10254,EQ,,,
2018-08-17,968.75,999.0,965.3,978.3,297459,EQ,,,
2018-08-20,980.0,998.0,979.95,991.3,24167,EQ,,,
2018-08-21,991.5,1024.9,989.0,1012.1,97605,EQ,,,
2018-08-23,1012.0,1098.85,1005.0,1087.3,268534,EQ,,,
2018-08-24,1088.0,1114.75,1060.2,1069.35,169131,EQ,,,
2018-08-27,1080.0,1100.0,1070.0,1072.8,81673,EQ,,,
2018-08-28,1079.9,1143.0,1070.25,1111.2,224603,EQ,,,
2018-08-29,1117.0,1149.0,1112.0,1117.95,68384,EQ,,,
2018-08-30,1126.0,1150.0,1111.05,1144.55,76327,EQ,,,
2018-08-31,1142.0,1170.1,1141.65,1151.15,80144,EQ,,,
2018-09-03,1163.25,1178.7,1150.0,1151.95,83900,EQ,,,
2018-09-04,1152.4,1175.05,1135.5,1151.95,86739,EQ,,,
2018-09-05,1151.0,1151.0,1085.0,1125.8,320809,EQ,,,
2018-09-06,1125.25,1134.95,1072.2,1105.65,89091,EQ,,,
2018-09-07,1095.0,1112.45,1061.0,1089.6,51356,EQ,,,
2018-09-10,1090.0,1090.05,1029.9,1034.0,84119,EQ,,,
2018-09-11,1035.25,1042.6,1022.75,1036.8,33900,EQ,,,
2018-09-12,1037.0,1050.0,993.35,1017.45,77150,EQ,,,
2018-09-14,1020.4,1060.0,1020.4,1053.75,47942,EQ,,,
2018-09-17,1050.0,1050.0,1025.25,1030.05,20012,EQ,,,
2018-09-18,1028.05,1048.0,1005.0,1011.4,16680,EQ,,,
2018-09-19,1020.95,1020.95,980.0,988.65,33084,EQ,,,
2018-09-21,999.9,1015.0,950.1,985.9,41820,EQ,,,
2018-09-24,985.0,1000.1,935.1,979.05,36881,EQ,,,
2018-09-25,982.3,983.95,955.0,980.75,14643,EQ,,,
2018-09-26,981.0,989.95,812.2,849.9,731357,EQ,,,
2018-09-27,904.0,944.0,875.0,891.6,135320,EQ,,,
2018-09-28,895.0,901.45,855.4,877.95,42916,EQ,,,
2018-10-01,875.0,900.0,831.0,895.45,32066,EQ,,,
2018-10-03,911.9,915.0,890.1,896.55,43080,EQ,,,
2018-10-04,885.0,885.0,825.5,831.8,88203,EQ,,,
2018-10-05,839.8,839.8,812.0,815.55,34010,EQ,,,
2018-10-08,815.7,825.0,755.0,787.65,35009,EQ,,,
2018-10-09,798.0,798.0,761.6,779.25,156162,EQ,,,
2018-10-10,770.0,805.05,770.0,795.5,43958,EQ,,,
2018-10-11,780.0,797.0,760.0,788.55,22265,EQ,,,
2018-10-12,792.45,814.0,790.95,805.25,49932,EQ,,,
2018-10-15,809.95,809.95,774.0,779.9,66775,EQ,,,
2018-10-16,786.15,813.0,777.05,806.9,49173,EQ,,,
2018-10-17,812.35,829.9,794.7,810.95,46582,EQ,,,
2018-10-19,801.0,801.0,757.0,768.1,22292,EQ,,,
2018-10-22,775.0,784.3,756.15,761.15,8635,EQ,,,
2018-10-23,751.0,761.9,692.0,747.55,84451,EQ,,,
2018-10-24,760.0,763.9,730.95,744.6,11235,EQ,,,
2018-10-25,734.0,743.9,725.0,726.3,19050,EQ,,,
2018-10-26,720.0,729.9,682.7,693.55,30137,EQ,,,
2018-10-29,705.0,777.7,695.0,749.15,22019,EQ,,,
2018-10-30,754.0,774.5,740.0,745.6,12706,EQ,,,
2018-10-31,755.0,769.0,740.1,761.75,13461,EQ,,,
2018-11-01,753.1,777.0,750.0,753.4,12780,EQ,,,
2018-11-02,767.0,827.0,758.95,816.75,184988,EQ,,,
2018-11-05,820.0,829.85,802.1,813.8,8906,EQ,,,
2018-11-06,808.2,820.0,796.5,802.15,8228,EQ,,,
2018-11-07,820.95,826.05,812.35,823.75,3721,EQ,,,
2018-11-09,818.65,829.0,805.35,827.55,17639,EQ,,,
2018-11-12,820.0,839.5,820.0,829.9,48058,EQ,,,
2018-11-13,820.0,852.95,797.95,814.8,57243,EQ,,,
2018-11-14,821.35,821.35,762.0,767.9,37545,EQ,,,
2018-11-15,783.95,783.95,736.0,738.2,17142,EQ,,,
2018-11-16,751.0,751.0,721.1,730.5,412840,EQ,,,
2018-11-19,745.0,745.0,730.0,730.4,18537,EQ,,,
2018-11-20,730.4,734.9,721.2,722.75,32971,EQ,,,
2018-11-21,725.05,735.05,721.2,726.65,17381,EQ,,,
2018-11-22,725.05,729.8,711.85,716.0,67748,EQ,,,
2018-11-26,716.0,720.55,700.0,711.35,10120,EQ,,,
2018-11-27,715.0,719.45,701.0,702.5,37714,EQ,,,
2018-11-28,702.0,714.9,701.4,704.4,19975,EQ,,,
2018-11-29,712.95,713.15,701.0,707.9,15820,EQ,,,
2018-11-30,708.1,729.6,708.0,714.0,25497,EQ,,,
2018-12-03,718.4,723.5,707.0,714.95,13979,EQ,,,
2018-12-04,727.9,727.9,708.35,720.0,10304,EQ,,,
2018-12-05,719.45,719.45,700.1,706.25,8169,EQ,,,
2018-12-06,705.0,705.0,682.1,685.5,81442,EQ,,,
2018-12-07,698.8,698.8,666.45,670.7,18863,EQ,,,
2018-12-10,660.0,679.85,658.75,675.25,10440,EQ,,,
2018-12-11,669.9,683.1,636.3,648.9,41385,EQ,,,
2018-12-12,648.9,698.0,645.9,686.05,87341,EQ,,,
2018-12-13,700.0,709.0,682.1,687.95,11197,EQ,,,
2018-12-14,682.05,700.3,671.9,682.85,16338,EQ,,,
2018-12-17,691.15,698.0,679.3,681.8,10470,EQ,,,
2018-12-18,689.0,689.0,677.55,684.5,121093,EQ,,,
2018-12-19,684.9,696.75,683.1,686.7,13247,EQ,,,
2018-12-20,686.7,689.3,670.0,673.6,19742,EQ,,,
2018-12-21,685.0,685.0,661.85,669.55,59120,EQ,,,
2018-12-24,670.0,674.45,665.1,671.05,4804,EQ,,,
2018-12-26,678.15,678.15,663.75,669.55,24264,EQ,,,
2018-12-27,675.0,679.95,661.0,668.85,7266,EQ,,,
2018-12-28,667.95,678.8,667.95,674.8,5108,EQ,,,
2018-12-31,675.0,739.9,674.65,726.15,45887,EQ,,,
2019-01-01,738.9,742.0,702.95,734.8,21696,EQ,,,
2019-01-02,733.9,735.0,715.0,723.6,8853,EQ,,,
2019-01-03,722.1,731.0,719.15,721.45,5731,EQ,,,
2019-01-04,725.0,729.25,720.0,721.95,4952,EQ,,,
2019-01-07,722.5,735.0,722.5,730.2,5283,EQ,,,
2019-01-08,735.0,742.0,721.0,736.85,6286,EQ,,,
2019-01-09,746.35,746.9,726.1,731.0,6929,EQ,,,
2019-01-10,735.0,738.2,718.0,719.85,5431,EQ,,,
2019-01-11,729.65,732.05,717.45,730.05,4377,EQ,,,
2019-01-14,721.0,729.25,721.0,727.05,2444,EQ,,,
2019-01-15,729.65,742.0,728.0,735.4,5438,EQ,,,
2019-01-16,726.0,738.05,722.0,723.3,5297,EQ,,,
2019-01-17,730.0,730.0,715.95,716.95,3696,EQ,,,
2019-01-18,711.1,726.0,707.9,722.1,43686,EQ,,,
2019-01-21,710.2,730.0,688.05,708.15,32674,EQ,,,
2019-01-22,724.0,724.0,683.95,691.5,7992,EQ,,,
2019-01-23,702.0,710.15,692.4,704.85,103728,EQ,,,
2019-01-24,701.1,704.85,669.0,672.05,9667,EQ,,,
2019-01-25,684.95,684.95,648.0,658.7,12825,EQ,,,
2019-01-28,665.0,669.0,633.05,643.5,131221,EQ,,,
2019-01-29,635.05,667.1,635.05,656.4,14546,EQ,,,
2019-01-30,659.35,668.0,647.65,655.05,11493,EQ,,,
2019-01-31,658.05,665.85,627.05,648.05,75244,EQ,,,
2019-02-01,659.75,660.05,644.0,648.95,6772,EQ,,,
2019-02-04,652.2,652.55,631.0,637.15,43220,EQ,,,
2019-02-05,638.55,647.0,603.0,617.0,24788,EQ,,,
2019-02-06,626.95,637.45,606.6,612.6,10951,EQ,,,
