Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-12-30,716.0,749.0,702.0,704.35,12283534,208852.0,58.81,6863496.0
2024-12-31,706.0,725.0,695.2,719.85,1752758,29098.0,60.24,1003488.0
2025-01-01,724.85,728.1,710.7,721.15,548645,19382.0,28.31,231422.0
2025-01-02,725.8,774.5,712.25,738.35,2261727,66037,34.25,690054
2025-01-03,738.35,758.0,728.05,739.95,822194,17789,46.22,293603
2025-01-06,740.0,742.65,704.05,712.45,1214818,23256,52.24,595352
2025-01-07,719.5,726.7,707.0,722.05,792194,15628,50.69,398638
2025-01-08,718.25,725.9,698.45,719.7,513520,15023,34.18,247809
2025-01-09,723.0,724.85,706.5,716.55,342111,6784,50.43,155082
2025-01-10,711.2,715.0,685.5,701.3,658346,13774,47.8,381299
2025-01-13,698.95,699.95,653.6,678.9,615139,20324,30.27,341290
2025-01-14,681.0,699.45,666.0,685.6,252008,7249,34.76,105087
2025-01-15,684.0,692.2,668.05,669.15,390845,6961,56.15,274224
