Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-10-06,330.0,346.5,313.5,346.5,1581600,ST,1401,1128.91,1567200
2023-10-09,363.8,363.8,352.55,363.8,362400,ST,263,1377.95,354400
2023-10-10,381.95,381.95,377.0,381.95,45600,ST,50,912.0,41600
2023-10-11,401.0,401.0,401.0,401.0,8000,ST,9,888.89,8000
2023-10-12,421.05,421.05,421.05,421.05,12800,ST,12,1066.67,12800
2023-10-13,442.1,442.1,442.1,442.1,12000,ST,13,923.08,12000
2023-10-16,464.2,464.2,464.2,464.2,3200,ST,4,800.0,3200
2023-10-17,487.4,487.4,487.4,487.4,9600,ST,10,960.0,9600
2023-10-18,511.75,511.75,463.05,463.05,204800,ST,188,1089.36,170400
2023-10-19,442.0,477.0,439.9,470.65,87200,ST,100,872.0,73600
2023-10-20,481.0,481.0,455.0,460.2,52800,SM,60,880.0,40800
2023-10-23,493.95,493.95,423.0,427.0,46400,SM,54,859.26,34400
2023-10-25,420.0,439.9,411.2,419.0,40000,SM,31,1290.32,36000
2023-10-26,400.0,422.0,397.0,421.65,67200,SM,58,1158.62,60000
2023-10-27,430.0,490.0,430.0,483.4,116800,SM,121,965.29,81600
2023-10-30,456.95,473.5,432.0,465.9,32800,SM,41,800.0,22400
2023-10-31,470.0,491.75,447.0,483.05,61600,SM,72,855.56,24800
2023-11-01,489.0,497.25,475.0,494.9,31200,SM,38,821.05,20000
2023-11-02,489.95,525.0,489.95,516.85,36800,SM,46,800.0,24000
2023-11-03,525.0,528.5,415.1,423.6,92000,SM,107,859.81,66400
2023-11-06,429.0,450.0,415.55,425.9,76800,SM,73,1052.05,48000
2023-11-07,430.0,444.0,426.0,436.35,29600,SM,36,822.22,23200
2023-11-08,418.5,455.0,415.0,455.0,36000,SM,43,837.21,19200
2023-11-09,460.0,485.0,460.0,480.0,20800,SM,26,800.0,16000
2023-11-10,480.0,484.0,461.05,476.0,4800,SM,6,800.0,3200
2023-11-12,475.0,476.0,470.0,475.4,5600,SM,7,800.0,4800
2023-11-13,499.0,525.0,455.0,468.05,88000,SM,43,2046.51,76000
2023-11-15,476.0,477.25,460.0,465.0,18400,SM,19,968.42,16800
2023-11-16,467.0,479.0,461.0,462.4,12000,SM,14,857.14,11200
2023-11-17,455.2,465.0,450.0,450.0,17600,SM,19,926.32,13600
2023-11-20,450.0,450.0,440.0,443.45,52000,SM,33,1575.76,48000
2023-11-21,448.0,450.0,440.05,448.0,51200,SM,31,1651.61,45600
2023-11-22,448.2,450.0,435.0,436.05,12800,SM,16,800.0,12000
2023-11-23,439.0,439.0,439.0,439.0,1600,SM,2,800.0,1600
2023-11-24,440.0,446.8,430.0,430.0,11200,SM,12,933.33,9600
2023-11-28,448.95,450.0,442.0,449.15,18400,SM,22,836.36,13600
2023-11-29,437.0,441.0,437.0,439.85,4000,SM,5,800.0,4000
2023-11-30,425.6,445.0,425.55,443.3,12800,SM,16,800.0,9600
2023-12-01,437.05,454.9,437.05,445.1,18400,SM,22,836.36,16000
2023-12-04,444.1,450.1,440.0,450.0,34400,SM,34,1011.76,28800
2023-12-05,458.0,469.0,457.95,460.5,45600,SM,53,860.38,28800
2023-12-06,460.0,475.0,455.55,455.55,32800,SM,23,1426.09,28800
2023-12-07,450.0,450.25,446.0,449.95,10400,SM,11,945.45,10400
2023-12-08,442.0,447.95,429.0,431.15,27200,SM,26,1046.15,20800
2023-12-11,431.15,432.0,420.05,425.55,20000,SM,25,800.0,15200
2023-12-12,429.95,438.95,420.05,434.65,28800,SM,28,1028.57,26400
2023-12-13,464.0,521.55,460.15,521.55,484000,SM,443,1092.55,241600
2023-12-14,534.0,535.0,493.2,512.3,91200,SM,98,930.61,77600
2023-12-15,515.0,517.9,496.5,505.0,24800,SM,31,800.0,20800
2023-12-18,515.0,594.45,510.0,562.6,92000,SM,106,867.92,56800
2023-12-19,570.95,610.0,549.0,593.85,80000,SM,97,824.74,48000
2023-12-20,595.0,610.0,553.0,580.8,62400,SM,71,878.87,48000
2023-12-21,575.7,643.0,570.5,639.95,55200,SM,67,823.88,37600
2023-12-22,659.95,764.9,659.5,735.55,102400,SM,121,846.28,64800
2023-12-26,764.0,768.0,735.0,751.65,33600,SM,40,840.0,23200
2023-12-27,790.0,790.0,705.0,728.75,22400,SM,28,800.0,12800
2023-12-28,722.0,728.75,686.15,697.75,19200,SM,24,800.0,12000
2023-12-29,688.1,720.0,688.1,704.0,20800,SM,26,800.0,13600
2024-01-01,707.0,722.7,694.0,696.0,14400,SM,18,800.0,8800
2024-01-02,681.0,690.0,681.0,683.0,8800,SM,11,800.0,8000
2024-01-03,688.0,700.0,688.0,688.0,4800,SM,6,800.0,4800
2024-01-04,680.0,689.95,678.1,686.45,7200,SM,9,800.0,4800
2024-01-05,667.8,667.8,646.0,650.5,38400,SM,37,1037.84,27200
2024-01-08,640.05,715.55,630.6,715.0,58400,SM,57,1024.56,46400
2024-01-09,715.0,730.95,710.2,710.2,4800,SM,6,800.0,3200
2024-01-10,729.0,729.0,678.6,681.55,18400,SM,21,876.19,12000
2024-01-11,662.05,680.0,662.05,664.05,78400,SM,45,1742.22,67200
2024-01-12,707.95,719.0,700.0,705.7,39200,SM,34,1152.94,32000
2024-01-15,705.7,712.0,692.0,705.0,5600,SM,7,800.0,4800
2024-01-16,705.0,708.0,702.0,705.0,9600,SM,11,872.73,9600
2024-01-17,705.0,705.0,685.5,687.75,4000,SM,5,800.0,4000
2024-01-18,662.05,710.0,662.05,708.0,10400,SM,13,800.0,8000
2024-01-19,704.0,704.0,690.0,695.0,12800,SM,16,800.0,12800
2024-01-20,675.0,681.3,670.5,675.0,5600,SM,7,800.0,5600
2024-01-23,650.0,685.0,650.0,680.0,6400,SM,8,800.0,5600
2024-01-24,680.0,687.0,658.0,679.0,6400,SM,8,800.0,4800
2024-01-25,690.0,705.0,690.0,690.0,6400,SM,8,800.0,6400
2024-01-29,671.05,671.05,655.0,655.05,16000,SM,20,800.0,14400
2024-01-30,668.0,679.0,668.0,673.5,1600,SM,2,800.0,1600
2024-01-31,689.8,689.85,644.95,645.65,12800,SM,16,800.0,11200
2024-02-01,650.0,664.9,610.0,630.0,12000,SM,15,800.0,8000
2024-02-02,631.0,631.0,610.0,610.75,4000,SM,5,800.0,4000
2024-02-05,612.0,612.05,575.05,585.6,12800,SM,16,800.0,11200
2024-02-06,571.2,599.0,562.0,598.95,14400,SM,10,1440.0,12800
2024-02-07,649.95,649.95,615.0,615.0,4800,SM,6,800.0,3200
2024-02-08,560.0,640.0,560.0,640.0,5600,SM,7,800.0,4800
2024-02-09,645.0,658.0,623.1,640.0,10400,SM,12,866.67,8800
2024-02-12,600.0,605.0,587.0,605.0,6400,SM,8,800.0,4800
2024-02-13,600.0,624.0,551.55,600.0,14400,SM,18,800.0,9600
2024-02-14,614.0,615.5,614.0,615.0,4000,SM,5,800.0,3200
2024-02-15,592.0,610.0,592.0,600.0,2400,SM,3,800.0,2400
2024-02-16,600.0,600.0,571.0,575.5,3200,SM,4,800.0,3200
2024-02-19,575.05,675.0,575.05,651.0,20800,SM,26,800.0,15200
2024-02-20,659.95,669.0,645.0,645.0,8800,SM,11,800.0,7200
2024-02-21,630.0,630.0,630.0,630.0,1600,SM,2,800.0,1600
2024-02-22,630.0,649.0,620.0,621.5,28800,SM,12,2400.0,27200
2024-02-26,621.0,645.95,621.0,641.5,9600,SM,7,1371.43,8800
2024-02-27,645.0,660.0,630.0,630.0,15200,SM,17,894.12,13600
