Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2017-06-02,50.4,50.4,50.4,50.4,87000,,,
2017-06-05,59.45,60.45,55.0,60.45,2715000,,,
2017-06-06,62.2,69.9,60.5,65.95,657000,,,
2017-06-07,66.55,79.1,62.5,79.1,651000,,,
2017-06-08,87.0,87.0,87.0,87.0,33000,,,
2017-06-09,95.7,95.7,95.7,95.7,42000,,,
2017-06-12,105.25,105.25,105.25,105.25,42000,,,
2017-06-13,110.5,110.5,100.0,110.5,1095000,,,
2017-06-14,116.0,116.0,111.0,116.0,261000,,,
2017-06-15,121.8,121.8,121.8,121.8,90000,,,
2017-06-16,125.9,127.85,119.9,126.95,585000,,,
2017-06-19,127.0,133.25,120.65,121.85,180000,,,
2017-06-20,120.3,121.0,116.1,118.25,153000,,,
2017-06-21,119.0,120.35,112.35,114.0,117000,,,
2017-06-22,111.0,119.7,110.0,111.7,159000,,,
2017-06-23,108.2,113.9,106.15,106.15,228000,,,
2017-06-27,105.0,106.0,100.85,101.55,204000,,,
2017-06-28,100.05,105.85,100.0,100.7,81000,,,
2017-06-29,98.15,104.85,98.15,104.85,21000,,,
2017-06-30,109.9,109.9,102.4,104.55,33000,,,
2017-07-03,104.05,108.8,103.4,103.75,51000,,,
2017-07-04,102.15,108.9,100.3,105.4,156000,,,
2017-07-05,104.5,109.55,104.5,108.0,42000,,,
2017-07-06,105.05,110.0,105.0,110.0,81000,,,
2017-07-07,112.0,114.0,110.05,110.05,57000,,,
2017-07-10,108.55,111.95,108.55,111.95,9000,,,
2017-07-11,114.5,116.9,112.0,112.9,132000,,,
2017-07-12,111.0,114.95,110.0,113.0,78000,,,
2017-07-13,115.4,115.4,111.85,113.3,12000,,,
2017-07-14,111.7,111.7,107.65,107.65,72000,,,
2017-07-17,102.35,109.0,102.35,107.0,21000,,,
2017-07-18,111.95,111.95,109.35,110.0,18000,,,
2017-07-19,110.0,110.0,107.0,107.0,9000,,,
2017-07-20,109.0,109.0,109.0,109.0,3000,,,
2017-07-21,106.0,109.5,106.0,109.5,6000,,,
2017-07-24,110.5,110.5,110.0,110.0,6000,,,
2017-07-25,106.0,106.0,105.4,105.4,9000,,,
2017-07-26,107.9,107.9,105.0,105.5,9000,,,
2017-07-27,105.5,110.75,105.5,109.15,33000,,,
2017-07-28,111.5,114.6,111.5,113.8,36000,,,
2017-07-31,111.3,111.5,110.1,110.85,12000,,,
2017-08-01,110.0,110.0,108.0,108.0,12000,,,
2017-08-02,113.15,113.2,113.15,113.2,6000,,,
2017-08-03,113.1,117.95,113.0,114.55,51000,,,
2017-08-04,112.0,118.5,112.0,115.6,15000,,,
2017-08-07,109.0,124.0,109.0,115.0,81000,,,
2017-08-08,111.0,116.0,111.0,111.6,57000,,,
2017-08-10,106.0,113.95,101.1,109.0,84000,,,
2017-08-11,105.0,105.0,105.0,105.0,3000,,,
2017-08-14,115.0,115.5,103.05,111.4,96000,,,
2017-08-16,112.0,122.5,109.0,116.15,123000,,,
2017-08-17,121.95,126.0,121.95,124.75,48000,,,
2017-08-22,122.5,122.5,117.0,117.0,6000,,,
2017-08-23,119.0,128.5,119.0,127.4,39000,,,
2017-08-24,119.0,138.0,119.0,137.0,27000,,,
2017-08-28,137.0,137.0,137.0,137.0,3000,,,
2017-08-29,130.0,130.0,130.0,130.0,36000,,,
2017-08-30,138.0,138.0,138.0,138.0,3000,,,
2017-09-01,137.0,137.0,134.0,134.0,6000,,,
2017-09-04,139.95,139.95,134.0,138.55,57000,,,
2017-09-05,135.1,141.0,135.1,138.9,18000,,,
2017-09-06,142.0,142.0,142.0,142.0,3000,,,
2017-09-07,144.0,144.0,144.0,144.0,3000,,,
2017-09-12,136.0,142.0,136.0,142.0,12000,,,
2017-09-14,136.0,136.0,136.0,136.0,3000,,,
2017-09-15,132.0,138.0,132.0,135.0,6000,,,
2017-09-19,134.0,134.0,134.0,134.0,3000,,,
2017-09-20,126.15,137.95,126.0,137.0,192000,,,
2017-09-21,132.0,140.0,132.0,140.0,54000,,,
2017-09-22,133.05,133.05,130.0,130.0,9000,,,
2017-09-25,122.05,142.0,122.0,130.0,252000,,,
2017-09-27,130.8,130.8,125.0,125.0,18000,,,
