Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2023-09-28,127.5,138.55,127.5,135.9,10321831,EQ,95526.0,108.05,4291508.0
2023-09-29,136.35,146.7,135.85,136.85,3023857,EQ,37793.0,80.01,1070707.0
2023-10-03,136.9,137.0,132.3,134.6,1364883,EQ,33928.0,40.23,915594.0
2023-10-04,131.0,134.0,126.0,130.65,1938209,EQ,32950.0,58.82,1022964.0
2023-10-05,130.75,137.8,129.0,136.8,1655959,EQ,17579.0,94.2,784022.0
2023-10-06,137.05,139.55,134.5,138.0,749035,EQ,14394.0,52.04,343327.0
2023-10-09,139.85,139.85,132.5,137.55,502791,EQ,14931.0,33.67,255763.0
2023-10-10,137.55,142.5,136.6,141.75,3029622,EQ,24781.0,122.26,1698348.0
2023-10-11,142.95,143.45,134.15,141.95,4898975,EQ,45626.0,107.37,2038641.0
2023-10-12,142.9,144.7,139.1,140.3,4787800,EQ,39266.0,121.93,1285501.0
2023-10-13,138.95,157.3,138.3,150.25,9365099,EQ,55146.0,169.82,3140530.0
2023-10-16,150.5,158.15,142.1,145.65,7834535,EQ,41666.0,188.03,2043217.0
2023-10-17,144.65,147.3,140.8,144.05,3007019,EQ,30224.0,99.49,1103875.0
2023-10-18,143.9,145.45,137.45,140.15,1173630,EQ,16388.0,71.62,538971.0
2023-10-19,138.8,142.9,137.25,142.05,833480,EQ,6450.0,129.22,373608.0
2023-10-20,141.7,144.6,138.75,140.8,897235,EQ,8708.0,103.04,483581.0
2023-10-23,142.0,142.0,131.0,134.8,1147178,EQ,13216.0,86.8,433374.0
2023-10-25,137.6,137.6,129.3,132.75,1002770,EQ,24946.0,40.2,531780.0
2023-10-26,130.0,130.95,124.55,127.7,819375,EQ,15777.0,51.93,415012.0
2023-10-27,129.0,130.85,125.6,126.15,511899,EQ,8064.0,63.48,297416.0
2023-10-30,126.55,131.9,124.6,129.95,562506,EQ,13341.0,42.16,239496.0
2023-10-31,133.0,133.0,127.3,127.95,356576,EQ,8475.0,42.07,101388.0
2023-11-01,127.65,129.8,127.4,129.0,212806,EQ,4858.0,43.81,116177.0
2023-11-02,130.8,130.8,127.5,128.15,149367,EQ,3107.0,48.07,81126.0
2023-11-03,129.7,130.8,128.45,129.8,197161,EQ,4146.0,47.55,110399.0
2023-11-06,130.05,134.0,129.8,132.85,230723,EQ,3449.0,66.9,121669.0
2023-11-07,133.45,134.25,131.25,133.8,202397,EQ,3970.0,50.98,101564.0
2023-11-08,135.0,139.9,133.4,138.35,691436,EQ,15071.0,45.88,275863.0
2023-11-09,138.8,141.0,135.25,137.2,303447,EQ,7067.0,42.94,126791.0
2023-11-10,137.45,140.45,135.25,139.05,367505,EQ,8989.0,40.88,140025.0
2023-11-12,138.75,140.8,138.7,139.1,53312,EQ,1067.0,49.96,32199.0
2023-11-13,139.85,141.1,137.5,138.65,212323,EQ,5037.0,42.15,65867.0
2023-11-15,135.5,140.3,131.5,132.35,798523,EQ,13214.0,60.43,480171.0
2023-11-16,132.35,133.15,129.15,129.75,465609,EQ,10705.0,43.49,271078.0
2023-11-17,130.6,131.15,127.65,130.55,457358,EQ,13236.0,34.55,240599.0
2023-11-20,131.25,131.95,127.5,128.0,225567,EQ,4400.0,51.27,140495.0
2023-11-21,128.15,128.6,127.15,127.9,176268,EQ,3488.0,50.54,91314.0
2023-11-22,127.95,129.65,126.0,127.3,221478,EQ,3786.0,58.5,121694.0
2023-11-23,128.3,129.25,127.65,128.45,134629,EQ,2851.0,47.22,70386.0
2023-11-24,128.4,132.25,128.0,131.1,354272,EQ,3736.0,94.83,170117.0
2023-11-28,132.15,134.7,131.65,132.6,447522,EQ,4894.0,91.44,232537.0
2023-11-29,132.0,140.85,129.55,136.9,980093,EQ,11004.0,89.07,311375.0
2023-11-30,134.3,137.2,132.45,135.15,526732,EQ,14839.0,35.5,166260.0
2023-12-01,136.55,136.55,131.45,132.15,232017,EQ,6770.0,34.27,133028.0
2023-12-04,133.95,133.95,131.1,132.35,161693,EQ,3985.0,40.58,70992.0
2023-12-05,132.0,135.8,131.7,132.7,312364,EQ,5171.0,60.41,144844.0
2023-12-06,132.7,133.75,131.65,132.15,141800,EQ,2994.0,47.36,72322.0
2023-12-07,131.9,132.75,131.4,131.9,91867,EQ,1495.0,61.45,51754.0
2023-12-08,132.2,132.5,130.0,130.8,136283,EQ,2305.0,59.12,82488.0
2023-12-11,130.85,131.8,130.75,131.55,110702,EQ,1758.0,62.97,57025.0
2023-12-12,131.8,133.25,131.0,131.6,104964,EQ,2096.0,50.08,45613.0
