Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY
2023-08-21,160,19,8.42,160
2023-08-22,176,31,5.68,176
2023-08-23,31,10,3.1,31
2023-08-24,32,7,4.57,32
2023-08-25,13,5,2.6,13
2023-08-28,353,13,27.15,353
2023-08-29,33,7,4.71,33
2023-08-30,86,18,4.78,86
2023-08-31,108,14,7.71,108
2023-09-01,37,11,3.36,37
2023-09-04,38,12,3.17,38
2023-09-05,44,10,4.4,44
2023-09-06,300,11,27.27,300
2023-09-07,64,14,4.57,64
2023-09-08,55,5,11.0,55
2023-09-11,385,9,42.78,385
2023-09-12,83,11,7.55,83
2023-09-13,261,15,17.4,261
2023-09-14,25,6,4.17,25
2023-09-15,68,12,5.67,68
2023-09-18,66,12,5.5,66
2023-09-20,18,5,3.6,18
2023-09-21,9,3,3.0,9
2023-09-22,10,6,1.67,10
2023-09-25,22,8,2.75,22
2023-09-26,3,1,3.0,3
2023-09-27,8,3,2.67,8
2023-09-28,51,8,6.38,51
2023-09-29,88,3,29.33,88
2023-10-03,18,5,3.6,18
2023-10-04,72,6,12.0,72
2023-10-05,4,4,1.0,4
2023-10-06,32,4,8.0,32
2023-10-09,33,4,8.25,33
2023-10-10,8,4,2.0,8
2023-10-11,14,5,2.8,14
2023-10-12,22,7,3.14,22
2023-10-13,397,10,39.7,397
2023-10-16,119,7,17.0,119
2023-10-17,35,5,7.0,35
2023-10-18,1,1,1.0,1
2023-10-19,122,5,24.4,122
2023-10-20,51,10,5.1,51
2023-10-23,38,8,4.75,38
2023-10-25,3,2,1.5,3
2023-10-26,24,8,3.0,24
2023-10-27,16,3,5.33,16
2023-10-30,30,6,5.0,30
