Date,TTL_TRD_QNTY,NO_OF_TRADES,QTY_PER_TRADE,DELIV_QTY,DELIV_PER
2023-05-17,456396,1261,361.93,241800,
2023-05-18,70298,1134,61.99,29354,
2023-05-19,305895,1423,214.96,171302,
2023-05-22,220653,431,511.96,105503,
2023-05-23,32624,864,37.76,9331,
2023-05-24,115723,1830,63.24,33941,
2023-05-25,81056,626,129.48,27550,
2023-05-26,146028,818,178.52,46644,
2023-05-29,103371,785,131.68,30176,
2023-05-30,53568,866,61.86,16233,
2023-05-31,294187,582,505.48,243434,
2023-06-01,38670,72,537.08,38667,
2023-06-02,91758,290,316.41,70403,
2023-06-05,41321,116,356.22,36293,
2023-06-06,646839,4089,158.19,130879,
2023-06-07,84281,942,89.47,40286,
2023-06-08,331218,2423,136.7,78900,
2023-06-09,1187795,2672,444.53,421242,
2023-06-12,742596,3116,238.32,330962,
2023-06-13,151083,2270,66.56,78346,
2023-06-14,193603,1582,122.38,90763,
2023-06-15,123983,1346,92.11,45211,
2023-06-16,81794,670,122.08,51932,
2023-06-19,231462,1740,133.02,100280,
2023-06-20,52603,922,57.05,31786,
2023-06-21,57034,685,83.26,35844,
2023-06-22,31727,463,68.52,22938,
2023-06-23,31316,540,57.99,23067,
2023-06-26,63892,1082,59.05,22832,
2023-06-27,459261,2082,220.59,252703,
2023-06-28,238192,689,345.71,122118,
2023-06-30,131515,523,251.46,91783,
2023-07-03,183358,216,848.88,183358,
2023-07-04,430684,459,938.31,430684,
2023-07-05,25990,195,133.28,25990,
2023-07-06,17564,130,135.11,17564,
2023-07-07,12089,115,105.12,12089,
2023-07-10,8879,96,92.49,8879,
2023-07-11,29761,102,291.77,29761,
2023-07-12,32213,143,225.27,32213,
2023-07-13,13716,100,137.16,13716,
2023-07-14,19561,91,214.96,19561,
2023-07-17,10323,61,169.23,10323,
2023-07-18,33496,207,161.82,33496,
2023-07-19,8584,92,93.3,8584,
2023-07-20,9622,90,106.91,9622,
2023-07-21,11889,92,129.23,11889,
2023-07-24,6055,37,163.65,6055,
2023-07-25,53540,287,186.55,53540,
2023-07-26,32286,191,169.04,32286,
2023-07-27,8566,79,108.43,8566,
2023-07-28,47606,156,305.17,47606,
2023-07-31,40039,162,247.15,40039,
2023-08-01,40748,173,235.54,40748,
2023-08-02,4470,48,93.12,4470,
2023-08-03,23514,105,223.94,23514
2023-08-04,7406,56,132.25,7406
2023-08-25,3449,19,181.53,3449
2023-08-28,3469,16,216.81,3469
2023-08-29,2585,9,287.22,2585
2023-08-30,5001,15,333.4,5001
2023-08-31,2796,18,155.33,2796
2023-09-01,3841,20,192.05,3841
2023-09-04,2888,17,169.88,2888
2023-09-05,5140,27,190.37,5140
2023-09-06,4495,30,149.83,4495
2023-09-07,7470,20,373.5,7470
2023-09-08,2706,20,135.3,2706
2023-09-11,36928,160,230.8,36928
2023-09-12,15042,78,192.85,15042
2023-09-13,7754,80,96.92,7754
2023-09-14,27001,168,160.72,27001
2023-09-15,47190,197,239.54,47190
2023-09-18,14660,113,129.73,14660
2023-09-20,6622,62,106.81,6622
2023-09-21,3144,33,95.27,3144
2023-09-22,3130,34,92.06,3130
2023-09-25,7741,50,154.82,7741
2023-09-26,13382,55,243.31,13382
2023-09-27,51849,225,230.44,51849
2023-09-28,18570,96,193.44,18570
2023-09-29,5357,47,113.98,5357
